channel,activation_variance_clean,activation_variance_clean_iqr,activation_variance_light,activation_variance_light_iqr,active_ratio_clean,active_ratio_clean_iqr,active_ratio_light,active_ratio_light_iqr,gradient_energy_clean,gradient_energy_clean_iqr,gradient_energy_light,gradient_energy_light_iqr,orientation_coherence_clean,orientation_coherence_clean_iqr,orientation_coherence_light,orientation_coherence_light_iqr,dominant_angle_clean,dominant_angle_clean_iqr,dominant_angle_light,dominant_angle_light_iqr,spectral_centroid_clean,spectral_centroid_clean_iqr,spectral_centroid_light,spectral_centroid_light_iqr,cross_light_ncc,cross_light_ncc_iqr,relative_mad,relative_mad_iqr,mean_shift_absolute,mean_shift_absolute_iqr,mean_shift_relative,mean_shift_relative_iqr,gradient_retention,gradient_retention_iqr,spatial_entropy_clean,spatial_entropy_clean_iqr,component_count_clean,component_count_clean_iqr,component_scale_clean,component_scale_clean_iqr,spatial_entropy_light,spatial_entropy_light_iqr,component_count_light,component_count_light_iqr,component_scale_light,component_scale_light_iqr,gradient_energy,orientation_coherence,spectral_centroid,density_label,structure_label,illumination_label,colour_label,frequency_label,soft_label,dead_variance_max_condition,dead_gradient_max_condition,dead_base_rule,dead_bootstrap_stability,confirmed_dead_candidate,manual_review_status
0,0.04231632544752528,0.013535401270685789,0.04668176444680068,0.012810201880916638,0.9709375,0.025338541666666603,0.9701302083333334,0.04231770833333337,0.02636739341461971,0.013034845077162713,0.027861718724368927,0.006025862905073166,0.3524356703398444,0.11366606600448392,0.29305210592319486,0.15555345611503943,90.07976418383493,3.7442157442278727,89.73598099959037,4.8377308796225265,0.20927379844204963,0.03759211926880307,0.19238673789980776,0.046723294436395196,0.8822334786854142,0.5535764690372944,0.22182890827799023,0.4280255302714615,-0.009692269113354163,0.035327201522201576,-0.029258905450228016,0.10385487073414378,0.9999999999677218,0.11896818198249981,0.9807496772941904,0.00499112868825724,46.0,10.25,0.0017581018518518518,0.0005924739966757903,0.9802928742373229,0.003994334347200201,42.5,16.0,0.0021243351063829786,0.0010556640624999995,0.027114556069494318,0.32274388813151966,0.2008302681709287,Dense-global,Region-blob,Sensitive,N/A,Low-frequency,Dense-global + Region-blob + Low-frequency + Sensitive,0.04789917895733335,0.02912603205275241,False,0.0,False,not_required
1,0.10906281076067639,0.01748716042295924,0.10050234147355082,0.027199005981699886,0.8423697916666666,0.029817708333333304,0.8394010416666666,0.05516927083333334,0.0856158515114069,0.018074498379793996,0.08085111806835393,0.028882417385803397,0.2853109790364415,0.06545614713166192,0.2751576895546632,0.04876763173685694,106.53772004605527,5.796912025573704,106.86569338189673,6.092422537369572,0.2560684662932574,0.010638690594267808,0.256050081149665,0.018593825289648203,0.8296858018325467,0.3665171776389706,0.32256120129948584,0.2573701830701868,0.0,0.04221404252375123,0.0,0.09966086194995069,0.9999999999871264,0.25794081526611556,0.9651589057926573,0.005325525101835704,58.0,6.0,0.0011975241825312884,0.0002488564235966159,0.9653846279274544,0.006606364676651988,58.0,6.5,0.0012952862945492661,0.0002784176046654262,0.08323348478988041,0.28023433429555233,0.2560592737214612,Dense-global,Mixed/isotropic,Sensitive,N/A,Mid-frequency,Dense-global + Mixed/isotropic + Mid-frequency + Sensitive,0.11010666796943644,0.08842589449892505,False,0.0,False,not_required
2,0.09021013646530883,0.05077781131092854,0.09201853899579872,0.05261440170473816,0.6090885416666667,0.08635416666666673,0.6519791666666667,0.09747395833333339,0.04308178921231406,0.025872429110010857,0.04371930447074819,0.02802260198089982,0.16812312173434674,0.15692827710549362,0.17344097683817183,0.12079364797416159,74.62573219734995,38.25627144224422,78.68791661328137,33.23986528316732,0.16813193511918395,0.021212085310322232,0.16720443812103122,0.02069042762149112,0.9023069004029984,0.40939982534735364,0.4240393774976331,1.0562370201185538,0.014674811290236303,0.08137138150718073,0.07023331137496769,0.43149388950047574,0.9999999999860147,0.045140125443590806,0.9059923848934548,0.012019294835660999,36.5,9.0,0.002077604948698699,0.00045268477182539664,0.9215594962721074,0.025635264813261394,37.5,11.5,0.001962683823529412,0.000524973237579401,0.04340054684153112,0.17078204928625929,0.16766818662010757,Dense-global,Region-blob,Sensitive,N/A,Low-frequency,Dense-global + Region-blob + Low-frequency + Sensitive,0.09799120338869724,0.0455386036977632,False,0.0,False,not_required
3,0.21365368252653916,0.06183741183598854,0.2004741443348163,0.04954004173288504,0.5386979166666667,0.04037760416666669,0.57859375,0.10048177083333332,0.19174366241315066,0.04292840032611059,0.18306298624523099,0.05269451688320412,0.0979679251636204,0.047090756873874914,0.09203368720788235,0.02292059183663575,43.112025363610755,140.90869399961412,46.57838298046657,134.4895015667438,0.3103129105819782,0.03390086866641567,0.3065424500723637,0.03297414889384326,0.9477134720990925,0.20060542732269915,0.2920404056740132,0.44784788527259084,0.0,0.08492025930257958,0.0,0.28042235554712613,0.9761157901717333,0.343126469569781,0.8992396287784965,0.00825207562164787,29.5,5.75,0.0011042061237373736,0.000385452082726398,0.9022202516622252,0.019234884178522704,30.5,7.0,0.0012682911706349206,0.00032708650769917207,0.18740332432919082,0.09500080618575138,0.30842768032717094,Dense-global,Texture/high-frequency,Sensitive,N/A,High-frequency,Dense-global + Texture/high-frequency + High-frequency + Sensitive,0.21365368252653916,0.19174366241315066,False,0.0,False,not_required
4,0.08862498520105783,0.02788947080615528,0.10141799870192436,0.02990979390028077,0.9954947916666667,0.009179687499999978,0.9905989583333333,0.011458333333333237,0.03312427100456902,0.013423400297158609,0.035200403469505634,0.012380432444170177,0.18347114536876763,0.11648117420420417,0.1882207838158853,0.15243434436919878,88.03305999183748,22.38757280676265,88.19940654669806,17.074395798714036,0.12778136336874202,0.021007691411885063,0.11028333343549304,0.03494934532134164,0.8749149404981784,0.44518339703467213,0.17498104536301037,0.18913148903199872,0.0043756820268996965,0.09631278559813611,0.005387857493083235,0.11284183998506045,1.0267823661153375,0.07363160564504845,0.9916955742772436,0.005635558667612006,27.0,8.5,0.004467363855950812,0.0024928541714528208,0.9907261225299924,0.004440227940800123,22.0,16.5,0.005060819892473119,0.005628922784391536,0.03416233723703733,0.18584596459232647,0.11903234840211753,Dense-global,Region-blob,Sensitive,N/A,Low-frequency,Dense-global + Region-blob + Low-frequency + Sensitive,0.1061207446995796,0.03529111640883719,False,0.0,False,not_required
5,0.13418739085642617,0.059428524417280415,0.13016259757805043,0.06217319751083786,0.5458072916666666,0.023411458333333357,0.50734375,0.18355468750000004,0.117674205348034,0.0491882256696953,0.11079003874524532,0.057894134618666854,0.2126225382105723,0.09806291067111883,0.18178267264891312,0.0902689957445599,160.54835564488798,11.299181168829278,161.20201087595234,9.44243656756126,0.2881984849100073,0.01456362197408373,0.2790481176220898,0.017901816121573877,0.8796631844619112,0.28147686437667707,0.4311192744731276,0.5005450483415713,-0.026947707429186243,0.043949081357048614,-0.11233221899140791,0.20532155126476495,0.9088777164771562,0.23967912169329653,0.8986728951884524,0.004254526467770692,31.0,6.5,0.001212682121459695,0.00017883769561251924,0.8905694517507665,0.031506227668215425,30.5,11.5,0.001214169456845238,0.00025690465811433545,0.11423212204663966,0.19720260542974272,0.28362330126604857,Dense-global,Mixed/isotropic,Sensitive,N/A,Mid-frequency,Dense-global + Mixed/isotropic + Mid-frequency + Sensitive,0.14103828308889044,0.11971396866963074,False,0.0,False,not_required
6,0.13872014488915416,0.037480964244650486,0.1518026088620723,0.07631777047574069,0.8267968750000001,0.06768229166666673,0.8472135416666666,0.08359375000000002,0.11267513964913548,0.02678316464714768,0.1271732683692997,0.07708198637320748,0.14525811984762538,0.09635168234139091,0.1059916189030075,0.10676160046527747,100.26211276181877,30.264384791630647,103.22821545467306,31.951901042742264,0.255033738459126,0.024849303943394047,0.25429020860908724,0.023263864604612605,0.8770642555373964,0.3367608241605403,0.3317203374257671,0.38583771378953996,0.0,0.06563729669893897,0.0,0.17415585194523808,0.9999999999928203,0.6285007539710548,0.9553875896600532,0.011336838069574529,45.0,10.0,0.0015100115740740742,0.000304799649082674,0.9548960485641551,0.013141208157813833,51.5,14.5,0.0013406597082831527,0.000358990230123622,0.11992420400921759,0.12562486937531644,0.25466197353410663,Dense-global,Mixed/isotropic,Sensitive,N/A,Mid-frequency,Dense-global + Mixed/isotropic + Mid-frequency + Sensitive,0.15973466729386293,0.12913220298481276,False,0.0,False,not_required
7,0.14425407425111647,0.03861736658151754,0.1327607399956545,0.04120849653979021,0.438828125,0.03679687500000001,0.416875,0.10598958333333336,0.11071945719161223,0.03599095855825776,0.10277037687509716,0.043332131962859954,0.3764129165088843,0.058738856259837824,0.37814039939620414,0.07922672481172538,82.3945402243902,7.0128548324968705,82.6426140108513,7.145671137854507,0.27881357119516365,0.023881162312454685,0.27185006248931903,0.028425570958775903,0.9461842257698816,0.19969191996838942,0.29211585911782645,0.4546698283164179,-0.003529071178088747,0.044891148754031274,-0.017415385560826224,0.2132881018975733,0.9824929175033633,0.15097877186656927,0.8745163591391066,0.005306093525295874,33.0,5.75,0.0011014441287878788,0.00021891759556233242,0.86978544642202,0.027030541587640622,29.0,12.0,0.0011324214404894327,0.00021634825805322126,0.1067449170333547,0.3772766579525442,0.27533181684224134,Moderate-region,Mixed/isotropic,Sensitive,N/A,Mid-frequency,Moderate-region + Mixed/isotropic + Mid-frequency + Sensitive,0.14444605135837518,0.11071945719161223,False,0.0,False,not_required
8,0.17152392981857972,0.07507817116731386,0.16687621571018613,0.08264952264047437,0.9830468750000001,0.017552083333333246,0.984609375,0.016562500000000036,0.1513076427540686,0.07133029089921644,0.14637069950286935,0.08440028124043335,0.1618184278157978,0.07155990319628316,0.159558643854804,0.07382604888096342,28.844998818594277,16.677611135118052,31.936354477474254,15.355748251944703,0.31201687710841264,0.021194145779062368,0.31948050188828714,0.026593766637825034,0.9215407309659828,0.26730693458158805,0.10800207829548135,0.1111459901076555,0.0,0.0395147490921226,0.0,0.03562082464296046,0.9536042400837464,0.12831791123000746,0.9915607344690751,0.005055410038487085,52.5,13.0,0.0010297747582572797,0.0001771132818458802,0.9918735645801114,0.004488206444408838,53.0,10.5,0.001040528481934732,0.00023132309480096013,0.14883917112846898,0.1606885358353009,0.3157486894983499,Dense-global,Texture/high-frequency,Stable,N/A,High-frequency,Dense-global + Texture/high-frequency + High-frequency + Stable,0.17152392981857972,0.1513076427540686,False,0.0,False,not_required
9,0.047631200148456926,0.017377331093101148,0.05138266118608174,0.022663287187701803,0.375234375,0.035598958333333375,0.36669270833333334,0.06555989583333333,0.03202506020429448,0.01233651761565556,0.0338226733891346,0.02050328523356023,0.24239465335422028,0.05245613442151495,0.24443216566617487,0.05202180464103823,7.20220610484393,156.86407111108653,7.970324312499349,158.65000788966756,0.2234037408554878,0.01859500970640013,0.220415077976508,0.030341141499703406,0.7947387905512892,0.4092121804241583,0.7363010331404778,0.6989011242747937,0.0,0.01125338506760298,0.0,0.10906021402818136,0.9999999999764909,0.36378789736513983,0.8603510280372424,0.009578541115032868,23.5,5.0,0.0011320765398550724,0.0002433708160068241,0.8563329877069841,0.019645193545645978,23.5,7.5,0.0011434461805555555,0.00017905967721064593,0.03292386679671454,0.24341340951019758,0.2219094094159979,Moderate-region,Mixed/isotropic,Sensitive,N/A,Low-frequency,Moderate-region + Mixed/isotropic + Low-frequency + Sensitive,0.057738514301163425,0.0402616981080235,False,0.0,False,not_required
