step,beam,channel,subset,bqs,marginal
1,seed,0,[0],0.4726698357872624,0.4726698357872624
1,seed,1,[1],0.4188964637760516,0.4188964637760516
1,seed,2,[2],0.6657493190062096,0.6657493190062096
1,seed,3,[3],0.18364670263202712,0.18364670263202712
1,seed,4,[4],0.5178260099247597,0.5178260099247597
1,seed,5,[5],0.27465347110724103,0.27465347110724103
1,seed,6,[6],0.22449815548471955,0.22449815548471955
1,seed,7,[7],0.2871248021002179,0.2871248021002179
1,seed,8,[8],0.4137270292653793,0.4137270292653793
1,seed,9,[9],0.35980478023948637,0.35980478023948637
1,seed,10,[10],0.4194201372096207,0.4194201372096207
1,seed,11,[11],0.18192544407153946,0.18192544407153946
1,seed,12,[12],0.28972039102870023,0.28972039102870023
1,seed,13,[13],0.5467964422895434,0.5467964422895434
1,seed,14,[14],0.2790146420192228,0.2790146420192228
1,seed,15,[15],0.27381907461499544,0.27381907461499544
1,seed,16,[16],0.34040029193481725,0.34040029193481725
1,seed,17,[17],0.21778135372479307,0.21778135372479307
1,seed,18,[18],0.27938986654930115,0.27938986654930115
1,seed,19,[19],0.41577525092065987,0.41577525092065987
1,seed,20,[20],0.20348173167260045,0.20348173167260045
1,seed,21,[21],0.4219002981858204,0.4219002981858204
1,seed,22,[22],0.1913749878624281,0.1913749878624281
1,seed,23,[23],0.4233240217387148,0.4233240217387148
1,seed,24,[24],0.28660833211682574,0.28660833211682574
1,seed,25,[25],0.21995668038154317,0.21995668038154317
1,seed,26,[26],0.35795014795964447,0.35795014795964447
1,seed,27,[27],0.37030396054878933,0.37030396054878933
1,seed,28,[28],0.43224919510471443,0.43224919510471443
1,seed,29,[29],0.2942984552049421,0.2942984552049421
1,seed,30,[30],0.29007739630837986,0.29007739630837986
1,seed,31,[31],0.44430856973080907,0.44430856973080907
1,seed,32,[32],0.22964593838309505,0.22964593838309505
1,seed,33,[33],0.38495808833812284,0.38495808833812284
1,seed,34,[34],0.2848370946864289,0.2848370946864289
1,seed,35,[35],0.34014036962784466,0.34014036962784466
1,seed,36,[36],0.29100659015219754,0.29100659015219754
1,seed,37,[37],0.2225521205007572,0.2225521205007572
1,seed,38,[38],0.2652710439410632,0.2652710439410632
1,seed,39,[39],0.24049696615131422,0.24049696615131422
1,seed,40,[40],0.4281896146450725,0.4281896146450725
1,seed,41,[41],0.43956004662385123,0.43956004662385123
1,seed,42,[42],0.4206083864775283,0.4206083864775283
1,seed,43,[43],0.16281197137602346,0.16281197137602346
1,seed,44,[44],0.5085376646649893,0.5085376646649893
1,seed,45,[45],0.3402893741819654,0.3402893741819654
1,seed,46,[46],0.326057655444974,0.326057655444974
1,seed,47,[47],0.4471092755470632,0.4471092755470632
1,seed,48,[48],0.16063911157520827,0.16063911157520827
1,seed,49,[49],0.21174120674361638,0.21174120674361638
1,seed,50,[50],0.26432494501631626,0.26432494501631626
1,seed,51,[51],0.3577969564229064,0.3577969564229064
1,seed,52,[52],0.24765129269790145,0.24765129269790145
1,seed,53,[53],0.5499096352766546,0.5499096352766546
1,seed,54,[54],0.1374562496694935,0.1374562496694935
1,seed,55,[55],0.4864885868117437,0.4864885868117437
1,seed,56,[56],0.29625263055823625,0.29625263055823625
1,seed,57,[57],0.3636459934777116,0.3636459934777116
1,seed,58,[58],0.1913965172613942,0.1913965172613942
1,seed,59,[59],0.35791673412456704,0.35791673412456704
1,seed,60,[60],0.5428763147790416,0.5428763147790416
1,seed,61,[61],0.40765669773132485,0.40765669773132485
1,seed,62,[62],0.3793333702678364,0.3793333702678364
1,seed,63,[63],0.43249395917443373,0.43249395917443373
2,beam1(seed=ch2),0,"[2, 0]",0.6791368448996195,0.013388
2,beam1(seed=ch2),1,"[2, 1]",0.5331300671447091,-0.132619
2,beam1(seed=ch2),3,"[2, 3]",0.2972189770181989,-0.36853
2,beam1(seed=ch2),4,"[2, 4]",0.643595992636582,-0.022153
2,beam1(seed=ch2),5,"[2, 5]",0.4453606377288527,-0.220389
2,beam1(seed=ch2),6,"[2, 6]",0.594785512916283,-0.070964
2,beam1(seed=ch2),7,"[2, 7]",0.5006604982279449,-0.165089
2,beam1(seed=ch2),8,"[2, 8]",0.5731655683524464,-0.092584
2,beam1(seed=ch2),9,"[2, 9]",0.48511342117074024,-0.180636
2,beam1(seed=ch2),10,"[2, 10]",0.6193994000766921,-0.04635
2,beam1(seed=ch2),11,"[2, 11]",0.3651390361882254,-0.30061
2,beam1(seed=ch2),12,"[2, 12]",0.40118538467733367,-0.264564
2,beam1(seed=ch2),13,"[2, 13]",0.5863739378305624,-0.079375
2,beam1(seed=ch2),14,"[2, 14]",0.4850803855474982,-0.180669
2,beam1(seed=ch2),15,"[2, 15]",0.5871191001212542,-0.07863
2,beam1(seed=ch2),16,"[2, 16]",0.44706066892643587,-0.218689
2,beam1(seed=ch2),17,"[2, 17]",0.34299382146311913,-0.322755
2,beam1(seed=ch2),18,"[2, 18]",0.5099736023558546,-0.155776
2,beam1(seed=ch2),19,"[2, 19]",0.5323440524601888,-0.133405
2,beam1(seed=ch2),20,"[2, 20]",0.3236769219889258,-0.342072
2,beam1(seed=ch2),21,"[2, 21]",0.6137894159508206,-0.05196
2,beam1(seed=ch2),22,"[2, 22]",0.34206138805421,-0.323688
2,beam1(seed=ch2),23,"[2, 23]",0.6272220069588187,-0.038527
2,beam1(seed=ch2),24,"[2, 24]",0.6380780498865241,-0.027671
2,beam1(seed=ch2),25,"[2, 25]",0.5575963628039683,-0.108153
2,beam1(seed=ch2),26,"[2, 26]",0.5621321149742454,-0.103617
2,beam1(seed=ch2),27,"[2, 27]",0.6096848182972664,-0.056065
2,beam1(seed=ch2),28,"[2, 28]",0.5131759971556971,-0.152573
2,beam1(seed=ch2),29,"[2, 29]",0.41593240578599777,-0.249817
2,beam1(seed=ch2),30,"[2, 30]",0.45133813652631566,-0.214411
2,beam1(seed=ch2),31,"[2, 31]",0.587181664915878,-0.078568
2,beam1(seed=ch2),32,"[2, 32]",0.42080388569965843,-0.244945
2,beam1(seed=ch2),33,"[2, 33]",0.601916354185049,-0.063833
2,beam1(seed=ch2),34,"[2, 34]",0.5821505821416021,-0.083599
2,beam1(seed=ch2),35,"[2, 35]",0.6288938468866573,-0.036855
2,beam1(seed=ch2),36,"[2, 36]",0.40342088044759294,-0.262328
2,beam1(seed=ch2),37,"[2, 37]",0.49019285301631277,-0.175556
2,beam1(seed=ch2),38,"[2, 38]",0.40517750710973094,-0.260572
2,beam1(seed=ch2),39,"[2, 39]",0.5563640297906932,-0.109385
2,beam1(seed=ch2),40,"[2, 40]",0.49362955381401596,-0.17212
2,beam1(seed=ch2),41,"[2, 41]",0.6260295974822022,-0.03972
2,beam1(seed=ch2),42,"[2, 42]",0.6594611108767935,-0.006288
2,beam1(seed=ch2),43,"[2, 43]",0.3776153593774918,-0.288134
2,beam1(seed=ch2),44,"[2, 44]",0.6139509560377518,-0.051798
2,beam1(seed=ch2),45,"[2, 45]",0.6475113390960985,-0.018238
2,beam1(seed=ch2),46,"[2, 46]",0.5208603727744875,-0.144889
2,beam1(seed=ch2),47,"[2, 47]",0.6461624046321639,-0.019587
2,beam1(seed=ch2),48,"[2, 48]",0.295651831482554,-0.370097
2,beam1(seed=ch2),49,"[2, 49]",0.28739947448131664,-0.37835
