channel,BQS,BQ,LQBS,Width,ShapeSim,SharpRet,MinPos,Symmetry,Retention,kill_clean,kill_50
118,0.354224,0.452082,0.59552,0.021768,0.943491,0.893005,1.0,0.929971,0.783539,22.8,14.4
119,0.586752,0.63699,0.831941,0.052137,0.981399,0.988039,1.0,0.949954,0.921133,7.2,5.6
120,0.638386,0.704358,0.912628,0.079549,0.967961,1.0,0.994204,0.941795,0.906337,28.1,11.5
121,0.54672,0.619266,0.807681,0.054018,0.980311,0.966271,1.0,0.932019,0.882851,20.4,53.1
122,0.457525,0.551654,0.723176,0.037087,0.983502,0.924724,1.0,0.911928,0.82937,25.0,14.1
123,0.599005,0.686627,0.895078,0.061274,0.961704,0.961737,0.994204,0.948717,0.872388,5.6,2.4
124,0.471343,0.51171,0.673591,0.026068,0.98845,0.993218,1.0,0.938239,0.921113,36.8,72.4
125,0.393951,0.481966,0.634291,0.024993,0.958793,0.917112,1.0,0.929561,0.817382,47.0,76.9
126,0.309989,0.620718,0.810782,0.050524,0.806467,0.707634,0.991803,0.88233,0.499404,0.2,0.0
127,0.498734,0.567802,0.743274,0.041387,0.993594,0.938523,1.0,0.941929,0.878359,28.9,64.5
