Step,Added Channel,Current Combination,BQS,Marginal BQS Gain,LQBS,Width,Retention
1,120,[120],0.6384,-,0.9126,0.0795,0.9063
2,66,"[120, 66]",0.6796,+0.0412,0.9167,0.0699,0.964
3,39,"[120, 66, 39]",0.6973,+0.0178,0.9337,0.0838,0.9669
