Trial	N_Channels	Channels	ATE_Mean_cm	Status
107	8	d28,d39,d40,d46,d48,d52,d57,d60	29.2737	OK
108	8	d10,d28,d35,d47,d53,d54,d57,d58	26.3147	OK
109	6	d15,d16,d28,d48,d53,d60	28.1478	OK
110	6	d31,d33,d35,d40,d49,d62	26.2013	OK
111	6	d4,d17,d18,d28,d30,d45	19.9687	OK
112	6	d17,d20,d21,d30,d34,d57	22.2406	OK
113	4	d10,d17,d19,d29	27.9698	OK
114	4	d8,d19,d27,d49	24.9831	OK
115	4	d42,d52,d53,d59	22.3180	OK
116	4	d7,d26,d49,d53	27.0762	OK
117	8	d0,d2,d24,d30,d36,d48,d54,d56	25.0428	OK
118	8	d19,d24,d26,d45,d48,d53,d54,d57	27.3347	OK
119	8	d1,d14,d17,d24,d27,d28,d31,d62	29.4218	OK
120	8	d10,d25,d42,d43,d46,d51,d53,d63	27.8341	OK
121	6	d1,d8,d34,d39,d58,d59	35.9436	OK
122	6	d1,d5,d36,d37,d42,d50	20.0154	OK
123	6	d3,d8,d11,d29,d54,d55	44.1731	OK
124	6	d13,d20,d24,d29,d33,d61	21.5674	OK
125	4	d35,d43,d48,d53	28.8889	OK
126	4	d2,d10,d32,d60	35.6929	OK
127	4	d6,d8,d28,d44	26.6928	OK
128	4	d3,d5,d25,d31	32.5984	OK
129	8	d2,d7,d8,d9,d15,d30,d39,d42	23.2657	OK
130	8	d10,d16,d23,d27,d29,d38,d44,d49	27.4546	OK
131	8	d1,d6,d10,d14,d19,d37,d49,d52	29.1115	OK
132	8	d12,d24,d25,d36,d39,d43,d45,d58	23.3985	OK
133	6	d9,d15,d37,d40,d44,d53	23.1483	OK
134	6	d13,d19,d43,d44,d49,d54	29.0953	OK
135	6	d2,d15,d22,d36,d50,d62	23.8998	OK
136	6	d4,d23,d32,d41,d42,d54	21.3897	OK
137	4	d1,d43,d53,d62	28.5983	OK
138	4	d13,d46,d55,d58	20.3772	OK
139	4	d19,d22,d34,d55	37.3969	OK
140	4	d34,d55,d59,d61	26.3615	OK
141	8	d5,d15,d17,d41,d53,d54,d56,d59	26.1267	OK
142	8	d15,d24,d29,d36,d39,d42,d48,d57	20.3377	OK
143	8	d1,d11,d13,d20,d31,d43,d54,d61	29.0453	OK
144	8	d16,d17,d21,d38,d44,d45,d51,d56	21.7674	OK
145	6	d0,d5,d12,d33,d35,d63	23.6830	OK
146	6	d26,d30,d31,d35,d46,d48	25.1468	OK
147	6	d30,d31,d41,d44,d45,d63	25.9070	OK
148	6	d1,d5,d14,d18,d50,d57	24.1013	OK
149	4	d31,d39,d47,d51	22.6122	OK
150	4	d42,d44,d54,d60	24.1947	OK
151	4	d34,d39,d45,d58	31.1303	OK
152	4	d15,d24,d29,d32	28.3362	OK
153	8	d7,d11,d12,d34,d40,d44,d47,d48	31.4433	OK
154	8	d17,d27,d30,d33,d37,d46,d47,d48	23.7787	OK
155	8	d6,d12,d14,d18,d23,d36,d53,d62	21.4806	OK
156	8	d0,d2,d8,d17,d19,d22,d34,d45	32.1065	OK
157	6	d6,d8,d18,d35,d40,d44	23.1299	OK
158	6	d0,d6,d18,d36,d55,d62	-	TIMEOUT
159	6	d3,d11,d21,d28,d30,d60	25.7055	OK
160	6	d7,d30,d32,d52,d55,d60	24.4600	OK
161	4	d8,d9,d51,d62	18.1475	OK
162	4	d6,d10,d19,d38	32.6247	OK
163	4	d15,d28,d31,d53	28.6468	OK
164	4	d38,d48,d56,d57	25.2516	OK
165	8	d3,d6,d19,d36,d39,d47,d54,d60	24.2108	OK
166	8	d5,d10,d13,d15,d16,d26,d40,d42	23.2788	OK
167	8	d0,d4,d10,d22,d26,d28,d35,d44	28.2893	OK
168	8	d2,d14,d18,d44,d45,d59,d60,d62	24.6150	OK
169	6	d4,d14,d16,d43,d58,d59	33.8419	OK
170	6	d7,d14,d25,d27,d34,d41	37.0730	OK
171	6	d4,d9,d17,d19,d52,d58	22.0870	OK
172	6	d7,d10,d19,d38,d47,d50	32.6240	OK
173	4	d15,d36,d56,d59	23.8876	OK
174	4	d34,d38,d51,d63	25.1938	OK
175	4	d5,d10,d55,d56	35.7487	OK
176	4	d3,d11,d32,d41	46.9767	OK
177	8	d1,d29,d36,d37,d43,d53,d55,d61	22.1015	OK
178	8	d2,d11,d30,d33,d34,d36,d48,d60	24.6298	OK
179	8	d11,d17,d27,d37,d40,d52,d56,d58	35.3155	OK
180	8	d5,d20,d21,d22,d26,d30,d62,d63	21.5764	OK
181	6	d10,d13,d21,d26,d44,d54	28.9785	OK
182	6	d18,d25,d42,d52,d60,d63	19.8769	OK
183	6	d4,d5,d16,d20,d29,d60	20.4733	OK
184	6	d14,d25,d32,d49,d55,d62	41.4040	OK
185	4	d0,d6,d52,d59	25.0502	OK
186	4	d24,d46,d56,d63	28.3662	OK
187	4	d6,d16,d26,d34	20.5499	OK
188	4	d15,d36,d56,d62	24.5392	OK
189	8	d3,d10,d15,d38,d40,d45,d51,d62	31.9347	OK
190	8	d0,d5,d14,d26,d35,d39,d53,d62	18.7619	OK
191	8	d7,d9,d14,d29,d31,d41,d53,d60	17.5930	OK
192	8	d17,d26,d30,d32,d37,d45,d53,d57	24.0728	OK
193	6	d9,d12,d24,d29,d31,d35	21.1311	OK
194	6	d4,d17,d49,d50,d55,d63	25.9288	OK
195	6	d17,d21,d32,d50,d53,d59	25.1253	OK
196	6	d0,d18,d19,d37,d46,d53	26.2468	OK
197	4	d19,d57,d61,d62	29.8179	OK
198	4	d42,d44,d48,d58	26.3464	OK
199	4	d24,d30,d41,d49	20.1813	OK
200	4	d5,d29,d40,d52	23.9638	OK
201	8	d24,d42,d45,d50,d51,d58,d59,d60	21.7096	OK
202	8	d2,d8,d19,d21,d31,d32,d37,d61	27.4292	OK
203	8	d0,d6,d12,d28,d29,d33,d54,d55	24.6010	OK
204	8	d4,d9,d18,d26,d30,d41,d50,d55	18.3537	OK
205	6	d21,d25,d33,d39,d41,d44	19.7408	OK
206	6	d10,d21,d43,d54,d60,d62	26.6007	OK
207	6	d20,d40,d45,d48,d56,d61	23.9422	OK
208	6	d2,d4,d34,d39,d55,d62	20.9187	OK
209	4	d11,d29,d30,d36	31.3331	OK
210	4	d12,d21,d55,d56	21.9275	OK
211	4	d3,d5,d38,d41	42.4736	OK
212	4	d7,d37,d45,d47	28.7019	OK
213	8	d9,d15,d26,d33,d36,d43,d50,d55	20.9136	OK
214	8	d5,d10,d11,d23,d24,d39,d55,d59	29.8726	OK
215	8	d9,d14,d29,d30,d31,d37,d40,d58	22.4657	OK
216	8	d0,d16,d29,d32,d42,d51,d57,d62	22.2816	OK
217	6	d4,d10,d28,d34,d36,d43	29.3784	OK
218	6	d19,d27,d37,d40,d44,d63	32.8837	OK
219	6	d12,d19,d24,d29,d32,d54	30.8493	OK
220	6	d6,d15,d22,d24,d36,d61	22.9125	OK
221	4	d2,d35,d37,d50	23.7057	OK
222	4	d1,d6,d36,d63	30.0735	OK
223	4	d24,d28,d29,d45	21.2166	OK
224	4	d5,d12,d17,d32	27.4313	OK
225	8	d2,d8,d23,d28,d37,d39,d46,d50	26.0175	OK
226	8	d11,d12,d18,d20,d26,d47,d58,d63	27.2893	OK
227	8	d16,d17,d23,d32,d33,d34,d50,d56	24.9361	OK
228	8	d16,d18,d21,d30,d47,d51,d52,d58	18.9436	OK
