channel,bqs_score,basin_quality,lqbs,basin_width,retention_30,retention_50,shape_sim_30,shape_sim_50,sharp_ret_30,sharp_ret_50,minpos_30,minpos_50,bright_sym_30,bright_sym_50,dead
0,0.551758,0.790678,0.463881,6.324555,0.840259,0.602875,0.934455,0.805089,1.0,0.919961,1.0,1.0,0.899196,0.81398,False
1,0.210247,0.242521,0.151922,1.414214,0.930021,0.824854,0.990585,0.931788,0.982455,1.0,1.0,1.0,0.955627,0.885238,False
2,0.392012,0.559213,0.358235,2.828427,0.689464,0.708702,0.967109,0.94954,0.776142,0.798271,1.0,1.0,0.918533,0.934975,False
3,0.46906,0.603691,0.376605,3.605551,0.805421,0.758031,0.980871,0.972055,0.879594,0.849688,1.0,1.0,0.933532,0.917775,False
4,0.2532,0.441948,0.298168,1.414214,0.68867,0.495752,0.984147,0.933034,0.734536,0.591848,1.0,1.0,0.952661,0.897752,False
5,0.192182,0.218382,0.134219,1.414214,0.914774,0.856863,0.937427,0.906508,1.0,1.0,1.0,1.0,0.975835,0.945235,False
6,0.073209,0.264124,0.175357,1.0,0.504291,0.125765,0.778424,0.481941,0.729273,0.362355,1.0,1.0,0.888331,0.720167,False
7,0.153447,0.230884,0.150981,1.0,0.758544,0.601982,0.989546,0.95992,0.789504,0.665117,1.0,1.0,0.970936,0.942867,False
8,0.12231,0.732245,0.454991,4.472136,0.169486,0.165399,0.6168,0.569459,0.331162,0.354768,1.0,1.0,0.829752,0.8187,False
9,0.0,0.853183,0.493464,7.211103,0.0,0.0,0.52122,0.336917,0.181356,0.051964,0.0,0.0,0.635326,0.646101,False
10,0.625257,0.768324,0.447487,6.324555,0.861288,0.782131,0.950581,0.907259,0.985113,0.976235,1.0,1.0,0.919757,0.883067,False
11,0.287821,0.474776,0.293169,3.0,0.714875,0.53379,0.992283,0.963725,0.750267,0.603375,1.0,1.0,0.960238,0.917973,False
12,0.15883,0.191361,0.121998,1.0,0.889711,0.790197,0.967811,0.920223,0.934219,0.911845,1.0,1.0,0.984034,0.941719,False
13,0.062226,0.190023,0.113423,1.414214,0.507334,0.207553,0.86742,0.676769,0.662479,0.404217,1.0,1.0,0.882861,0.758708,False
14,0.475694,0.617624,0.397924,3.0,0.75232,0.78212,0.976838,0.924742,0.838823,0.933893,1.0,1.0,0.918143,0.905639,False
15,0.702704,0.740859,0.395489,8.062258,0.936037,0.956805,0.996218,0.988709,0.982563,1.0,1.0,1.0,0.956265,0.967732,False
