rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_c2f_a_f2_c4_global_best,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30",C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,0,0.9965095986038395,5.8765,6.4309,1.3098999999999998,10.083529141956475,9.541625389088997,16.05068635548741,0.9781991067923039,7.467637328642682,0.8088578805156228,9.682362279465002,6.418656292327247,1.0890421575164084,5.890626065683651,1.0927963308945405
2,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,"unet:direct:enc0:2,3,7,12,13,14",Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,0,0.9965095986038395,5.9208,6.4001,1.0943,10.134148428395612,9.695135802809892,17.535767364389944,0.858763379785899,3.782081096333694,0.5797250638508179,6.255272716841811,6.256357010573997,1.0957749597773676,5.936392097286243,1.0973007488832296
3,unet_enc0_direct_f2_d03_d07_d12,"unet:direct:enc0:3,7,12",Direct fine parent F2: the three-channel near-optimum.,0,0.9965095986038395,6.0004,6.5652,1.4869999999999999,9.326600329356742,8.797280937982409,16.408201537241354,1.1031877772606706,10.688265635997746,0.7579433269246888,8.313029796965509,6.465242496840973,1.0733121565929014,6.01298591014434,1.0750598090523062
4,unet_c2f_a_f5_c4_positive_synergy,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30",C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,0,0.9965095986038395,6.1874,6.8056,1.2523,10.161167674515909,9.666545137386949,17.801966274552086,0.9486793515981098,8.462040524354268,0.7458663881588324,9.343093286447811,6.424965799937181,1.090986082300356,6.207453770406437,1.093453503898468
5,unet_c2f_b_f2_c2_variant_contrast,"unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30","C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.",0,0.9965095986038395,6.3454,6.847300000000001,1.4005999999999998,9.730687842727807,9.050371469537515,16.670486291355395,1.0564655899039666,10.589596264905019,0.8392377075502477,9.9244548345871,7.076332672198103,1.0741665684632185,6.348372791779769,1.0774246897761537
6,unet_c2f_a_f1_c4_negative_high_parent,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30",C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,0,0.9965095986038395,6.532399999999999,7.069699999999999,1.2727,10.436208301367932,9.889002021775518,17.800064633205874,0.945654200991132,7.1586089202759275,0.8019830444976215,9.743403840566634,6.962706233909907,1.0898714916605903,6.550577208496776,1.0934612677018594
7,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"unet:direct:enc1:0,5,6,17,18,30","Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.",0,0.9965095986038395,6.9553,7.7536,1.3857,11.824288465216659,11.107792042130887,18.852725251571975,1.016813892844974,10.315589294841752,0.7991341777150397,9.606846972454047,7.534445857967163,1.1022728748901671,6.96973770758195,1.1067954915416445
8,unet_enc0_direct_f5_d02_d03_d07_d12_d13,"unet:direct:enc0:2,3,7,12,13","Direct fine parent F5, included because it has the clearest positive C2F synergy.",0,0.9965095986038395,7.095899999999999,7.864699999999999,1.3664,10.971022211768016,10.422633951724949,19.641063545205313,1.0247739057551895,10.227325790420778,0.7974576871211516,10.274739263194908,7.5197657019120845,1.0884688962001532,7.105605307065348,1.0893199743233433
9,unet_enc1_direct_c4_d00_d05_d06_d18_d30,"unet:direct:enc1:0,5,6,18,30","Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.",0,0.9965095986038395,7.6408000000000005,8.341700000000001,1.3711,12.670755025658794,11.962821774829239,20.766498219014917,1.0072186022796001,8.023855167264173,0.8163480125847722,9.3511864565293,8.730313551392534,1.1069721197970053,7.643216595085174,1.113187040430258
