channel,condition,local_sharpness,global_sharpness,x_local,y_local
35,+30%,0.003566,0.015028,0.003596,0.003536
35,+50%,0.004541,0.013870,0.002712,0.006370
36,Clean,0.003296,0.016541,0.002146,0.004446
36,+30%,0.006849,0.011483,0.008790,0.004909
36,+50%,0.005657,0.010542,0.007332,0.003982
37,Clean,0.003538,0.016840,0.002253,0.004823
37,+30%,0.004549,0.014059,0.005469,0.003629
37,+50%,0.005567,0.013480,0.007358,0.003776
38,Clean,0.003190,0.015892,0.002948,0.003432
38,+30%,0.007146,0.011709,0.002435,0.011856
38,+50%,0.008960,0.010464,0.005701,0.012218
39,Clean,0.004129,0.018092,0.003723,0.004536
39,+30%,0.007290,0.012071,0.011403,0.003177
39,+50%,0.006554,0.012689,0.010833,0.002275
40,Clean,0.003679,0.016564,0.002470,0.004888
40,+30%,0.004449,0.014286,0.005055,0.003842
40,+50%,0.005561,0.011440,0.007029,0.004093
41,Clean,0.002868,0.014076,0.002466,0.003271
41,+30%,0.005849,0.010662,0.009536,0.002161
41,+50%,0.008824,0.010736,0.004583,0.013065
42,Clean,0.003301,0.016318,0.004053,0.002548
42,+30%,0.003810,0.015225,0.003406,0.004214
42,+50%,0.003802,0.014073,0.005225,0.002379
43,Clean,0.003118,0.014358,0.002329,0.003906
43,+30%,0.006944,0.012254,0.004562,0.009327
43,+50%,0.006487,0.009852,0.004505,0.008468
44,Clean,0.003467,0.015379,0.003282,0.003652
44,+30%,0.009301,0.009421,0.009376,0.009225
44,+50%,0.008673,0.008287,0.006261,0.011085
45,Clean,0.003264,0.015623,0.003440,0.003088
45,+30%,0.003823,0.015031,0.004315,0.003330
45,+50%,0.005639,0.011474,0.005920,0.005357
46,Clean,0.003144,0.015562,0.002278,0.004009
46,+30%,0.003583,0.011830,0.001738,0.005429
46,+50%,0.006665,0.012675,0.002508,0.010821
47,Clean,0.002987,0.014954,0.002293,0.003680
47,+30%,0.006664,0.010846,0.009529,0.003799
47,+50%,0.007043,0.010809,0.005520,0.008566
48,Clean,0.004161,0.018637,0.003727,0.004594
48,+30%,0.009614,0.009062,0.006638,0.012591
48,+50%,0.009398,0.013944,0.004149,0.014648
49,Clean,0.003926,0.017096,0.002868,0.004984
49,+30%,0.005755,0.012336,0.002490,0.009020
49,+50%,0.008909,0.008547,0.010843,0.006976
50,Clean,0.003118,0.015971,0.003000,0.003236
50,+30%,0.007059,0.011000,0.008878,0.005240
50,+50%,0.007486,0.010716,0.004576,0.010395
51,Clean,0.003101,0.013954,0.003404,0.002799
51,+30%,0.003842,0.009636,0.005329,0.002355
51,+50%,0.007966,0.012050,0.007256,0.008676
52,Clean,0.003361,0.015303,0.003111,0.003611
52,+30%,0.007246,0.012894,0.002475,0.012017
52,+50%,0.005016,0.016216,0.005251,0.004781
53,Clean,0.003479,0.015496,0.003293,0.003665
53,+30%,0.005268,0.010429,0.004154,0.006381
53,+50%,0.007729,0.007968,0.003003,0.012455
54,Clean,0.003440,0.015670,0.003204,0.003675
54,+30%,0.008608,0.008716,0.009131,0.008084
54,+50%,0.008442,0.008642,0.009781,0.007103
55,Clean,0.003627,0.017524,0.002922,0.004331
55,+30%,0.006885,0.012671,0.002257,0.011513
55,+50%,0.007032,0.011785,0.007193,0.006872
56,Clean,0.003846,0.016603,0.003481,0.004210
56,+30%,0.007008,0.009298,0.006185,0.007830
56,+50%,0.008132,0.008363,0.013185,0.003079
57,Clean,0.003327,0.016002,0.002390,0.004263
57,+30%,0.007947,0.009671,0.007192,0.008702
57,+50%,0.008164,0.009144,0.000862,0.015466
58,Clean,0.003504,0.016190,0.002170,0.004837
58,+30%,0.008966,0.008693,0.005047,0.012886
58,+50%,0.006117,0.013170,0.001532,0.010702
59,Clean,0.003978,0.017814,0.004810,0.003146
59,+30%,0.007642,0.012280,0.013155,0.002129
59,+50%,0.009384,0.009207,0.009625,0.009143
60,Clean,0.003580,0.016854,0.002133,0.005027
60,+30%,0.006469,0.013450,0.008564,0.004373
60,+50%,0.006410,0.011730,0.007810,0.005010
61,Clean,0.003081,0.014399,0.002435,0.003726
61,+30%,0.007202,0.008521,0.003349,0.011056
61,+50%,0.008262,0.008320,0.004306,0.012218
62,Clean,0.003406,0.015628,0.002744,0.004068
62,+30%,0.007833,0.009610,0.001214,0.014451
62,+50%,0.008626,0.009722,0.003682,0.013571
63,Clean,0.005377,0.020002,0.003035,0.007719
63,+30%,0.007679,0.008844,0.001722,0.013635
63,+50%,0.008088,0.008536,0.000557,0.015619
64,Clean,0.003136,0.015066,0.002484,0.003789
64,+30%,0.004625,0.011258,0.006070,0.003180
64,+50%,0.004208,0.011999,0.005262,0.003154
65,Clean,0.003658,0.017055,0.003634,0.003683
