channel,condition,local_sharpness,global_sharpness,x_local,y_local
0,Clean,0.148270,0.033538,0.097870,0.198670
0,+30%,0.127219,0.029370,0.079798,0.174640
0,+50%,0.127902,0.029654,0.080322,0.175482
1,Clean,0.145533,0.034888,0.096277,0.194789
1,+30%,0.141032,0.035541,0.084039,0.198025
1,+50%,0.137333,0.036363,0.075861,0.198804
2,Clean,0.105604,0.024003,0.073752,0.137457
2,+30%,0.151487,0.032839,0.111755,0.191218
2,+50%,0.153970,0.034347,0.113929,0.194011
3,Clean,0.078244,0.026527,0.072454,0.084034
3,+30%,0.056965,0.023235,0.051691,0.062239
3,+50%,0.045250,0.019586,0.041946,0.048554
4,Clean,0.030993,0.023863,0.029492,0.032495
4,+30%,0.033737,0.024724,0.031952,0.035522
4,+50%,0.042010,0.025574,0.036957,0.047063
5,Clean,0.077595,0.026513,0.067268,0.087923
5,+30%,0.092331,0.028808,0.079460,0.105203
5,+50%,0.069240,0.021339,0.058362,0.080118
6,Clean,0.148932,0.033104,0.182357,0.115507
6,+30%,0.147111,0.032760,0.179771,0.114452
6,+50%,0.147549,0.033431,0.180357,0.114740
7,Clean,0.125416,0.030844,0.119729,0.131104
7,+30%,0.126412,0.031931,0.121776,0.131047
7,+50%,0.124038,0.032248,0.117648,0.130429
8,Clean,0.171060,0.033096,0.194136,0.147985
8,+30%,0.162335,0.033489,0.189278,0.135392
8,+50%,0.155260,0.034207,0.182467,0.128053
9,Clean,0.091972,0.028304,0.065188,0.118756
9,+30%,0.090015,0.027879,0.066140,0.113889
9,+50%,0.106809,0.029010,0.073150,0.140468
10,Clean,0.069409,0.024729,0.057423,0.081395
10,+30%,0.071722,0.024386,0.057195,0.086249
10,+50%,0.081753,0.026135,0.063267,0.100239
11,Clean,0.151817,0.030574,0.157415,0.146219
11,+30%,0.152360,0.032190,0.157933,0.146787
11,+50%,0.144665,0.031372,0.149272,0.140058
12,Clean,0.126657,0.029806,0.105213,0.148101
12,+30%,0.094747,0.026671,0.074726,0.114767
12,+50%,0.086199,0.026415,0.071152,0.101245
13,Clean,0.150261,0.031707,0.159764,0.140757
13,+30%,0.144830,0.031622,0.152607,0.137052
13,+50%,0.146016,0.031598,0.153803,0.138230
14,Clean,0.106619,0.026173,0.062204,0.151035
14,+30%,0.105601,0.025854,0.059481,0.151722
14,+50%,0.128840,0.030394,0.074729,0.182951
15,Clean,0.082961,0.026981,0.071374,0.094547
15,+30%,0.095990,0.028424,0.085911,0.106068
15,+50%,0.100518,0.028734,0.091684,0.109352
16,Clean,0.150158,0.031866,0.187164,0.113152
16,+30%,0.126719,0.027781,0.156753,0.096685
16,+50%,0.143553,0.031140,0.173513,0.113593
17,Clean,0.170352,0.033394,0.168431,0.172274
17,+30%,0.163409,0.032994,0.161887,0.164931
17,+50%,0.162516,0.033150,0.162994,0.162039
18,Clean,0.151928,0.034967,0.113931,0.189925
18,+30%,0.152210,0.036120,0.114488,0.189931
18,+50%,0.141120,0.034293,0.101797,0.180443
19,Clean,0.147490,0.033563,0.111816,0.183163
19,+30%,0.140662,0.031504,0.107541,0.173782
19,+50%,0.135779,0.030300,0.104215,0.167343
20,Clean,0.121563,0.027247,0.110201,0.132925
20,+30%,0.063936,0.017614,0.053108,0.074764
20,+50%,0.074300,0.019660,0.067028,0.081572
21,Clean,0.105924,0.027739,0.073166,0.138682
21,+30%,0.100883,0.029132,0.063605,0.138162
21,+50%,0.094357,0.027729,0.057246,0.131468
22,Clean,0.153062,0.033219,0.163703,0.142420
22,+30%,0.151815,0.033011,0.163679,0.139952
22,+50%,0.148435,0.032486,0.160640,0.136229
23,Clean,0.157794,0.033064,0.135922,0.179666
23,+30%,0.145758,0.032955,0.116018,0.175498
23,+50%,0.146406,0.034874,0.114378,0.178434
24,Clean,0.166118,0.034344,0.176865,0.155371
24,+30%,0.149264,0.032853,0.157517,0.141012
24,+50%,0.139069,0.031586,0.146992,0.131147
25,Clean,0.125188,0.031481,0.074837,0.175540
25,+30%,0.117900,0.030785,0.067035,0.168764
25,+50%,0.120138,0.031152,0.068024,0.172253
26,Clean,0.136069,0.031519,0.135902,0.136236
26,+30%,0.124885,0.031121,0.124869,0.124901
26,+50%,0.127491,0.031977,0.126813,0.128170
27,Clean,0.151723,0.034048,0.111081,0.192365
27,+30%,0.137965,0.032682,0.096378,0.179552
27,+50%,0.130858,0.030687,0.094874,0.166842
28,Clean,0.142284,0.030947,0.143098,0.141470
28,+30%,0.107953,0.027293,0.111432,0.104474
28,+50%,0.105505,0.025349,0.104287,0.106722
29,Clean,0.096815,0.025661,0.108950,0.084681
29,+30%,0.084622,0.022346,0.096158,0.073085
29,+50%,0.077000,0.022095,0.088097,0.065902
30,Clean,0.060123,0.022738,0.041708,0.078538
30,+30%,0.063683,0.022431,0.042951,0.084414
30,+50%,0.062335,0.021795,0.042753,0.081917
31,Clean,0.073313,0.027118,0.063437,0.083190
31,+30%,0.089250,0.024778,0.069134,0.109365
31,+50%,0.070795,0.020110,0.059322,0.082269
