step,n_channels,channel_str,added_channel,composite_score,local_clean_mean,local_50_mean,ret50_mean,ret50_std,ret50_min,ret30_mean,cn_clean_mean,cn50_mean,n_survive_50,survival_rate
0,1,6,,0.057709130905562706,0.053073520001208775,0.05969582129314297,114.57114439151955,12.001406951469333,98.15973765567236,105.80262058875162,1.5159621135998103,1.494457381239142,1,100.0
1,2,"6,15",15,0.08361348145420909,0.08415605999786563,0.083380947792642,99.56204568716589,5.178358499081389,92.53759658361541,101.1939985552936,1.6303408933100283,1.5825997282120057,2,100.0
