rank,channel,composite_score,local_clean_mean,local_50_mean,ret50_mean,cn_clean_mean,cn50_mean,survival_rate
1,15,0.113576,0.128903,0.107008,83.2,1.70,1.65,100.0
2,6,0.057709,0.053074,0.059696,114.6,1.52,1.49,100.0
3,45,0.018195,0.019162,0.017780,93.3,1.86,1.68,100.0
