rank,channels,source_stage,se3_ate_rmse_cm,se3_ate_mean_cm,rotation_ape_rmse_deg,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,translation_jump_flag,rotation_jump_flag,rpe_safety_pass,legacy_keyframe_sim3_mean_cm,legacy_keyframe_sim3_scale,legacy_keyframe_poses,photo_mse_median,photo_mse_nonfinite_count,valid_ratio_min
1,"5,14,17,26",bruteforce,4.398563518395828,3.9947254177567406,171.35603664993943,3.7503245555622566,14.165766039785419,2.3871104730824215,9.192133759766591,True,True,False,4.100674051885444,1.0447589184887949,9,3137.82373,0,0.877
2,"14,56,60,63",bruteforce,4.519538502806658,3.6901526529627784,73.67779331152236,4.195523935024196,21.504683991296815,2.6584652777960507,13.125313324156561,True,True,False,2.876509031253987,0.9711366165468022,8,24.552551,0,0.83
3,"14,23,24,60",bruteforce,4.617810564598777,4.310703242092604,80.03276849815254,2.701287511931074,11.731637716304714,1.653267728350399,6.65584217522131,True,True,False,3.6689853060023627,1.140871735907261,10,20.065542,0,0.926
4,"5,26,30,60",bruteforce,4.854876416565232,4.260398885342799,79.12720193458524,3.772639088028551,16.58102753678658,2.779271190287631,13.940300290439827,True,True,False,4.19856889048885,0.9864710025559603,7,33.144958,0,0.823
5,"5,8,14,30",bruteforce,5.048460197329686,4.450089518055382,73.12640683993261,2.7230403130655554,10.00684974924921,1.8169849405995364,6.150707067657386,True,True,False,2.9218514619319294,1.1633635738924193,6,44.05135,0,0.928
6,"5,8,30,50",bruteforce,5.439393220149964,4.627697798469245,77.26493764470854,2.9003331402427435,9.841088626930308,1.9858083818559582,6.139397672964332,True,True,False,3.2995086223515586,1.1813726755628116,7,21.482393,0,0.965
7,"14,23,24,26",bruteforce,5.513990473007898,5.100371129724136,123.73768560980486,3.683389809852927,16.866959155747217,2.3692301871242,9.650851025290336,True,True,False,4.52010910145866,1.1817078055972994,10,27.357494,0,0.894
8,"14,17,23,26",bruteforce,5.692253289868243,4.6408742606387285,118.12602587825114,4.1921159840513065,21.183041239301676,2.943845610621967,15.117586796035248,True,True,False,3.775714776583891,1.0917639648926236,8,1956.781494,0,0.654
9,"5,14,30,59",bruteforce,5.752206235734992,5.128378026525966,50.92006022944049,3.0903513169570624,11.366738755563018,2.01255655428663,6.614869553818226,True,True,False,4.8896200639207406,0.9911434904203336,8,98.850189,0,0.921
10,"5,24,26,40",bruteforce,5.821469604720002,5.163724408638471,52.57726714987278,4.033757372671362,19.047454479368923,2.769677020850543,14.141241008854598,True,True,False,4.595507302201092,0.8758160284144364,11,1136.616211,0,0.85
