step,n_channels,channel_str,added_channel,composite_score,local_clean_mean,local_50_mean,ret50_mean,ret50_std,ret50_min,ret30_mean,cn_clean_mean,cn50_mean,n_survive_50,survival_rate
0,,60,,0.048791,0.052369,0.047258,90.1,,,,1.78,1.73,,100.0
1,2,"23,60",23,0.0593907929646752,0.06123901896236339,0.05859869610852312,95.62379254717597,2.7267643869866176,93.31998132585585,101.22071041737411,1.6262759037711854,1.5700248622390915,2,100.0
2,3,"23,42,60",42,0.059584970163815,0.060634301450596034,0.05913525675519455,97.2593865370123,2.250387339471892,94.23192436330822,100.92140503943574,1.819825063784276,1.7509037221838133,3,100.0
