Trial	N_Channels	Channels	ATE_Mean_cm	Status
1	6	d6,d28,d35,d57,d62,d70	52.2626	OK
2	6	d7,d8,d22,d23,d26,d108	27.8022	OK
3	6	d6,d50,d55,d56,d59,d107	50.5759	OK
4	6	d1,d40,d71,d87,d108,d114	37.5603	OK
5	4	d39,d55,d71,d86	47.6298	OK
6	4	d23,d24,d26,d97	-	TIMEOUT
7	4	d11,d67,d88,d91	39.0362	OK
8	4	d20,d31,d96,d117	28.9454	OK
9	8	d11,d17,d20,d49,d58,d74,d75,d92	43.1751	OK
10	8	d25,d41,d59,d71,d93,d94,d97,d116	37.3620	OK
11	8	d18,d41,d43,d53,d62,d68,d90,d118	45.4686	OK
12	8	d8,d14,d56,d58,d69,d80,d83,d97	40.2304	OK
13	6	d16,d54,d68,d80,d102,d127	43.5618	OK
14	6	d35,d36,d63,d67,d101,d117	30.9426	OK
15	6	d35,d56,d67,d92,d102,d109	26.5196	OK
16	6	d12,d23,d28,d39,d40,d126	47.3191	OK
17	4	d16,d97,d98,d108	36.9195	OK
18	4	d2,d29,d64,d119	-	TIMEOUT
19	4	d28,d68,d75,d87	45.3336	OK
20	4	d0,d40,d111,d116	53.1503	OK
21	8	d27,d39,d41,d45,d50,d67,d76,d95	24.7434	OK
22	8	d0,d4,d28,d61,d78,d82,d92,d125	40.1554	OK
23	8	d14,d17,d20,d21,d32,d61,d121,d124	47.3436	OK
24	8	d42,d51,d54,d67,d79,d95,d102,d108	30.8974	OK
25	6	d16,d30,d57,d63,d112,d115	-	TIMEOUT
26	6	d1,d5,d18,d56,d58,d86	50.1699	OK
27	6	d8,d15,d17,d18,d58,d84	46.9638	OK
28	6	d33,d54,d60,d71,d121,d124	29.7248	OK
29	4	d48,d62,d104,d121	30.2524	OK
30	4	d24,d90,d108,d110	48.8773	OK
31	4	d13,d25,d105,d119	-	FROZEN_FAIL
32	4	d15,d27,d86,d103	58.8003	OK
33	8	d35,d46,d48,d49,d63,d71,d108,d114	41.6604	OK
34	8	d3,d12,d19,d23,d25,d63,d113,d118	43.2877	OK
35	8	d15,d42,d54,d60,d102,d104,d123,d124	39.8256	OK
36	8	d0,d42,d67,d73,d97,d99,d108,d116	33.6189	OK
37	6	d14,d39,d48,d55,d75,d124	39.5615	OK
38	6	d12,d14,d15,d40,d80,d122	50.5114	OK
39	6	d14,d17,d20,d47,d60,d103	59.5488	OK
40	6	d10,d20,d30,d63,d80,d107	46.9245	OK
41	4	d52,d61,d66,d80	52.3307	OK
42	4	d33,d67,d76,d101	31.3123	OK
43	4	d2,d18,d80,d117	-	TIMEOUT
44	4	d18,d25,d54,d117	48.3156	OK
45	8	d17,d33,d40,d62,d67,d72,d89,d94	40.0856	OK
46	8	d2,d26,d29,d34,d67,d76,d77,d112	34.5481	OK
47	8	d27,d39,d52,d53,d67,d69,d72,d87	41.6290	OK
48	8	d0,d11,d13,d23,d64,d70,d108,d125	46.9460	OK
49	6	d33,d41,d67,d85,d109,d113	35.3406	OK
50	6	d2,d9,d19,d28,d38,d94	44.4270	OK
51	6	d10,d32,d37,d78,d93,d110	46.7121	OK
