Step,Added Channel,Current Combination,BQS,Marginal BQS Gain,LQBS,Width,Retention
1,02,[2],0.6658,-,0.95,0.0699,0.9121
2,00,"[2, 0]",0.6791,+0.0133,0.9382,0.0618,0.9444
