Step,Added Channel,Current Combination,BQS,Marginal BQS Gain,LQBS,Width,Retention
1,06,[6],0.6797,-,0.4384,5.099,0.937
2,28,"[6, 28]",0.7157,+0.0360,0.4512,5.3852,0.9544
3,34,"[6, 28, 34]",0.7262,+0.0105,0.4572,5.6569,0.9494
4,62,"[6, 28, 34, 62]",0.7382,+0.0120,0.465,5.831,0.9465
5,12,"[6, 28, 34, 62, 12]",0.7397,+0.0016,0.4692,5.831,0.9417
6,54,"[6, 28, 34, 62, 12, 54]",0.7401,+0.0004,0.4697,5.831,0.9413
7,03,"[6, 28, 34, 62, 12, 54, 3]",0.7402,+0.0001,0.4705,5.831,0.9401
8,02,"[6, 28, 34, 62, 12, 54, 3, 2]",0.7402,+0.0000,0.4705,5.831,0.9401
