rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,swap_k06_0024_d05_d06_d17_d18_d28_d30,"5,6,17,18,28,30",one-channel swap audit around provisional greedy endpoint,0,0.9965095986038395,6.7335,7.8211,1.3403,11.764025181269325,11.004043962499521,19.569018018349208,1.0365173074343876,12.192615563292291,0.7737093718828812,9.633790891631545,7.7654842151080805,1.0962896222779401,6.743084671241803,1.0998278898851972
2,swap_k06_0024_d05_d06_d17_d18_d28_d30,"5,6,17,18,28,30",final repeat validation for Lstar_single,1,0.9965095986038395,6.7335,7.8211,1.3403,11.764025181269325,11.004043962499521,19.569018018349208,1.0365173074343876,12.192615563292291,0.7737093718828812,9.633790891631545,7.7654842151080805,1.0962896222779401,6.743084671241803,1.0998278898851972
3,swap_k06_0024_d05_d06_d17_d18_d28_d30,"5,6,17,18,28,30",final repeat validation for Lstar_single,2,0.9965095986038395,6.7335,7.8211,1.3403,11.764025181269325,11.004043962499521,19.569018018349208,1.0365173074343876,12.192615563292291,0.7737093718828812,9.633790891631545,7.7654842151080805,1.0962896222779401,6.743084671241803,1.0998278898851972
4,g_s01_k06_from_d00_d05_d06_d18_d30_add_d17,"0,5,6,17,18,30",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,6.9553,7.7536,1.3857,11.824288465216659,11.107792042130887,18.852725251571975,1.016813892844974,10.315589294841752,0.7991341777150397,9.606846972454047,7.534445857967163,1.1022728748901671,6.96973770758195,1.1067954915416445
5,g_s01_k06_from_d00_d05_d06_d18_d30_add_d17,"0,5,6,17,18,30",final repeat validation for G6,1,0.9965095986038395,6.9553,7.7536,1.3857,11.824288465216659,11.107792042130887,18.852725251571975,1.016813892844974,10.315589294841752,0.7991341777150397,9.606846972454047,7.534445857967163,1.1022728748901671,6.96973770758195,1.1067954915416445
6,g_s01_k06_from_d00_d05_d06_d18_d30_add_d17,"0,5,6,17,18,30",final repeat validation for G6,2,0.9965095986038395,6.9553,7.7536,1.3857,11.824288465216659,11.107792042130887,18.852725251571975,1.016813892844974,10.315589294841752,0.7991341777150397,9.606846972454047,7.534445857967163,1.1022728748901671,6.96973770758195,1.1067954915416445
7,g_s01_k06_from_d00_d05_d06_d18_d30_add_d15,"0,5,6,15,18,30",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,6.990499999999999,7.8601,1.4043999999999999,11.520230740337546,10.883003572828422,19.753605245903803,1.0065926415868094,9.925548771668536,0.774056929113793,8.878681702087814,7.444929484238724,1.0970897783778717,7.006575158348959,1.0983765121838436
8,g_s01_k04_from_d00_d05_d18_add_d30,"0,5,18,30",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,7.1673,7.9868999999999994,1.8872,11.500784837805183,10.476307154324838,26.033816090942974,1.3693213801692474,21.92709507416018,1.043973572725086,13.914066308271957,8.28976841584259,1.0804751725001092,7.178479538991294,1.0836124193076069
9,g_s01_k04_from_d00_d05_d18_add_d30,"0,5,18,30",final repeat validation for G4,1,0.9965095986038395,7.1673,7.9868999999999994,1.8872,11.500784837805183,10.476307154324838,26.033816090942974,1.3693213801692474,21.92709507416018,1.043973572725086,13.914066308271957,8.28976841584259,1.0804751725001092,7.178479538991294,1.0836124193076069
10,g_s01_k04_from_d00_d05_d18_add_d30,"0,5,18,30",final repeat validation for G4,2,0.9965095986038395,7.1673,7.9868999999999994,1.8872,11.500784837805183,10.476307154324838,26.033816090942974,1.3693213801692474,21.92709507416018,1.043973572725086,13.914066308271957,8.28976841584259,1.0804751725001092,7.178479538991294,1.0836124193076069
11,g_s01_k06_from_d00_d05_d06_d18_d30_add_d01,"0,1,5,6,18,30",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,7.2303999999999995,7.9821,1.2683,11.706920810365704,11.019491787105789,19.308681128844484,0.9491912996585319,6.392273343260318,0.7676359951183649,9.750890316663007,7.569556659577511,1.1030711281089718,7.248310662316825,1.1060113103467948
12,swap_k06_0013_d05_d06_d15_d17_d18_d30,"5,6,15,17,18,30",one-channel swap audit around provisional greedy endpoint,0,0.9965095986038395,7.3467,8.326799999999999,1.2092,12.420331671791454,11.64562010925398,19.659082668949203,0.9173012765876077,6.524598000497901,0.7403605644704172,9.648492457592571,8.040088003396,1.103854523391459,7.364849408277957,1.1086539953630759
13,swap_k06_0058_d00_d05_d08_d17_d18_d30,"0,5,8,17,18,30",one-channel swap audit around provisional greedy endpoint,0,0.9965095986038395,7.351100000000001,7.991099999999999,1.4477,11.26579465696271,10.554487859502954,19.24432511640858,1.0337701160841077,9.365080203166466,0.8876054755025545,11.586419583328295,8.038681586450156,1.0849426270975016,7.367805095153603,1.0928710362075458
14,swap_k06_0056_d00_d04_d05_d17_d18_d30,"0,4,5,17,18,30",one-channel swap audit around provisional greedy endpoint,0,0.9965095986038395,7.523499999999999,8.2359,1.3036,10.964132659538476,10.300020088958014,18.090491999456624,0.9620727396355611,6.602511401656234,0.7212575394005198,9.5249754188296,8.114126373811523,1.0792500611064346,7.5357530526880465,1.0843021773309234
15,swap_k06_0068_d00_d05_d17_d18_d20_d30,"0,5,17,18,20,30",one-channel swap audit around provisional greedy endpoint,0,0.9965095986038395,7.5626,8.2994,1.4102,11.6521261471079,10.895372567610506,18.73857204170821,1.0426729273617297,8.460836271580503,0.8120945905520829,9.390445361727721,8.416939264904537,1.0876350668179813,7.575709480880957,1.0933907540754617
16,g_s01_k06_from_d00_d05_d06_d18_d30_add_d02,"0,2,5,6,18,30",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,7.613,8.2997,1.3969,12.197350216046681,11.526102808650943,21.332023361121593,1.005521485903679,7.970212658288806,0.8027434080562521,9.444153332350643,8.572208584382123,1.099524688955957,7.619318269705752,1.1037141717245733
17,g_s01_k05_from_d00_d05_d18_d30_add_d06,"0,5,6,18,30",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,7.6408000000000005,8.341700000000001,1.3711,12.670755025658794,11.962821774829239,20.766498219014917,1.0072186022796001,8.023855167264173,0.8163480125847722,9.3511864565293,8.730313551392534,1.1069721197970053,7.643216595085174,1.113187040430258
18,g_s01_k05_from_d00_d05_d18_d30_add_d06,"0,5,6,18,30",final repeat validation for G5,1,0.9965095986038395,7.6408000000000005,8.341700000000001,1.3711,12.670755025658794,11.962821774829239,20.766498219014917,1.0072186022796001,8.023855167264173,0.8163480125847722,9.3511864565293,8.730313551392534,1.1069721197970053,7.643216595085174,1.113187040430258
