variant,c2f_cells,c2f_pass_count,comparable_parent_pairs,beats_fine_parent_count,beats_better_direct_parent_count,median_percent_delta_vs_fine,median_percent_delta_vs_better_parent
A,27,27,27,23,23,-3.3290767972226134,-3.3290767972226134
B,9,9,9,5,4,-2.4625380866790314,0.006507027589810713
