Step,Added Channel,Current Combination,BQS,Marginal BQS Gain,LQBS,Width,Retention
1,02,[2],0.5333,-,0.7925,0.0376,0.8832
2,61,"[2, 61]",0.5802,+0.0469,0.8326,0.04,0.9145
3,60,"[2, 61, 60]",0.603,+0.0227,0.8404,0.0395,0.9418
4,32,"[2, 61, 60, 32]",0.6105,+0.0076,0.8576,0.0258,0.9398
5,53,"[2, 61, 60, 32, 53]",0.6237,+0.0132,0.857,0.0263,0.9606
6,41,"[2, 61, 60, 32, 53, 41]",0.6264,+0.0027,0.8528,0.0261,0.9695
