step,beam,channel,subset,bqs,marginal
1,seed,0,[0],0.30894040116217264,0.30894040116217264
1,seed,1,[1],0.26915563710472484,0.26915563710472484
1,seed,2,[2],0.5334261028963969,0.5334261028963969
1,seed,3,[3],0.3423918644578373,0.3423918644578373
1,seed,4,[4],0.4411506146352827,0.4411506146352827
1,seed,5,[5],0.22360395852971143,0.22360395852971143
1,seed,6,[6],0.33592746208951707,0.33592746208951707
1,seed,7,[7],0.466368880039515,0.466368880039515
1,seed,8,[8],0.44847680581728083,0.44847680581728083
1,seed,9,[9],0.346756568877417,0.346756568877417
1,seed,10,[10],0.3797641988525261,0.3797641988525261
1,seed,11,[11],0.15461486176246111,0.15461486176246111
1,seed,12,[12],0.25355585975777356,0.25355585975777356
1,seed,13,[13],0.3626998345050569,0.3626998345050569
1,seed,14,[14],0.32939595564266383,0.32939595564266383
1,seed,15,[15],0.3700683888614855,0.3700683888614855
1,seed,16,[16],0.34095353863846306,0.34095353863846306
1,seed,17,[17],0.24329768404750887,0.24329768404750887
1,seed,18,[18],0.0,0.0
1,seed,19,[19],0.3448304746582907,0.3448304746582907
1,seed,20,[20],0.38391362689670344,0.38391362689670344
1,seed,21,[21],0.418057000860404,0.418057000860404
1,seed,22,[22],0.27221860785507257,0.27221860785507257
1,seed,23,[23],0.42901872029505916,0.42901872029505916
1,seed,24,[24],0.07295166794422192,0.07295166794422192
1,seed,25,[25],0.2572925802413609,0.2572925802413609
1,seed,26,[26],0.3855977222446868,0.3855977222446868
1,seed,27,[27],0.31269173037410136,0.31269173037410136
1,seed,28,[28],0.2938550650298547,0.2938550650298547
1,seed,29,[29],0.37475399209480165,0.37475399209480165
1,seed,30,[30],0.31136618042082587,0.31136618042082587
1,seed,31,[31],0.27104754902354533,0.27104754902354533
1,seed,32,[32],0.35010693643154356,0.35010693643154356
1,seed,33,[33],0.07861205811966564,0.07861205811966564
1,seed,34,[34],0.33069443640422247,0.33069443640422247
1,seed,35,[35],0.10988967218459021,0.10988967218459021
1,seed,36,[36],0.20620625037746443,0.20620625037746443
1,seed,37,[37],0.44034767695481236,0.44034767695481236
1,seed,38,[38],0.2745815532648448,0.2745815532648448
1,seed,39,[39],0.26243811535024286,0.26243811535024286
1,seed,40,[40],0.28052155986729993,0.28052155986729993
1,seed,41,[41],0.4693762019152597,0.4693762019152597
