architecture,label,configuration,variant,fine_rank,coarse_rank,c2f_pass_count,comparable_pairs,wins_vs_better_parent,family_triple_wins,median_percent_delta_vs_better_parent
ResNet,resnet_c2f_b_fine02_coarse05,R-B F2+C5,B,2,5,9,9,4,,1.8638184245660763
U-Net,unet_c2f_b_fine03_coarse03,U-B F3+C3,B,3,3,9,9,3,,0.40348761710414704
ResNet,resnet_c2f_b_fine06_coarse01,R-B F6+C1,B,6,1,8,8,3,,0.4206765758195203
ResNet,resnet_c2f_b_fine03_coarse04,R-B F3+C4,B,3,4,8,8,3,,0.44764062137896193
U-Net,unet_c2f_a_fine05_coarse03,U-A F5+C3,A,5,3,9,9,3,,0.5341911873210493
U-Net,unet_c2f_a_fine02_coarse01,U-A F2+C1,A,2,1,9,9,3,,0.7793993102009406
U-Net,unet_c2f_a_fine03_coarse03,U-A F3+C3,A,3,3,9,9,3,,0.9272801731702989
ResNet,resnet_c2f_b_fine04_coarse03,R-B F4+C3,B,4,3,9,9,3,,1.898699771187421
ResNet,resnet_c2f_b_fine05_coarse03,R-B F5+C3,B,5,3,9,9,3,,3.280732207669237
ResNet,resnet_c2f_a_fine04_coarse01,R-A F4+C1,A,4,1,9,9,3,,3.2954263758056364
ResNet,resnet_c2f_b_fine05_coarse01,R-B F5+C1,B,5,1,8,8,3,,3.441166564139594
ResNet,resnet_c2f_b_fine02_coarse04,R-B F2+C4,B,2,4,9,9,3,,4.299617774335315
ResNet,resnet_c2f_a_fine03_coarse05,R-A F3+C5,A,3,5,9,9,3,,7.305022529183559
ResNet,resnet_c2f_b_fine03_coarse01,R-B F3+C1,B,3,1,8,8,2,,2.1590495204836064
ResNet,resnet_c2f_b_fine03_coarse02,R-B F3+C2,B,3,2,9,9,2,,2.366263586247023
ResNet,resnet_c2f_b_fine02_coarse01,R-B F2+C1,B,2,1,9,9,2,,2.971072541165984
U-Net,unet_c2f_a_fine01_coarse03,U-A F1+C3,A,1,3,9,9,2,,3.46481202276155
ResNet,resnet_c2f_b_fine02_coarse03,R-B F2+C3,B,2,3,9,9,2,,4.422859535273169
U-Net,unet_c2f_a_fine02_coarse03,U-A F2+C3,A,2,3,9,9,2,,4.665349256809011
ResNet,resnet_c2f_a_fine04_coarse03,R-A F4+C3,A,4,3,9,9,2,,6.797377696564508
ResNet,resnet_c2f_a_fine04_coarse02,R-A F4+C2,A,4,2,8,8,2,,7.6557786072043355
ResNet,resnet_c2f_a_fine04_coarse04,R-A F4+C4,A,4,4,8,8,2,,9.451904315613978
ResNet,resnet_c2f_a_fine06_coarse04,R-A F6+C4,A,6,4,8,8,2,,13.337853638562366
ResNet,resnet_c2f_a_fine06_coarse03,R-A F6+C3,A,6,3,8,8,2,,14.529624520780382
ResNet,resnet_c2f_a_fine02_coarse01,R-A F2+C1,A,2,1,9,9,2,,15.661771250556287
ResNet,resnet_c2f_a_fine05_coarse03,R-A F5+C3,A,5,3,9,9,2,,24.077639261480204
ResNet,resnet_c2f_a_fine05_coarse04,R-A F5+C4,A,5,4,9,9,2,,24.205459996843935
ResNet,resnet_c2f_a_fine05_coarse02,R-A F5+C2,A,5,2,8,8,2,,25.58954648198886
ResNet,resnet_c2f_b_fine03_coarse03,R-B F3+C3,B,3,3,8,8,1,,3.439980565473101
ResNet,resnet_c2f_b_fine01_coarse03,R-B F1+C3,B,1,3,7,7,1,,5.496991059856864
ResNet,resnet_c2f_a_fine06_coarse02,R-A F6+C2,A,6,2,8,8,1,,11.500026215144658
ResNet,resnet_c2f_a_fine03_coarse03,R-A F3+C3,A,3,3,8,8,1,,14.30254665621391
ResNet,resnet_c2f_a_fine02_coarse05,R-A F2+C5,A,2,5,9,9,1,,15.105945377146412
ResNet,resnet_c2f_a_fine01_coarse05,R-A F1+C5,A,1,5,7,7,1,,15.193114102847025
ResNet,resnet_c2f_a_fine06_coarse01,R-A F6+C1,A,6,1,7,7,1,,16.10218049705005
ResNet,resnet_c2f_a_fine03_coarse04,R-A F3+C4,A,3,4,9,9,1,,17.202689392317243
ResNet,resnet_c2f_a_fine02_coarse04,R-A F2+C4,A,2,4,9,9,1,,20.394505683071706
ResNet,resnet_c2f_a_fine03_coarse01,R-A F3+C1,A,3,1,8,8,1,,22.38436675462357
ResNet,resnet_c2f_a_fine05_coarse01,R-A F5+C1,A,5,1,8,8,1,,24.499908383400392
ResNet,resnet_c2f_b_fine01_coarse04,R-B F1+C4,B,1,4,7,7,0,,6.319512712272784
ResNet,resnet_c2f_b_fine01_coarse02,R-B F1+C2,B,1,2,7,7,0,,6.765145913225908
ResNet,resnet_c2f_b_fine01_coarse01,R-B F1+C1,B,1,1,7,7,0,,9.58538976113911
ResNet,resnet_c2f_a_fine01_coarse01,R-A F1+C1,A,1,1,7,7,0,,37.02557875055417
ResNet,resnet_c2f_a_fine03_coarse02,R-A F3+C2,A,3,2,8,8,0,,42.80194039407564
ResNet,resnet_c2f_a_fine02_coarse03,R-A F2+C3,A,2,3,9,9,0,,56.44807959056774
ResNet,resnet_c2f_a_fine01_coarse02,R-A F1+C2,A,1,2,7,7,0,,59.884925581356946
ResNet,resnet_c2f_a_fine01_coarse04,R-A F1+C4,A,1,4,7,7,0,,61.02411279604422
ResNet,resnet_c2f_a_fine01_coarse03,R-A F1+C3,A,1,3,7,7,0,,65.71376682984013
ResNet,resnet_c2f_a_fine02_coarse02,R-A F2+C2,A,2,2,9,9,0,,76.78290090795667
