channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
11,0.25305748,0.46528661,,0.57580137,,0.20146874,0.23292620,,0.46371728,,0.67865115,1.00000000,0.63862848,,0.29456702,0.61871588,0.77717954,0.48178172,0.55560577,0.60778517,0.64821368,0.78068566,0.80624235,0.58994544,0.10833533,0.31089938,0.12890881,0.46609190,0.19714724,0.73902482,0.49188322,0.49174634,0.54984993,0.63190973,0.61918402,0.70603991,,0.80173880,,0.63936210,0.08099192,0.68409503,0.82618380,0.59171075,0.79099584,0.75130188,0.66719747,0.73578990,,0.82239068,0.09633979,0.73909748,0.09971373,0.74708420,0.55663359,0.74345064,0.34034812,0.70048344,0.63848948,0.24086505,0.70106810,0.79162049,0.61169553,0.40024823
12,0.12269013,0.57283473,,0.83732808,,0.02355294,0.25432566,,0.26300600,,0.67189991,0.63862848,1.00000000,,0.17398807,0.40010327,0.79066622,0.29639354,0.31467745,0.65265268,0.55072802,0.78323269,0.70249522,0.59409875,0.09235118,0.43439955,0.02157610,0.29966652,0.04924770,0.76189828,0.29410914,0.63594365,0.47513318,0.56641710,0.45371526,0.83178294,,0.77401912,,0.54323578,0.05087266,0.64735806,0.71276355,0.57895517,0.63346857,0.78073949,0.74190331,0.72296870,,0.55542171,0.21878925,0.72571099,0.07665859,0.70978963,0.85278630,0.72614801,0.34355581,0.54458427,0.90002406,0.07138830,0.73557389,0.77639258,0.87422097,0.40472156
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.02656535,0.20271149,,0.12646887,,0.04921934,0.05121133,,0.06534100,,0.04689385,0.29456702,0.17398807,,1.00000000,0.10875787,0.10428585,0.03782777,0.10060630,0.19870478,0.26501980,0.05100875,0.33571911,0.05801646,0.03421172,0.35374928,0.06465992,0.12489820,0.12723002,0.07540627,0.05503739,0.03604508,0.13253367,0.03811183,0.03448015,0.15620963,,0.05371473,,0.03429008,0.02812423,0.40122882,0.07989573,0.09948616,0.18191919,0.05410007,0.05114789,0.11870563,,0.19510657,0.41927296,0.03080249,0.11677525,0.02926104,0.16222280,0.14431491,0.31435409,0.18241982,0.07367643,0.33741614,0.08597057,0.09264006,0.04156686,0.19817275
15,0.06642985,0.41400033,,0.34939873,,0.33987060,0.16263655,,0.27349982,,0.53687298,0.61871588,0.40010327,,0.10875787,1.00000000,0.46764159,0.25035584,0.28035969,0.38959491,0.37517744,0.50493175,0.41566414,0.45752078,0.08247306,0.27805930,0.09970133,0.35184073,0.14650972,0.40169221,0.37660348,0.10358101,0.37164086,0.31945691,0.35698444,0.44399762,,0.48783386,,0.45799905,0.03117626,0.35644561,0.49519646,0.38513106,0.43208677,0.45590478,0.41166216,0.47681484,,0.50993478,0.07957390,0.51244026,0.06477185,0.50732112,0.34773922,0.41261870,0.10983889,0.34962767,0.39767373,0.04522789,0.45767924,0.45924902,0.37848318,0.23179743
16,0.41092244,0.57425576,,0.71420026,,0.03101259,0.43675199,,0.35742927,,0.74269181,0.77717954,0.79066622,,0.10428585,0.46764159,1.00000000,0.55056131,0.55280596,0.78117788,0.73276412,0.94468808,0.85684723,0.71087515,0.18620518,0.53498721,0.07112515,0.44805342,0.08039769,0.85596800,0.32170224,0.78404760,0.64784759,0.69238544,0.71894497,0.84511507,,0.96867257,,0.57381392,0.04478822,0.79165989,0.82473612,0.75454307,0.79313433,0.94193625,0.91653562,0.85241318,,0.60952896,0.27510068,0.88501668,0.19374931,0.88083059,0.71711397,0.88867974,0.46133313,0.71068621,0.77970332,0.07119766,0.82414079,0.96784395,0.80246043,0.45311734
17,0.23913617,0.44102746,,0.23925284,,0.04814039,0.06837022,,0.23287436,,0.47956681,0.48178172,0.29639354,,0.03782777,0.25035584,0.55056131,1.00000000,0.85358572,0.54123193,0.49628359,0.63092279,0.56723720,0.47823429,0.14986083,0.35680687,0.04768246,0.39858738,0.21114215,0.36589459,0.12484060,0.49294925,0.39649653,0.65650052,0.85096741,0.36209619,,0.59590226,,0.36498046,0.02522384,0.49481922,0.52791107,0.47058231,0.51717889,0.54044664,0.61924058,0.55982149,,0.40693370,0.24427584,0.58810771,0.09516546,0.58258379,0.23886746,0.59692478,0.27856988,0.36985859,0.29129550,0.04983940,0.56232065,0.62991798,0.28453371,0.33189872
18,0.17442617,0.43008351,,0.25756356,,0.05712906,0.07450387,,0.25899231,,0.56387454,0.55560577,0.31467745,,0.10060630,0.28035969,0.55280596,0.85358572,1.00000000,0.52196473,0.49099344,0.62808907,0.59466249,0.49638364,0.09327129,0.28967828,0.04318266,0.47989905,0.28502339,0.34938526,0.21478826,0.51115823,0.46491450,0.66711056,0.79593712,0.36861461,,0.61720347,,0.40743244,0.02628167,0.55651855,0.54419136,0.45510995,0.54172945,0.51997274,0.60414338,0.59412968,,0.44331303,0.13586307,0.59583861,0.11212763,0.59908736,0.25237593,0.61778247,0.32800722,0.46590567,0.31229264,0.09938285,0.59194112,0.63347024,0.30062401,0.30296564
19,0.29566652,0.73729753,,0.54592335,,0.05355289,0.15215790,,0.35778669,,0.70707315,0.60778517,0.65265268,,0.19870478,0.38959491,0.78117788,0.54123193,0.52196473,1.00000000,0.47986978,0.87360096,0.81356102,0.62851208,0.16746923,0.29499653,0.36223930,0.28257692,0.06691833,0.55309063,0.06422536,0.76109612,0.47757506,0.74465430,0.72434807,0.72496498,,0.77307951,,0.52371001,0.07294717,0.73660195,0.60774815,0.40920576,0.66548097,0.80676669,0.90364194,0.76421928,,0.43788061,0.36351371,0.82995069,0.07668465,0.77640581,0.56584704,0.80786765,0.24329227,0.23091017,0.63760674,0.18579349,0.81346214,0.83803070,0.58885455,0.15399067
20,0.34040359,0.52169871,,0.52626240,,0.16308777,0.19364330,,0.51030457,,0.64229071,0.64821368,0.55072802,,0.26501980,0.37517744,0.73276412,0.49628359,0.49099344,0.47986978,1.00000000,0.75035691,0.65087259,0.56294876,0.13254765,0.66301435,0.17342851,0.37478089,0.08908649,0.76045358,0.32514614,0.60091889,0.43622661,0.67000937,0.61563802,0.63084722,,0.79603696,,0.52499551,0.15765896,0.48822677,0.71694243,0.73746860,0.78489977,0.75937772,0.73417199,0.74172908,,0.54676664,0.32101297,0.78370470,0.05807319,0.76430583,0.48762363,0.71219397,0.18750420,0.58932012,0.63513356,0.05861555,0.72417653,0.78841305,0.64049578,0.61760330
