rank,channel,retention_50
1,6,0.911256
2,59,0.909434
3,5,0.896318
4,63,0.852419
5,19,0.851313
6,40,0.747823
7,52,0.732534
8,22,0.713766
9,49,0.710281
10,15,0.691381
11,23,0.654279
12,1,0.649182
13,28,0.622626
14,60,0.612088
15,42,0.589375
16,20,0.586706
17,0,0.579706
18,41,0.506237
19,31,0.462489
20,27,0.451407
21,32,0.442234
22,21,0.437293
23,47,0.362468
24,51,0.354585
25,55,0.311114
26,11,0.308515
27,46,0.290576
28,45,0.273286
29,43,0.260222
30,53,0.246379
31,33,0.199710
32,14,0.173863
33,44,0.139114
34,29,0.132907
35,10,0.131625
36,26,0.129478
37,56,0.113920
38,57,0.093877
39,8,0.088963
40,50,0.077346
41,30,0.075541
42,39,0.066541
43,25,0.037896
44,37,0.015449
45,61,0.012736
46,35,0.009501
47,24,0.007292
48,18,0.001696
49,54,0.000000
50,2,0.000000
51,13,0.000000
52,38,0.000000
53,12,0.000000
54,17,0.000000
55,3,0.000000
56,9,0.000000
57,4,0.000000
58,58,0.000000
59,7,0.000000
60,48,0.000000
61,36,0.000000
62,16,0.000000
63,34,0.000000
64,62,0.000000
