rank,channel,sharp_ret_30
1,6,1.000000
2,0,1.000000
3,58,1.000000
4,34,1.000000
5,16,1.000000
6,19,1.000000
7,63,1.000000
8,49,1.000000
9,53,1.000000
10,29,1.000000
11,1,1.000000
12,42,1.000000
13,41,1.000000
14,60,1.000000
15,20,1.000000
16,43,1.000000
17,40,1.000000
18,45,1.000000
19,8,1.000000
20,22,1.000000
21,21,1.000000
22,59,1.000000
23,12,1.000000
24,61,1.000000
25,55,0.989848
26,31,0.984648
27,5,0.971995
28,37,0.953406
29,46,0.951100
30,23,0.908880
31,52,0.907619
32,51,0.895166
33,15,0.883751
34,11,0.854740
35,28,0.840092
36,47,0.824366
37,27,0.804582
38,32,0.795929
39,33,0.721845
40,14,0.681796
41,35,0.667137
42,57,0.615022
43,50,0.597938
44,26,0.566006
45,25,0.472344
46,10,0.456076
47,56,0.418626
48,39,0.367219
49,44,0.319070
50,30,0.315734
51,24,0.144739
52,18,0.026393
53,17,0.004807
54,3,0.000000
55,2,0.000000
56,13,0.000000
57,38,0.000000
58,9,0.000000
59,54,0.000000
60,4,0.000000
61,7,0.000000
62,48,0.000000
63,36,0.000000
64,62,0.000000
