rank,channel,bright_sym_30
1,59,0.986947
2,6,0.982820
3,52,0.981183
4,5,0.965128
5,10,0.964993
6,15,0.964172
7,63,0.963822
8,1,0.950745
9,49,0.947067
10,40,0.938836
11,19,0.938450
12,23,0.932374
13,58,0.926991
14,22,0.925715
15,11,0.915992
16,28,0.914185
17,14,0.914058
18,27,0.907145
19,43,0.907121
20,42,0.906632
21,32,0.896848
22,31,0.889116
23,60,0.887177
24,20,0.886772
25,41,0.881888
26,29,0.874964
27,8,0.866614
28,26,0.864112
29,47,0.854597
30,21,0.850860
31,51,0.842800
32,46,0.841574
33,55,0.811535
34,53,0.810249
35,34,0.801651
36,33,0.801609
37,16,0.799539
38,57,0.798056
39,45,0.797508
40,0,0.796357
41,61,0.757956
42,37,0.726665
43,56,0.724045
44,50,0.723424
45,44,0.678789
46,39,0.678467
47,25,0.676022
48,35,0.654719
49,30,0.651153
50,17,0.592992
51,24,0.469796
52,18,0.466489
53,12,0.385291
54,3,0.000000
55,2,0.000000
56,13,0.000000
57,38,0.000000
58,7,0.000000
59,54,0.000000
60,4,0.000000
61,9,0.000000
62,48,0.000000
63,36,0.000000
64,62,0.000000
