rank,channel,minpos_30
1,6,1.000000
2,34,1.000000
3,58,1.000000
4,25,1.000000
5,47,1.000000
6,0,1.000000
7,31,1.000000
8,14,1.000000
9,15,1.000000
10,19,1.000000
11,5,1.000000
12,11,1.000000
13,43,1.000000
14,26,1.000000
15,57,1.000000
16,10,1.000000
17,56,1.000000
18,44,1.000000
19,40,1.000000
20,8,1.000000
21,50,1.000000
22,23,1.000000
23,16,1.000000
24,59,1.000000
25,33,1.000000
26,28,1.000000
27,52,1.000000
28,22,1.000000
29,32,1.000000
30,30,1.000000
31,46,1.000000
32,27,1.000000
33,20,1.000000
34,55,1.000000
35,60,1.000000
36,41,1.000000
37,42,1.000000
38,1,1.000000
39,51,1.000000
40,29,1.000000
41,53,1.000000
42,49,1.000000
43,63,1.000000
44,39,1.000000
45,24,0.929289
46,37,0.929289
47,21,0.929289
48,45,0.929289
49,61,0.900000
50,18,0.600000
51,35,0.175379
52,3,0.000000
53,2,0.000000
54,13,0.000000
55,38,0.000000
56,12,0.000000
57,17,0.000000
58,4,0.000000
59,54,0.000000
60,9,0.000000
61,7,0.000000
62,48,0.000000
63,36,0.000000
64,62,0.000000
