rank,channel,shape_sim_50
1,52,0.974994
2,5,0.969957
3,6,0.966401
4,59,0.960694
5,40,0.950087
6,19,0.944771
7,15,0.937601
8,63,0.931921
9,24,0.931354
10,28,0.924902
11,44,0.883086
12,22,0.879598
13,32,0.849273
14,8,0.842724
15,1,0.841413
16,39,0.830972
17,50,0.823974
18,49,0.815264
19,60,0.806563
20,10,0.797368
21,30,0.789596
22,23,0.771005
23,0,0.768965
24,56,0.746096
25,27,0.724239
26,20,0.717533
27,42,0.711902
28,11,0.709118
29,47,0.693066
30,51,0.659500
31,14,0.659307
32,21,0.645016
33,26,0.627813
34,41,0.622979
35,31,0.604302
36,29,0.577546
37,46,0.576688
38,18,0.536800
39,33,0.481018
40,55,0.463631
41,61,0.459096
42,45,0.454359
43,53,0.449982
44,57,0.443159
45,43,0.405029
46,16,0.398871
47,37,0.396632
48,25,0.242027
49,35,0.127857
50,34,0.032140
51,3,0.000000
52,2,0.000000
53,13,0.000000
54,38,0.000000
55,12,0.000000
56,17,0.000000
57,4,0.000000
58,54,0.000000
59,9,0.000000
60,7,0.000000
61,48,0.000000
62,36,0.000000
63,58,0.000000
64,62,0.000000
