channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
10,0.86325282,0.93932211,0.75616586,0.95312858,0.83060205,0.97183853,0.91666275,0.82656127,0.92199218,0.98017043,0.00000000,0.94979388,0.89921468,0.59523332,0.96158224,0.76957464,0.87767643,0.83185470,0.93899703,0.95156139,0.94036204,0.62576151,0.96349013,0.86952734,0.91865951,0.94427419,0.91639227,0.97231364,0.91462165,0.66071528,0.91653204,0.91435105,0.97341990,0.86131752,0.80417424,0.96573436,0.76598489,0.87176752,0.97498924,0.94067913,0.88989079,0.89985597,0.70661753,0.91484743,0.68612635,0.93207693,0.93221897,0.93527001,0.96276891,0.89026093,0.92659640,0.93696052,0.94210052,0.84102643,0.97128445,0.73592532,0.86146176,0.94371903,0.93364054,0.96923596,0.80298287,0.89920211,0.93743813,0.94218826
11,0.95060062,0.93163717,0.97578454,0.91360831,0.85742068,0.92340237,0.97391200,0.88302767,0.97395247,0.96727383,0.94979388,0.00000000,0.92035711,0.97028863,0.94414991,0.77988827,0.97749627,0.89091289,0.91724265,0.95287585,0.89693391,0.95390850,0.94326293,0.89276725,0.97483885,0.95974922,0.97461522,0.88711047,0.95190036,0.91701084,0.84252965,0.92370832,0.88716263,0.89087480,0.97122413,0.87836200,0.96468771,0.96349686,0.92185926,0.96506184,0.93944526,0.96998703,0.97214502,0.77340877,0.91152030,0.95019579,0.95817065,0.95872378,0.90398973,0.80937761,0.96999562,0.92053056,0.92688167,0.88054961,0.97307587,0.88180023,0.96329844,0.89990604,0.87119234,0.95430803,0.91070819,0.90556085,0.84712428,0.97304016
12,0.95680428,0.98639739,0.92178977,0.89658153,0.95395696,0.88182485,0.90420008,0.86749780,0.93911886,0.96879756,0.89921468,0.92035711,0.00000000,0.93018121,0.91081148,0.85617900,0.97582680,0.93797833,0.95418817,0.86130524,0.84869832,0.75453389,0.78933889,0.88075733,0.80741769,0.85613573,0.82449239,0.95041519,0.96734035,0.97860575,0.84731334,0.97897905,0.97623718,0.97258723,0.91071755,0.85635841,0.52763176,0.94623089,0.90484512,0.93229747,0.91713309,0.97756201,0.94173914,0.81553215,0.96575558,0.94308490,0.87180418,0.98143786,0.86613345,0.79172027,0.97814918,0.86415815,0.96690333,0.87354451,0.73175418,0.92307508,0.97659802,0.72842991,0.93432033,0.96303654,0.97656018,0.92701697,0.93271995,0.97701776
13,0.76749766,0.94677371,0.94560409,0.92419273,0.63125062,0.92104065,0.86397028,0.74867904,0.90363979,0.97508198,0.59523332,0.97028863,0.93018121,0.00000000,0.98047525,0.75335628,0.86798906,0.90550691,0.91646922,0.95918322,0.98458743,0.77849615,0.87938213,0.75692970,0.90751249,0.92657447,0.90076476,0.96959752,0.84429908,0.75915492,0.88728094,0.95459157,0.94765472,0.85056949,0.79316974,0.95938241,0.74753940,0.95830584,0.97939533,0.97072959,0.95718151,0.71729112,0.75762033,0.96700895,0.81496680,0.94950151,0.91360039,0.88356584,0.96574289,0.94242501,0.94218594,0.92139745,0.91875678,0.81038529,0.88647449,0.76878029,0.88483775,0.87528902,0.88515025,0.96914929,0.80033952,0.95893776,0.92069149,0.93258470
14,0.93603468,0.95224589,0.87839806,0.63381749,0.82561266,0.96468395,0.85060024,0.85534328,0.96965754,0.94133252,0.96158224,0.94414991,0.91081148,0.98047525,0.00000000,0.79914534,0.96618915,0.96676803,0.93240732,0.92827356,0.45833462,0.89669347,0.57651705,0.91015422,0.95857453,0.96051121,0.94995171,0.94225425,0.95909888,0.96523988,0.78287208,0.95677394,0.89061528,0.92085069,0.95392436,0.95293647,0.89514667,0.89166296,0.89257658,0.96474981,0.94898200,0.87226319,0.94028461,0.94063884,0.95457387,0.87471086,0.95634723,0.96447831,0.86804181,0.98331416,0.97571152,0.90470093,0.95663089,0.97293133,0.79496408,0.92767799,0.93570113,0.85350615,0.73647988,0.89020288,0.95075101,0.94834119,0.97596312,0.96652222
15,0.85301757,0.84109437,0.75367177,0.95420641,0.53616357,0.94408727,0.74710011,0.85666955,0.96890479,0.88777125,0.76957464,0.77988827,0.85617900,0.75335628,0.79914534,0.00000000,0.91003716,0.91554970,0.84404838,0.85975724,0.80289471,0.93351269,0.89282167,0.68331015,0.76937127,0.77350521,0.97377551,0.94537926,0.83940339,0.76974529,0.91081119,0.68507242,0.87956023,0.85707772,0.68231130,0.95620525,0.69474077,0.95697236,0.97332996,0.90939456,0.92572701,0.91146868,0.88862145,0.81912416,0.93924284,0.95491880,0.90070659,0.94555122,0.95392585,0.89830518,0.87302005,0.80753195,0.87214220,0.82196522,0.96252090,0.79600453,0.78768742,0.77862567,0.88956857,0.98103499,0.84459138,0.93392593,0.79850805,0.95698857
16,0.94799805,0.71392375,0.92779875,0.89804673,0.96196753,0.90282083,0.92962706,0.95735544,0.97305512,0.97352970,0.87767643,0.97749627,0.97582680,0.86798906,0.96618915,0.91003716,0.00000000,0.86363482,0.83768034,0.93198234,0.93677479,0.92724776,0.97793698,0.67465341,0.86314261,0.92005426,0.96444124,0.95978868,0.97770482,0.79266852,0.90663767,0.70110250,0.96262157,0.83559620,0.90658951,0.87612182,0.92034286,0.89172912,0.95642036,0.94929743,0.97668087,0.96924478,0.97545481,0.97692609,0.93526828,0.98235732,0.93236178,0.97726065,0.96024525,0.85512877,0.96838719,0.89341354,0.92491776,0.95203209,0.97847337,0.92854345,0.93061864,0.96282732,0.96667743,0.98514426,0.89455134,0.65943176,0.97798306,0.97215962
17,0.86421925,0.96094078,0.95989788,0.97363669,0.82356572,0.94658166,0.93582577,0.94962126,0.85092068,0.97902906,0.83185470,0.89091289,0.93797833,0.90550691,0.96676803,0.91554970,0.86363482,0.00000000,0.97512835,0.86410081,0.84533715,0.96973228,0.77921629,0.87277925,0.94436008,0.92003477,0.81683588,0.98127180,0.94654793,0.67404675,0.97258735,0.96732092,0.92999250,0.98191434,0.94145918,0.96312505,0.79236150,0.82781202,0.91019708,0.97009230,0.98303014,0.89969850,0.81526065,0.91311979,0.74763435,0.91442871,0.82773954,0.97889549,0.88172364,0.53054661,0.86092412,0.95877171,0.96035141,0.97254908,0.90977210,0.97282374,0.89588076,0.81518322,0.95713222,0.96161342,0.80589175,0.97721148,0.97895312,0.87352264
18,0.90213406,0.92808110,0.91508776,0.85977089,0.63780093,0.96110082,0.85515016,0.93718189,0.92250645,0.91739315,0.93899703,0.91724265,0.95418817,0.91646922,0.93240732,0.84404838,0.83768034,0.97512835,0.00000000,0.81990755,0.95754832,0.95323104,0.97490937,0.87449783,0.86023748,0.96345872,0.84767860,0.78842014,0.72592723,0.93521345,0.98344034,0.94333434,0.90793061,0.96363306,0.86302227,0.67964137,0.87867075,0.87024295,0.95590776,0.96886444,0.98476756,0.86477816,0.96124363,0.93434668,0.95039070,0.67835492,0.95068765,0.94234514,0.94485182,0.88432181,0.95321661,0.87966609,0.85698187,0.96624660,0.91219133,0.78661710,0.91094029,0.95549214,0.94805020,0.97219551,0.93481988,0.54392034,0.93898493,0.94013399
19,0.92614567,0.77304363,0.69275367,0.75904977,0.84200472,0.87653023,0.68074673,0.60284358,0.87151897,0.97799015,0.95156139,0.95287585,0.86130524,0.95918322,0.92827356,0.85975724,0.93198234,0.86410081,0.81990755,0.00000000,0.92485726,0.87510842,0.95557117,0.68555832,0.87164366,0.76470155,0.86177576,0.88652587,0.95515704,0.59169352,0.91405243,0.97475219,0.88536906,0.97099465,0.83234757,0.81539178,0.94927853,0.75877094,0.95147932,0.93436402,0.93534726,0.87399280,0.87999868,0.89410341,0.94910645,0.77476293,0.96395338,0.93415785,0.62947464,0.86713588,0.96512353,0.88298100,0.90064484,0.92839754,0.74893713,0.93807513,0.87208086,0.55630374,0.96289355,0.97778428,0.86606169,0.77477205,0.91287827,0.96097308
20,0.95302194,0.94736350,0.83420885,0.76613295,0.84328121,0.92538321,0.87231362,0.93380171,0.95488721,0.97841036,0.94036204,0.89693391,0.84869832,0.98458743,0.45833462,0.80289471,0.93677479,0.84533715,0.95754832,0.92485726,0.00000000,0.81263882,0.51922935,0.82036602,0.89331734,0.92032802,0.97723192,0.96914142,0.92832077,0.88627446,0.98159999,0.95979267,0.86550796,0.90391129,0.79474384,0.93930912,0.91591591,0.94118077,0.98149705,0.86760020,0.94096607,0.80502319,0.92972070,0.93738943,0.86964810,0.79115599,0.78545177,0.91521633,0.86010456,0.83878839,0.80551183,0.85275811,0.90331495,0.95389795,0.83109105,0.96286315,0.72062325,0.93841028,0.65381205,0.97167844,0.84858662,0.94891816,0.71511102,0.93106550
21,0.95890808,0.94176704,0.89495915,0.96652567,0.85645783,0.84140629,0.88421792,0.80479860,0.90880883,0.95850033,0.62576151,0.95390850,0.75453389,0.77849615,0.89669347,0.93351269,0.92724776,0.96973228,0.95323104,0.87510842,0.81263882,0.00000000,0.68371075,0.82870948,0.83744597,0.72392774,0.94271028,0.95181048,0.96312016,0.92710674,0.84472084,0.97600240,0.98196840,0.91090709,0.96036839,0.87091362,0.96397913,0.96966928,0.97194630,0.96377242,0.85431373,0.77104056,0.83385634,0.93132246,0.62132955,0.93728840,0.84290051,0.93141389,0.91103321,0.79757166,0.88171530,0.92229378,0.92154658,0.80171764,0.86167222,0.69604498,0.94630033,0.92409742,0.81426525,0.92640728,0.94337642,0.89830655,0.93157220,0.87254703
22,0.97236001,0.91283935,0.91417587,0.64836001,0.87463611,0.93513608,0.86440808,0.98137450,0.84837455,0.97082198,0.96349013,0.94326293,0.78933889,0.87938213,0.57651705,0.89282167,0.97793698,0.77921629,0.97490937,0.95557117,0.51922935,0.68371075,0.00000000,0.87418890,0.93473506,0.92258912,0.97367918,0.96994525,0.87314171,0.96034151,0.94215715,0.92966819,0.93451202,0.97859633,0.91191673,0.98830593,0.83038354,0.96928072,0.96340191,0.97359759,0.97905034,0.90908206,0.95158374,0.81852847,0.90762597,0.89084148,0.69884950,0.89109999,0.65007305,0.83965880,0.79660141,0.97205567,0.85128278,0.96232408,0.95222062,0.91608077,0.67399633,0.93364102,0.83819818,0.87536597,0.89501369,0.97834158,0.91510338,0.84471095
23,0.83673048,0.95882571,0.77088267,0.84456217,0.59115112,0.95230573,0.84129679,0.81604087,0.97468746,0.84994912,0.86952734,0.89276725,0.88075733,0.75692970,0.91015422,0.68331015,0.67465341,0.87277925,0.87449783,0.68555832,0.82036602,0.82870948,0.87418890,0.00000000,0.68965340,0.78542769,0.95301807,0.78167713,0.82019496,0.90213573,0.95695496,0.83942342,0.98265237,0.78005207,0.78917933,0.85858440,0.76757681,0.90358275,0.95712590,0.95451188,0.96606225,0.90149045,0.91863853,0.96552938,0.90530151,0.92348772,0.86454111,0.92914784,0.96796811,0.88383055,0.97392410,0.90293485,0.88253510,0.91687518,0.93873626,0.95152539,0.81290400,0.83907545,0.88843304,0.95293564,0.74363673,0.66053188,0.78270686,0.89126974
