rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,resnet_c2f_b_fine01_coarse03,"resnet:c2f:B:fine15,20,26,34:coarse41,60,67,95,108,121",Step-R full-grid C2F-B; F1 × C3,0,0.9993086761147598,4.4777,7.287299999999999,4.3434,34.033230554201985,27.31185413874364,71.64566161542466,0.4944098449037685,10.308369144490758,0.28290359170867563,2.710615309948234,28.49921162839512,0.9516139046159191,4.752205732862688,1.0656752670911367
2,resnet_c2f_b_fine01_coarse05,"resnet:c2f:B:fine15,20,26,34:coarse108,121",Step-R full-grid C2F-B; F1 × C5,0,0.9993086761147598,4.5139,7.3141,4.3228,33.98194471456637,27.29648115049831,71.4367436582167,0.5009056627515595,10.382845214063963,0.2837008080033309,2.6788540618535137,28.46054835397993,0.9513041165332503,4.779177931306058,1.0647147748031813
3,resnet_c2f_b_fine01_coarse01,"resnet:c2f:B:fine15,20,26,34:coarse41,60,67,108,121",Step-R full-grid C2F-B; F1 × C1,0,0.9993086761147598,4.5598,7.3787,4.3616,34.169994213310744,27.43546369672249,71.85079856547918,0.49687962160475535,10.415843637517625,0.2825129078247167,2.6221284382697374,28.614071076329427,0.9512813907026154,4.827549033111579,1.06606039977299
4,resnet_c2f_b_fine01_coarse02,"resnet:c2f:B:fine15,20,26,34:coarse60,67,108,121",Step-R full-grid C2F-B; F1 × C2,0,0.9993086761147598,4.5825,7.3961,4.3437,34.0949538615289,27.351452331524,72.11858067342162,0.496301429121438,10.365369414147763,0.2826066276250575,2.687830582663201,28.53209265257212,0.9511873406860509,4.856233177910725,1.0661776393657938
5,resnet_c2f_b_fine03_coarse05,"resnet:c2f:B:fine15,20,26,34,45,53:coarse108,121",Step-R full-grid C2F-B; F3 × C5,0,0.9993086761147598,4.6686,7.7348,4.8768,36.45132400522895,29.473013399614263,76.21468993687255,0.5396110271884448,11.821960940686179,0.2863025521136324,3.0881238001715294,30.699259107519016,0.950075307807877,4.993147620825582,1.0729820270398982
6,resnet_direct_fine03,"resnet:direct:conv1:15,20,26,34,45,53",Step-R direct fine rank 3,0,0.9993086761147598,4.6702,7.7375,4.9293,36.5700869137412,29.639886866083597,76.04250445872755,0.5439051203019792,12.196878994839366,0.2856150213175755,3.0070475315675713,30.839150795405214,0.9498809102303507,4.934704057144431,1.0728405050297694
7,resnet_c2f_b_fine03_coarse04,"resnet:c2f:B:fine15,20,26,34,45,53:coarse67,108,121",Step-R full-grid C2F-B; F3 × C4,0,0.9993086761147598,4.7038,7.7958,4.9232,36.70993071936527,29.67663055252292,76.69566072185458,0.5402693480714809,12.050483303821458,0.28556048141919493,3.0442288682153373,30.90685460149371,0.9496234973086405,4.999326109462462,1.0741462075755521
8,resnet_c2f_b_fine03_coarse02,"resnet:c2f:B:fine15,20,26,34,45,53:coarse60,67,108,121",Step-R full-grid C2F-B; F3 × C2,0,0.9993086761147598,4.718,7.8020000000000005,4.9182,36.781284025668555,29.707018282451113,76.93137010717737,0.5397271819900804,11.903289462695414,0.2856878192601063,3.0597943572408,30.948596244562793,0.9494237338786158,4.989461859570494,1.0743959735342254
9,resnet_c2f_b_fine03_coarse01,"resnet:c2f:B:fine15,20,26,34,45,53:coarse41,60,67,108,121",Step-R full-grid C2F-B; F3 × C1,0,0.9993086761147598,4.7771,7.8902,4.9281,36.820637055728206,29.76415793440552,76.94570164333403,0.5410295915830151,12.12007316058242,0.28547305238206977,2.992538676052244,31.001453677367508,0.9496759768679502,5.070604747876463,1.0738645026035434
10,resnet_c2f_b_fine03_coarse03,"resnet:c2f:B:fine15,20,26,34,45,53:coarse41,60,67,95,108,121",Step-R full-grid C2F-B; F3 × C3,0,0.9993086761147598,4.7985,7.9163,4.909800000000001,36.94695382478898,29.856502034632932,77.43052859416704,0.5368480961878335,11.844886286617033,0.2850840023397881,2.990920893888239,31.093220551386104,0.9489807029463153,5.123491577273039,1.0743895879649106
11,resnet_c2f_a_fine01_coarse03,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,95,108,121",Step-R full-grid C2F-A; F1 × C3,0,0.9993086761147598,5.1406,8.4796,4.9947,38.88107992333619,31.130180184394728,82.8678638623237,0.539353288278249,11.027467907259474,0.28846508812520444,3.3238336053903836,32.60059749429842,0.9466908366216084,5.42170779139424,1.0829810173731471
12,resnet_c2f_a_fine01_coarse04,"resnet:c2f:A:fine15,20,26,34:coarse67,108,121",Step-R full-grid C2F-A; F1 × C4,0,0.9993086761147598,5.1824,8.457,5.0424,38.49218550591304,30.812635567971906,82.42521981309909,0.5466856506720065,11.01784882886576,0.29021873952415495,3.384020650305571,32.23544463976275,0.9468867118589595,5.486298074109014,1.0842338877000077
13,resnet_c2f_a_fine01_coarse01,"resnet:c2f:A:fine15,20,26,34:coarse41,60,67,108,121",Step-R full-grid C2F-A; F1 × C1,0,0.9993086761147598,5.183,8.4343,5.0471,39.13854245966164,31.27769072226651,83.49099012125535,0.5453853172617366,11.181390040686335,0.28908564365480355,3.3672615330592657,32.75496162084049,0.9454933088936736,5.480649565295225,1.086258965888411
14,resnet_c2f_a_fine01_coarse02,"resnet:c2f:A:fine15,20,26,34:coarse60,67,108,121",Step-R full-grid C2F-A; F1 × C2,0,0.9993086761147598,5.1861999999999995,8.4291,4.9704,38.525658700521625,30.78369518155788,82.5198133666895,0.5404493475304599,10.867798256787262,0.2889950449278693,3.3695747180950066,32.265213058290456,0.9469618276012308,5.450205874912848,1.0849605898047572
15,resnet_c2f_a_fine01_coarse05,"resnet:c2f:A:fine15,20,26,34:coarse108,121",Step-R full-grid C2F-A; F1 × C5,0,0.9993086761147598,5.219399999999999,8.4509,4.9653,38.04190583871837,30.587746797092937,81.34853306551163,0.552571688704766,11.161230597232962,0.29103552213684464,3.39009510058244,31.946402033626953,0.9491070140271938,5.4566263037569565,1.0810707767548857
16,resnet_c2f_a_fine03_coarse05,"resnet:c2f:A:fine15,20,26,34,45,53:coarse108,121",Step-R full-grid C2F-A; F3 × C5,0,0.9993086761147598,5.3826,8.996500000000001,5.5756,40.40474557950657,32.53548422318776,85.3496478308265,0.6025195526115416,12.624525996177752,0.2974379780117978,3.3446267210599787,33.92386062892517,0.9501631568859866,5.63226172423138,1.092268736360344
17,resnet_c2f_a_fine03_coarse02,"resnet:c2f:A:fine15,20,26,34,45,53:coarse60,67,108,121",Step-R full-grid C2F-A; F3 × C2,0,0.9993086761147598,5.4214,8.882,5.5327,40.99619420461714,33.11376003355822,87.23501634144498,0.5972770448700186,13.368941092604361,0.29380545147661413,3.530977708879282,34.58152626784708,0.9471062057916145,5.7066443307418675,1.0967625648909651
18,resnet_c2f_a_fine03_coarse03,"resnet:c2f:A:fine15,20,26,34,45,53:coarse41,60,67,95,108,121",Step-R full-grid C2F-A; F3 × C3,0,0.9993086761147598,5.4253,8.9007,5.432300000000001,40.92587045905493,33.108752571283134,87.10512371883098,0.5832672484298128,12.834965013834578,0.2919912977636505,3.385535723249521,34.55984685545025,0.94749327862102,5.640175869178188,1.0955900141832122
