channel,condition,local_sharpness,global_sharpness,x_local,y_local
0,Clean,0.008136,0.021214,0.007293,0.008978
0,+30%,0.008120,0.019577,0.007129,0.009111
0,+50%,0.008123,0.019185,0.006555,0.009692
1,Clean,0.008301,0.022828,0.007879,0.008723
1,+30%,0.007599,0.022090,0.007268,0.007930
1,+50%,0.007720,0.023274,0.008051,0.007389
2,Clean,0.007706,0.017688,0.007367,0.008045
2,+30%,0.010269,0.019530,0.010712,0.009825
2,+50%,0.009783,0.016696,0.011114,0.008452
3,Clean,0.010816,0.025729,0.008913,0.012720
3,+30%,0.009525,0.024263,0.007977,0.011072
3,+50%,0.007928,0.018939,0.007869,0.007986
4,Clean,0.007920,0.018088,0.009120,0.006720
4,+30%,0.010925,0.022604,0.013255,0.008595
4,+50%,0.010889,0.020578,0.014357,0.007420
5,Clean,0.007438,0.021263,0.007011,0.007866
5,+30%,0.007453,0.019173,0.007296,0.007609
5,+50%,0.007442,0.017217,0.005561,0.009323
6,Clean,0.010157,0.021579,0.007445,0.012868
6,+30%,0.010143,0.021405,0.007127,0.013160
6,+50%,0.009078,0.019383,0.005692,0.012465
7,Clean,0.009627,0.023765,0.008223,0.011032
7,+30%,0.009732,0.024315,0.008144,0.011319
7,+50%,0.009966,0.024326,0.008185,0.011747
8,Clean,0.007135,0.021135,0.006428,0.007843
8,+30%,0.007536,0.020196,0.006206,0.008865
8,+50%,0.007678,0.017426,0.007582,0.007773
9,Clean,0.007003,0.021429,0.007304,0.006703
9,+30%,0.007313,0.021947,0.007576,0.007050
9,+50%,0.007780,0.023574,0.008151,0.007409
10,Clean,0.009181,0.023037,0.009324,0.009038
10,+30%,0.009733,0.020157,0.009473,0.009993
10,+50%,0.011425,0.012754,0.006984,0.015866
11,Clean,0.007881,0.019143,0.006821,0.008942
11,+30%,0.006809,0.014898,0.005148,0.008470
11,+50%,0.008211,0.018934,0.006324,0.010098
12,Clean,0.007488,0.022710,0.008434,0.006542
12,+30%,0.006409,0.019978,0.007659,0.005159
12,+50%,0.006747,0.019844,0.008193,0.005301
13,Clean,0.009352,0.022080,0.008737,0.009967
13,+30%,0.009200,0.020398,0.008361,0.010039
13,+50%,0.007572,0.017380,0.006617,0.008527
14,Clean,0.008449,0.023720,0.009969,0.006930
14,+30%,0.007790,0.023051,0.009195,0.006386
14,+50%,0.007573,0.022389,0.008905,0.006241
15,Clean,0.006919,0.021868,0.007067,0.006771
15,+30%,0.006161,0.019938,0.006455,0.005868
15,+50%,0.006055,0.020084,0.006034,0.006076
16,Clean,0.009680,0.022138,0.008069,0.011290
16,+30%,0.009192,0.021481,0.007545,0.010840
16,+50%,0.008271,0.019422,0.007451,0.009090
17,Clean,0.008480,0.021676,0.008628,0.008331
17,+30%,0.007631,0.019954,0.007790,0.007472
17,+50%,0.007449,0.020279,0.007781,0.007118
18,Clean,0.009266,0.023345,0.010547,0.007985
