Step,Added Channel,Current Combination,BQS,Marginal BQS Gain,LQBS,Width,Retention
1,06,[6],0.6795,-,0.4383,5.099,0.937
2,28,"[6, 28]",0.716,+0.0365,0.4514,5.3852,0.9545
3,34,"[6, 28, 34]",0.7288,+0.0128,0.4973,6.7082,0.8617
4,50,"[6, 28, 34, 50]",0.7486,+0.0198,0.4758,7.0711,0.9067
5,39,"[6, 28, 34, 50, 39]",0.7616,+0.0130,0.4777,6.7082,0.9299
6,16,"[6, 28, 34, 50, 39, 16]",0.7781,+0.0165,0.4799,7.2801,0.9303
7,52,"[6, 28, 34, 50, 39, 16, 52]",0.7806,+0.0025,0.4777,7.2111,0.9386
8,02,"[6, 28, 34, 50, 39, 16, 52, 2]",0.7806,+0.0000,0.4777,7.2111,0.9386
