dataset_order,dataset_key,dataset_family,dataset_condition,standard_label,source_label,source,kind,variant,fine_rank,coarse_rank,configuration,status,reason,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,translation_rpe_max_cm,rotation_rpe_max_deg,coverage_ratio,elapsed_seconds,dataset_rank
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine01_coarse05,resnet_c2f_a_fine01_coarse05,Step-R:new,c2f,A,1,5,"C2F-A; fine conv1[d15,d20,d26,d34]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,6.546100000000001,7.7831,1.0968,12.236076783288553,11.646004151070123,9.482325790187968,5.495035639349304,0.9965095986038395,50.52494165400276,4
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine02_coarse01,resnet_c2f_a_fine02_coarse01,Step-R:new,c2f,A,2,1,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,6.5428,7.7338000000000005,1.0613,12.578776151970416,11.850354963763566,7.549729982904123,5.0254056918688885,0.9965095986038395,50.921701857994776,3
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine02_coarse02,resnet_c2f_a_fine02_coarse02,Step-R:new,c2f,A,2,2,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.412,21.526699999999998,1.9207999999999998,22.828387370294518,21.672202110072618,31.256356807055134,9.598881982416497,0.9965095986038395,50.90964917800011,52
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine02_coarse03,resnet_c2f_a_fine02_coarse03,Step-R:new,c2f,A,2,3,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,14.5833,16.365199999999998,1.4460000000000002,18.791770411688415,17.876383616510907,15.25701204956028,9.009741743156457,0.9965095986038395,51.256337533995975,36
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine02_coarse04,resnet_c2f_a_f2_c4_variant_negative,Step-Q:resnet_c2f_a_f2_c4_variant_negative,c2f,A,2,4,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,16.6103,18.7445,2.0789999999999997,20.62131865899242,19.643792025615696,34.86673593356975,8.657516592931339,0.9965095986038395,51.756356783997035,43
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine02_coarse05,resnet_c2f_a_fine02_coarse05,Step-R:new,c2f,A,2,5,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,15.479499999999998,17.3672,1.9121,19.45838477993709,18.536717252936697,31.06406193141006,7.027659392552141,0.9965095986038395,50.70022631900065,39
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine03_coarse01,resnet_c2f_a_fine03_coarse01,Step-R:new,c2f,A,3,1,"C2F-A; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,6.6429,7.8885,1.0423,12.518280447982688,11.803178315596211,7.138377663253591,4.998349284204599,0.9965095986038395,49.96809983999992,5
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine03_coarse02,resnet_c2f_a_fine03_coarse02,Step-R:new,c2f,A,3,2,"C2F-A; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.1216,21.151400000000002,1.5488,22.324470463959805,21.197215379438607,22.935519262749466,8.644417127185873,0.9965095986038395,50.223326749997796,48
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine03_coarse03,resnet_c2f_a_fine03_coarse03,Step-R:new,c2f,A,3,3,"C2F-A; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,20.6499,22.6367,2.1106,23.72320951579649,22.315116510436063,36.47176608145887,8.83765987975424,0.9965095986038395,49.90840678100358,63
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine03_coarse04,resnet_c2f_a_fine03_coarse04,Step-R:new,c2f,A,3,4,"C2F-A; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.1815,21.208099999999998,2.033,22.530326188808623,21.30525928926743,34.63908108269981,8.633566247436882,0.9965095986038395,49.32722648300114,49
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine03_coarse05,resnet_c2f_a_fine03_coarse05,Step-R:new,c2f,A,3,5,"C2F-A; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,7.0701,8.282399999999999,1.1474,12.733682609398661,12.246129204659303,11.449990189537974,5.612201250196177,0.9965095986038395,49.75729666699772,7
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine04_coarse01,resnet_c2f_a_fine04_coarse01,Step-R:new,c2f,A,4,1,"C2F-A; fine conv1[d33,d52]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,22.7383,24.4833,1.9485999999999999,25.12813896876194,23.70732754695149,33.44512023074462,7.623168297132929,0.9965095986038395,49.15365389199724,66
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine04_coarse02,resnet_c2f_a_fine04_coarse02,Step-R:new,c2f,A,4,2,"C2F-A; fine conv1[d33,d52]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,23.2896,25.1205,1.8696000000000002,25.560471217175717,24.080057833028256,31.370968836236084,8.133065288861351,0.9965095986038395,49.13796172699949,68
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine04_coarse03,resnet_c2f_a_fine04_coarse03,Step-R:new,c2f,A,4,3,"C2F-A; fine conv1[d33,d52]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,12.332,13.6021,1.1881,16.109507761219056,15.434575583358455,11.763318885424793,4.062083584087282,0.9965095986038395,49.207908564996615,28
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine04_coarse04,resnet_c2f_a_fine04_coarse04,Step-R:new,c2f,A,4,4,"C2F-A; fine conv1[d33,d52]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,23.282600000000002,25.0105,2.0124,25.59316745443198,24.10774451294526,35.07354093480268,8.23924354251201,0.9965095986038395,48.56050809199951,67
