dataset_order,dataset_key,dataset_family,dataset_condition,standard_label,source,variant,fine_rank,coarse_rank,c2f_status,c2f_ate_mean_cm,fine_parent,fine_status,fine_ate_mean_cm,coarse_parent,coarse_status,coarse_ate_mean_cm,better_parent,better_parent_ate_mean_cm,comparison_status,delta_vs_fine_cm,percent_delta_vs_fine,beats_fine,delta_vs_better_parent_cm,percent_delta_vs_better_parent,beats_better_parent
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine04_coarse04,Step-R:new,A,4,4,PASS,23.282600000000002,resnet_direct_fine04,PASS,11.5471,resnet_direct_coarse04,PASS,21.5029,resnet_direct_fine04,11.5471,COMPARABLE,11.735500000000002,101.63157849156933,False,11.735500000000002,101.63157849156933,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine04_coarse05,Step-R:new,A,4,5,PASS,9.9591,resnet_direct_fine04,PASS,11.5471,resnet_direct_coarse05,PASS,12.9191,resnet_direct_fine04,11.5471,COMPARABLE,-1.588000000000001,-13.752370725117137,True,-1.588000000000001,-13.752370725117137,True
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse01,Step-R:new,A,5,1,PASS,19.6922,resnet_direct_fine05,PASS,14.7927,resnet_direct_coarse01,PASS,19.8825,resnet_direct_fine05,14.7927,COMPARABLE,4.8995,33.12106647197604,False,4.8995,33.12106647197604,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse02,Step-R:new,A,5,2,PASS,18.4573,resnet_direct_fine05,PASS,14.7927,resnet_direct_coarse02,PASS,19.6141,resnet_direct_fine05,14.7927,COMPARABLE,3.6646,24.7730299404436,False,3.6646,24.7730299404436,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse03,Step-R:new,A,5,3,PASS,20.0792,resnet_direct_fine05,PASS,14.7927,resnet_direct_coarse03,PASS,24.6459,resnet_direct_fine05,14.7927,COMPARABLE,5.2865,35.737221737749024,False,5.2865,35.737221737749024,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse04,Step-R:new,A,5,4,PASS,19.6181,resnet_direct_fine05,PASS,14.7927,resnet_direct_coarse04,PASS,21.5029,resnet_direct_fine05,14.7927,COMPARABLE,4.825399999999998,32.62014371953733,False,4.825399999999998,32.62014371953733,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse05,Step-R:new,A,5,5,PASS,7.9563,resnet_direct_fine05,PASS,14.7927,resnet_direct_coarse05,PASS,12.9191,resnet_direct_coarse05,12.9191,COMPARABLE,-6.8364,-46.214686973980406,True,-4.9628000000000005,-38.414440634409516,True
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse01,Step-R:new,A,6,1,PASS,20.0227,resnet_direct_fine06,PASS,9.7889,resnet_direct_coarse01,PASS,19.8825,resnet_direct_fine06,9.7889,COMPARABLE,10.2338,104.54494376283341,False,10.2338,104.54494376283341,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse02,Step-R:new,A,6,2,PASS,19.3824,resnet_direct_fine06,PASS,9.7889,resnet_direct_coarse02,PASS,19.6141,resnet_direct_fine06,9.7889,COMPARABLE,9.5935,98.00386151661576,False,9.5935,98.00386151661576,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse03,Step-R:new,A,6,3,PASS,23.9085,resnet_direct_fine06,PASS,9.7889,resnet_direct_coarse03,PASS,24.6459,resnet_direct_fine06,9.7889,COMPARABLE,14.1196,144.2409259467356,False,14.1196,144.2409259467356,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse04,Step-R:new,A,6,4,PASS,20.2483,resnet_direct_fine06,PASS,9.7889,resnet_direct_coarse04,PASS,21.5029,resnet_direct_fine06,9.7889,COMPARABLE,10.4594,106.84959494938145,False,10.4594,106.84959494938145,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse05,Step-Q:resnet_c2f_a_f6_c5_positive_synergy,A,6,5,PASS,8.0333,resnet_direct_fine06,PASS,9.7889,resnet_direct_coarse05,PASS,12.9191,resnet_direct_fine06,9.7889,COMPARABLE,-1.7555999999999994,-17.93459939319024,True,-1.7555999999999994,-17.93459939319024,True
