channel,eligible,valid_frames_clean,valid_frames_light,cross_light_ncc,gradient_energy_clean,gradient_energy_light,robust_gradient_energy
0,True,30,30,0.8114561665941054,0.10444642547323382,0.10249492197756162,0.10249492197756162
1,True,30,30,0.8964926542295921,0.1122943169622801,0.09778022375044583,0.09778022375044583
2,True,30,30,0.9446060189940011,0.22441886304149578,0.22003070780564604,0.22003070780564604
3,True,30,30,0.888854284966955,0.18803372567861093,0.18105727332591628,0.18105727332591628
4,True,30,30,0.8992698358254501,0.1739612986904134,0.14679852464027918,0.14679852464027918
5,True,30,30,0.9342781519945771,0.18731247292924486,0.1581860992689858,0.1581860992689858
6,True,30,30,0.878039464786862,0.1583966989714536,0.12665504254549093,0.12665504254549093
7,True,30,30,0.9223022113661034,0.10990569110120864,0.09843871208196461,0.09843871208196461
8,True,30,30,0.9372674140643364,0.21298767898246157,0.20125509895158727,0.20125509895158727
9,True,30,30,0.8846964941711133,0.05797993852377151,0.0664998518550098,0.05797993852377151
10,True,30,30,0.9060306889199039,0.16700354206549836,0.14596438241618248,0.14596438241618248
11,True,30,30,0.9071271690232987,0.07165485888651674,0.06893564749977893,0.06893564749977893
12,True,30,30,0.8179211888917681,0.07661657346895318,0.062110523221309055,0.062110523221309055
13,True,30,30,0.9123294088892719,0.14121257859161906,0.13029080894804596,0.13029080894804596
14,True,30,30,0.9253182913007978,0.16912647617678433,0.16510988698763418,0.16510988698763418
15,True,30,30,0.9425368962072274,0.2362688209144908,0.23365763916510052,0.23365763916510052
16,True,30,30,0.9541861894869847,0.1139158950343526,0.10491922063049688,0.10491922063049688
17,True,30,30,0.904910665469051,0.07488384358758209,0.07039017577238366,0.07039017577238366
18,True,30,30,0.9592231647132652,0.13316387398861157,0.13034335144716483,0.13034335144716483
19,True,30,30,0.9117900780089423,0.10964627669656732,0.10031575956221375,0.10031575956221375
20,True,30,30,0.8113137197633166,0.042932543394768076,0.04256395089226071,0.04256395089226071
21,True,30,30,0.9427441284293108,0.24307990060730872,0.23678387609622792,0.23678387609622792
22,True,30,30,0.9181168458932953,0.05500882141904832,0.04860395078878452,0.04860395078878452
23,True,30,30,0.948962485344609,0.2592502505608004,0.24414599657256078,0.24414599657256078
24,True,30,30,0.9017886479327932,0.12413725673564653,0.11775879583997642,0.11775879583997642
25,True,30,30,0.9341828265436487,0.23607891736313202,0.2221556738377099,0.2221556738377099
26,True,30,30,0.9254384121023289,0.18075268162918218,0.15391879742031767,0.15391879742031767
27,True,30,30,0.8878917274847791,0.08887544772528674,0.07769468909593974,0.07769468909593974
28,True,30,30,0.8648442040454986,0.16180056731349457,0.13414828641070287,0.13414828641070287
29,True,30,30,0.940291501342402,0.14153673373822043,0.12327150436802214,0.12327150436802214
30,True,30,30,0.938791880553232,0.1147311460260565,0.10321603795172989,0.10321603795172989
31,True,30,30,0.93373238973234,0.19884533554981654,0.17426154018755793,0.17426154018755793
32,True,30,30,0.8180093537455022,0.14548618078948683,0.1320867822886341,0.1320867822886341
33,True,30,30,0.9416149013598653,0.12129135432010034,0.09977553381365252,0.09977553381365252
34,True,30,30,0.8898317970047851,0.043623368188375485,0.04166244687189899,0.04166244687189899
35,True,30,30,0.8739611101070395,0.13624982979509903,0.12417545495628876,0.12417545495628876
36,True,30,30,0.9387192655216774,0.15727911831489305,0.14010092386195666,0.14010092386195666
37,True,30,30,0.8882621316046185,0.09166401098764365,0.08319971487558989,0.08319971487558989
38,True,30,30,0.9205220379721609,0.1072082638265864,0.10620396578591168,0.10620396578591168
39,True,30,30,0.9517688985305071,0.07178098190372778,0.0649697988235747,0.0649697988235747
40,True,30,30,0.9280559523777263,0.12065774316793061,0.11261663770435917,0.11261663770435917
41,True,30,30,0.9249776160580734,0.11016429462079591,0.10730133869813302,0.10730133869813302
42,True,30,30,0.892368574349939,0.19192882096473685,0.1863479324140004,0.1863479324140004
43,True,30,30,0.8533364521574978,0.07380226191212341,0.06552576325584339,0.06552576325584339
44,True,30,30,0.8334167656180558,0.04279137317433181,0.05215350795310557,0.04279137317433181
45,True,30,30,0.9463470004583125,0.07682773364656094,0.07265415420066237,0.07265415420066237
46,True,30,30,0.8968577150745078,0.10789917390552087,0.08996204737435878,0.08996204737435878
47,True,30,30,0.9358654422598633,0.07804943902653952,0.07092731664686526,0.07092731664686526
48,True,30,30,0.9374238631524563,0.1154189239425123,0.10587342268119015,0.10587342268119015
49,True,30,30,0.9519927305582395,0.09921550063828007,0.08797766579664344,0.08797766579664344
50,True,30,30,0.8862540786955226,0.10195073615439762,0.08157805017232655,0.08157805017232655
51,True,30,30,0.9528571947740742,0.2370432711851613,0.21963744507363972,0.21963744507363972
52,True,30,30,0.9290846593304624,0.21302304347045903,0.1947407897790757,0.1947407897790757
53,True,30,30,0.825169471659595,0.05000417138209531,0.03952598780395083,0.03952598780395083
54,True,30,30,0.9390513327207116,0.10377159634919314,0.09556340900300515,0.09556340900300515
55,True,30,30,0.8700144592329658,0.09905346761973606,0.0908163135748235,0.0908163135748235
56,True,30,30,0.899230223837398,0.10182316652474845,0.08953638960361902,0.08953638960361902
57,True,30,30,0.8593370195033352,0.05022444958318858,0.05632588641957983,0.05022444958318858
58,True,30,30,0.9390417235748278,0.1384324909601763,0.1305894811706859,0.1305894811706859
59,True,30,30,0.9302907304198168,0.10387518365555519,0.0866213603821445,0.0866213603821445
60,True,30,30,0.8927804619024222,0.08597130208600007,0.09363566444991815,0.08597130208600007
61,True,30,30,0.8788624042676378,0.07280854830499728,0.07086353979842086,0.07086353979842086
62,True,30,30,0.9248261893242384,0.17107362816048657,0.1635196555978025,0.1635196555978025
63,True,30,30,0.9005937579160053,0.1093082124315633,0.11064076700475367,0.1093082124315633
64,True,30,30,0.9189608994050051,0.12805549786276105,0.11013217344603306,0.11013217344603306
65,True,30,30,0.8985934819082861,0.09619205300847884,0.0853832903156663,0.0853832903156663
66,True,30,30,0.937009751338254,0.1319830947571612,0.12015707246266175,0.12015707246266175
67,True,30,30,0.9037480431874427,0.15083170736332402,0.13240840585938596,0.13240840585938596
68,True,30,30,0.9407929504753529,0.15461403251616107,0.1347318019062395,0.1347318019062395
69,True,30,30,0.9068540056007479,0.19581226598939783,0.1846026453981256,0.1846026453981256
70,True,30,30,0.8894451710292617,0.04565804843063113,0.045138275469597,0.045138275469597
71,True,30,30,0.9102572146771938,0.20134737179110707,0.20737287686107506,0.20134737179110707
72,True,30,30,0.9319390877527229,0.18443567374672412,0.17570613668074067,0.17570613668074067
73,True,30,30,0.8950791464462432,0.10393732286286506,0.09221757262713429,0.09221757262713429
74,True,30,30,0.8447176454069614,0.07083469495254871,0.07092390989941583,0.07083469495254871
75,True,30,30,0.9405160650824262,0.13935746480793873,0.13123104974408178,0.13123104974408178
76,True,30,30,0.9328182583716994,0.19318528655287612,0.18172188568452413,0.18172188568452413
77,True,30,30,0.932068175937922,0.1708807253857015,0.15521447625868295,0.15521447625868295
78,True,30,30,0.8580281501005901,0.07160508354525469,0.05580309832109381,0.05580309832109381
79,True,30,30,0.9563469246327363,0.17174216572759482,0.14630198788786225,0.14630198788786225
80,True,30,30,0.8933968503012584,0.12192045147023325,0.11491220828438904,0.11491220828438904
81,True,30,30,0.9434753949619001,0.09519015658089428,0.08555249203255498,0.08555249203255498
82,True,30,30,0.9012790134560038,0.10926723106777808,0.09833617560485826,0.09833617560485826
83,True,30,30,0.9162896345682409,0.1265262888117627,0.13883534412298829,0.1265262888117627
84,True,30,30,0.8677689938313442,0.1242580212137887,0.12044368523651339,0.12044368523651339
85,True,30,30,0.921778907498024,0.16064105951379148,0.14976013987787568,0.14976013987787568
86,True,30,30,0.8507602640878555,0.12261565234848121,0.1142027029856654,0.1142027029856654
87,True,30,30,0.9592723452096688,0.16377875966301192,0.14903196709795014,0.14903196709795014
88,True,30,30,0.9125837108686556,0.12602678210367335,0.12736993455800893,0.12602678210367335
89,True,30,30,0.8171689536307584,0.06944364572740205,0.0520099176636578,0.0520099176636578
90,True,30,30,0.8529233699206042,0.04323224950042938,0.04664206716294234,0.04323224950042938
91,True,30,30,0.8975536592953967,0.0951895523858162,0.09164932113892378,0.09164932113892378
92,True,30,30,0.876122378726365,0.16413728616470918,0.16959355705907858,0.16413728616470918
