channel,eligible,valid_frames_clean,valid_frames_light,cross_light_ncc,gradient_energy_clean,gradient_energy_light,robust_gradient_energy
0,True,30,30,0.9140654177323942,0.03368923214586428,0.031688345501493326,0.031688345501493326
1,True,30,30,0.956345492219907,0.04315254698414453,0.026462508944981995,0.026462508944981995
2,False,0,0,nan,0.0,0.0,0.0
3,True,30,25,0.8903760105511996,0.0015870615048338933,0.0015530455670780135,0.0015530455670780135
4,False,0,0,nan,0.0,0.0,0.0
5,True,30,30,0.8735437972467277,0.027563411168437073,0.026420414447225392,0.026420414447225392
6,True,30,30,0.9009330693659849,0.01336954503187818,0.016229692657449044,0.01336954503187818
7,False,0,0,nan,0.0,0.0,0.0
8,True,30,30,0.8667206710350965,0.022259832914546106,0.017834698760103976,0.017834698760103976
9,False,0,0,nan,0.0,0.0,0.0
10,True,30,30,0.96502869463355,0.06210564697462657,0.05537544271667964,0.05537544271667964
11,True,30,30,0.9687355160951198,0.03395497289273629,0.030590683661397118,0.030590683661397118
12,True,30,29,0.8988299360730125,0.0045100025469124935,0.003491937795017008,0.003491937795017008
13,False,0,0,nan,0.0,0.0,0.0
14,True,30,30,0.9521190640861539,0.022810139841036234,0.016512767548222014,0.016512767548222014
15,True,30,30,0.9029858375098387,0.0579523314553419,0.07176278621957485,0.0579523314553419
16,True,30,30,0.9826785158512876,0.0030805209435187334,0.003042138458762244,0.003042138458762244
17,True,30,29,0.533286266145816,0.0003966997703117042,0.0005985085780886315,0.0003966997703117042
18,True,30,29,0.42505334300671055,0.001998253086059418,0.0029451611949431323,0.001998253086059418
19,True,30,30,0.9741835848467825,0.028907132856791827,0.021911636949140383,0.021911636949140383
20,True,30,30,0.9663959295906638,0.02977793146483302,0.025103977735909347,0.025103977735909347
21,True,30,30,0.9833370503502399,0.010421223748937933,0.007127269108777609,0.007127269108777609
22,True,30,30,0.9719516730162935,0.025162929038832896,0.01986482654003008,0.01986482654003008
23,True,30,30,0.925069802884378,0.042137926437841144,0.04278082778894486,0.042137926437841144
24,True,30,30,0.8734362905616457,0.030641007823161523,0.03644924773840065,0.030641007823161523
25,True,30,30,0.9591950011157873,0.027851914827881442,0.021437592073112167,0.021437592073112167
26,True,30,30,0.9595259744738135,0.036244245435547204,0.026810276549321832,0.026810276549321832
27,True,30,30,0.6428125862045971,0.0027862209738196203,0.002648037807845522,0.002648037807845522
28,True,30,30,0.7669061376393884,0.005775701547647175,0.005935136284784044,0.005775701547647175
29,True,30,30,0.924221335390293,0.015756605635528418,0.0130324330564493,0.0130324330564493
30,True,30,30,0.9520554924926379,0.048807644598481206,0.0400207918121402,0.0400207918121402
31,True,30,30,0.9589737990991153,0.014917699360210746,0.015976946678870833,0.014917699360210746
32,True,30,30,0.9146768066085242,0.003260847136824495,0.0027138434621236975,0.0027138434621236975
33,True,30,30,0.8680636636185133,0.00635509617704015,0.007706818780054145,0.00635509617704015
34,True,30,30,0.9219725273926898,0.0034061695093924845,0.003954828837290791,0.0034061695093924845
35,True,30,30,0.8958307897270421,0.003500108158116474,0.003220612481852484,0.003220612481852484
36,False,0,0,nan,0.0,0.0,0.0
37,True,30,30,0.9846681106321845,0.003487708324357288,0.002752013854258481,0.002752013854258481
38,False,0,0,nan,0.0,0.0,0.0
39,True,30,30,0.9183739274347649,0.017209689708598305,0.022287166543225,0.017209689708598305
40,True,30,30,0.888911044829658,0.015800770130329985,0.02280936260141632,0.015800770130329985
41,True,30,30,0.9682343075397846,0.019943374061126513,0.016184050753848524,0.016184050753848524
42,True,30,30,0.9722056435168291,0.04344515998306393,0.03459767958334939,0.03459767958334939
43,True,30,30,0.9679877674064192,0.03634782741040643,0.03239927625750029,0.03239927625750029
44,True,30,30,0.9609735162799204,0.029406894944141216,0.025466905528154532,0.025466905528154532
45,True,30,30,0.9830797597226304,0.004457511647628271,0.004489193026747971,0.004457511647628271
46,True,30,30,0.9822435882877738,0.009980036913312697,0.006835024203084563,0.006835024203084563
47,True,30,30,0.9717296639139433,0.02854876159360048,0.030574047485534543,0.02854876159360048
48,False,0,0,nan,0.0,0.0,0.0
49,True,30,30,0.9545005466401701,0.044278226007399835,0.03448252166185835,0.03448252166185835
50,True,30,30,0.9157499772008161,0.025231878059864002,0.022525618517855547,0.022525618517855547
51,True,30,30,0.9788225817828802,0.03315522785358903,0.02762462181723485,0.02762462181723485
52,True,30,30,0.8966857619859122,0.006071947467035827,0.006497780179938287,0.006071947467035827
53,True,30,30,0.9749258601503326,0.014547635004166191,0.014617133199705298,0.014547635004166191
54,True,30,24,0.8852473714503379,0.0004317159252916375,0.00045117553105116865,0.0004317159252916375
55,True,30,30,0.9719378331131974,0.014131654916131726,0.012952222406626744,0.012952222406626744
56,True,30,30,0.9517023725101293,0.02297061663489978,0.021291916804716322,0.021291916804716322
57,True,30,30,0.9682179498689845,0.02768321219405532,0.019673537485168063,0.019673537485168063
58,True,30,29,0.9143612009563942,0.007802746613201753,0.006535246192345093,0.006535246192345093
59,True,30,30,0.9237916058535743,0.020445500532815818,0.01618279527694992,0.01618279527694992
60,True,30,30,0.9716505994296963,0.05436324570227108,0.04197906662339533,0.04197906662339533
61,True,30,30,0.9849280278230883,0.0048784133390825015,0.003525954345821782,0.003525954345821782
62,True,30,25,0.9117432511282945,0.0021526085711526884,0.002143601907561585,0.002143601907561585
63,True,30,30,0.9544411428218295,0.05230482165913628,0.04496988138293055,0.04496988138293055
