rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,known_cnn_baseline,"5,29,40,52",historical four-channel CNN control,0,0.9965095986038395,15.1682,16.974700000000002,19.935858730549647,18.383736311879435,39.70584755536034,1.2529525562133654,13.556703736857726,0.8630869985448096,8.467764218164792,15.972341019070468,1.1289015696742666,15.15578805165762,1.1394411207895758
2,mvs_low_translation_jump,"0,24,30,56",translation-RPE stability control,0,0.9965095986038395,19.8333,20.978099999999998,22.606276395222626,21.847751915200238,34.75322946805516,1.2147987807081047,7.289862667060987,0.8656065428415527,10.275883214197092,21.61001884327366,1.0291893253211928,19.830769972804166,1.055699102167769
3,mvs_second_ate,"5,8,24,30",second-lowest RPE-safe MVS SE(3) ATE,0,0.9965095986038395,24.7481,25.8377,27.242666545689392,26.39801039048842,39.75132433943584,1.5298558133957407,15.313680854270938,0.9867197140843739,10.275480924560824,25.931727150953883,1.055742510562106,24.726843332421385,1.0907913764776682
4,mvs_mid_low_jump,"5,8,20,60",moderate MVS ATE with lower local jumps,0,0.9965095986038395,25.5467,26.7376,26.34884914463878,25.221018700558297,39.892150797133745,1.1726229998027442,10.648989634391624,0.765582522351013,8.538321312468163,24.246849679950497,1.0781072663958664,25.57828635249127,1.074783917078648
5,mvs_balanced,"5,24,30,59",low MVS ATE with lower translation/rotation jumps,0,0.9965095986038395,43.4886,46.422200000000004,50.591264984151785,46.06176613003097,85.6513848914634,1.8487499805278222,22.717255866600887,1.2305002028971432,16.67198655335447,42.989242040325465,0.7868225810588525,43.408348438642456,0.8050902519525959
6,mvs_best_ate,"8,40,50,59",lowest RPE-safe MVS SE(3) ATE,0,0.9965095986038395,45.4173,47.862,54.351771604591605,47.772788633649725,96.77964814845808,1.8355785396095499,11.24930054441364,1.1890387118905372,12.412183025768185,47.42751156039115,0.7648187140682857,45.35381708638664,0.8257765320992979
