label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at,historical_evo_ape_rmse_m,historical_evo_ape_mean_m
gray_baseline,photometric baseline control,gray,,0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,20.039957060987945,-15,1305031462.4276,249,,,,573,,,,,,,,,,,,,,,,,,,,,248,1.756223,1404.877905399999,1,0.0,0.993,1246000.0,0.014408,52,,,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/gray_baseline/replicate_0.log,2026-08-07T15:32:42.096019+00:00,,
known_cnn_baseline,historical four-channel CNN control,"5,29,40,52","[5, 29, 40, 52]",0,PASS,Completed the full matched RGB-D sequence,45.07224441600556,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.19935858730549647,0.18383736311879434,0.1901284442535641,0.3970584755536034,0.077121140123651,16.28573450084932,14.927774003842003,34.67463714036274,0.012529525562133654,0.13556703736857725,0.8630869985448096,8.467764218164792,0.173944982869321,0.15972341019070468,1.1289015696742666,0.16965133289438436,0.1515578805165762,1.1394411207895758,421,571,7.251965500000001,21306.330175749958,3,0.895,0.993,52220.0,0.005677,22,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/known_cnn_baseline/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/known_cnn_baseline/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/known_cnn_baseline/replicate_0.log,2026-08-07T15:33:27.224386+00:00,0.169747,0.151682
mvs_best_ate,lowest RPE-safe MVS SE(3) ATE,"8,40,50,59","[8, 40, 50, 59]",0,PASS,Completed the full matched RGB-D sequence,62.0620340280002,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.543517716045916,0.47772788633649726,0.38644993409606504,0.9677964814845808,0.25920566018555935,27.933662989544814,26.501004720309613,50.205129871284456,0.0183557853960955,0.1124930054441364,1.1890387118905372,12.412183025768185,0.4971042748753386,0.47427511560391156,0.7648187140682857,0.47819593854831205,0.4535381708638664,0.8257765320992979,431,571,7.129836,13.312107000000001,0,0.883,0.992,2328000.0,0.057808,428,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_best_ate/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_best_ate/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_best_ate/replicate_0.log,2026-08-07T15:50:00.153884+00:00,0.47862,0.454173
mvs_second_ate,second-lowest RPE-safe MVS SE(3) ATE,"5,8,24,30","[5, 8, 24, 30]",0,PASS,Completed the full matched RGB-D sequence,59.30928009399213,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2724266654568939,0.2639801039048842,0.2627137793697711,0.3975132433943584,0.0673111639650433,22.003892356415207,21.344701668886263,33.28252668166347,0.015298558133957406,0.1531368085427094,0.9867197140843739,10.275480924560824,0.26889585298192065,0.2593172715095388,1.055742510562106,0.2582266381242686,0.24726843332421386,1.0907913764776682,420,571,7.710486,184.62721249999998,0,0.903,0.993,1193000.0,0.0318,411,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_second_ate/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_second_ate/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_second_ate/replicate_0.log,2026-08-07T15:50:59.523351+00:00,0.258377,0.247481
mvs_balanced,low MVS ATE with lower translation/rotation jumps,"5,24,30,59","[5, 24, 30, 59]",0,PASS,Completed the full matched RGB-D sequence,60.214106935993186,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.5059126498415178,0.4606176613003097,0.4576236107358526,0.8565138489146339,0.20923426910498966,30.253539189304483,28.559074604763975,42.80523572540844,0.018487499805278224,0.22717255866600888,1.2305002028971432,16.67198655335447,0.46495354178430737,0.42989242040325465,0.7868225810588525,0.46372807969280216,0.4340834843864246,0.8050902519525959,421,571,7.920722,26.375562000000002,0,0.904,0.992,12690000.0,0.1624,412,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_balanced/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_balanced/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_balanced/replicate_0.log,2026-08-07T15:51:59.783287+00:00,0.464222,0.434886
r080_rescue,candidate recovered by the r=0.80 rescue audit,"5,17,19,59","[5, 17, 19, 59]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,41.12337104299513,-15,1305031472.3636,547,,,,573,,,,,,,,,,,,,,,,,,,,,546,8.82397,3638.046606599908,1,0.0,0.993,1475000.0,0.005726,36,,,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/r080_rescue/replicate_0.log,2026-08-07T15:52:40.941799+00:00,,
mvs_mid_low_jump,moderate MVS ATE with lower local jumps,"5,8,20,60","[5, 8, 20, 60]",0,PASS,Completed the full matched RGB-D sequence,46.73344982600247,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2634884914463878,0.25221018700558295,0.2605782975043557,0.39892150797133746,0.07626405900096077,19.83614479555007,19.103965083210838,26.64348428759527,0.011726229998027443,0.10648989634391624,0.765582522351013,8.538321312468163,0.2565022709750962,0.24246849679950497,1.0781072663958664,0.2677181843333648,0.2557828635249127,1.074783917078648,422,571,7.520044,5996.6550295,0,0.897,0.992,276400.0,0.029992,36,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_mid_low_jump/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_mid_low_jump/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_mid_low_jump/replicate_0.log,2026-08-07T15:53:27.736565+00:00,0.267376,0.255467
mvs_low_translation_jump,translation-RPE stability control,"0,24,30,56","[0, 24, 30, 56]",0,PASS,Completed the full matched RGB-D sequence,53.54606612298812,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.22606276395222624,0.21847751915200236,0.22221188778403092,0.3475322946805516,0.05806846709623391,17.374916180220836,16.033094286131792,28.015848691746413,0.012147987807081047,0.07289862667060987,0.8656065428415527,10.275883214197092,0.22480075720528486,0.21610018843273662,1.0291893253211928,0.20978641734102443,0.19830769972804166,1.055699102167769,418,571,8.542984,338.17819199999997,0,0.905,0.991,503300.0,0.013667,311,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_low_translation_jump/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_low_translation_jump/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_low_translation_jump/replicate_0.log,2026-08-07T15:54:21.336824+00:00,0.209781,0.198333
mvs_low_rotation_jump,rotation-RPE stability control,"6,17,18,43","[6, 17, 18, 43]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,33.61575585701212,-15,1305031469.8596,472,,,,573,,,,,,,,,,,,,,,,,,,,,471,12.938894,78004.84375,0,0.881,0.994,718600000000000.0,0.004567,1,,,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/fr1_desk_lightswitch/artifacts/mvs_low_rotation_jump/replicate_0.log,2026-08-07T15:54:54.980977+00:00,,
