dataset_order,dataset_key,dataset_family,dataset_condition,standard_label,source_label,source,kind,variant,fine_rank,coarse_rank,configuration,status,reason,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,translation_rpe_max_cm,rotation_rpe_max_deg,coverage_ratio,elapsed_seconds,dataset_rank
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine02_coarse02,unet_c2f_a_fine02_coarse02,Step-R:new,c2f,A,2,2,"C2F-A; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d17,d18,d30]",PASS,Completed the full matched RGB-D sequence,8.5257,9.340900000000001,1.1397,11.249404096118193,10.758624248235407,8.720438945981998,9.766129111000655,0.9965095986038395,47.75095658700002,25
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine02_coarse03,unet_c2f_a_fine02_coarse03,Step-R:new,c2f,A,2,3,"C2F-A; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d18,d30]",PASS,Completed the full matched RGB-D sequence,9.1038,10.259500000000001,1.0685,11.550679219936013,11.052142397536159,7.546992607022272,7.8267480953683535,0.9965095986038395,47.05535931700001,32
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine02_coarse04,unet_c2f_a_f2_c4_global_best,Step-Q:unet_c2f_a_f2_c4_global_best,c2f,A,2,4,"C2F-A; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d18,d30]",PASS,Completed the full matched RGB-D sequence,6.858599999999999,7.537299999999999,1.0659999999999998,9.915563174208973,9.417293986822086,7.7147768191308845,9.67254269481774,0.9965095986038395,48.268677179992665,3
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine03_coarse01,unet_c2f_a_fine03_coarse01,Step-R:new,c2f,A,3,1,"C2F-A; fine enc0[d2,d3,d12,d14]; coarse enc1[d5,d6,d17,d18,d28,d30]",PASS,Completed the full matched RGB-D sequence,7.9846,8.6991,1.0956000000000001,11.012472317724011,10.399365499740224,8.841744917946105,9.701815509508307,0.9965095986038395,48.7211824069999,14
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine03_coarse02,unet_c2f_a_fine03_coarse02,Step-R:new,c2f,A,3,2,"C2F-A; fine enc0[d2,d3,d12,d14]; coarse enc1[d0,d5,d6,d17,d18,d30]",PASS,Completed the full matched RGB-D sequence,7.7931,8.5269,1.1568,10.730878449682981,10.21617062813221,9.68533374708045,9.23777850621205,0.9965095986038395,47.58141965599998,13
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine03_coarse03,unet_c2f_a_fine03_coarse03,Step-R:new,c2f,A,3,3,"C2F-A; fine enc0[d2,d3,d12,d14]; coarse enc1[d0,d5,d18,d30]",PASS,Completed the full matched RGB-D sequence,9.7937,11.0937,1.1041,12.114460555650503,11.511632836953249,10.014154985022133,8.217029102214347,0.9965095986038395,46.95236931599993,38
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine03_coarse04,unet_c2f_a_fine03_coarse04,Step-R:new,c2f,A,3,4,"C2F-A; fine enc0[d2,d3,d12,d14]; coarse enc1[d0,d5,d6,d18,d30]",PASS,Completed the full matched RGB-D sequence,7.1485,7.910399999999999,1.0648,10.129177782965733,9.732714383797695,7.411289085711781,9.705277611322895,0.9965095986038395,47.601588512000035,7
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine04_coarse01,unet_c2f_a_fine04_coarse01,Step-R:new,c2f,A,4,1,"C2F-A; fine enc0[d2,d4,d6]; coarse enc1[d5,d6,d17,d18,d28,d30]",PASS,Completed the full matched RGB-D sequence,9.5264,10.6168,1.149,12.396019399885512,11.775918571095714,9.040727752140283,9.22833503585606,0.9965095986038395,49.306899069999986,34
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine04_coarse02,unet_c2f_a_fine04_coarse02,Step-R:new,c2f,A,4,2,"C2F-A; fine enc0[d2,d4,d6]; coarse enc1[d0,d5,d6,d17,d18,d30]",PASS,Completed the full matched RGB-D sequence,8.0357,8.872,1.0585,10.932392512513998,10.326755934213256,7.844278201060992,9.654897388334575,0.9965095986038395,48.617120204,16
1,fr1_desk_clean,fr1_desk,clean,unet_c2f_a_fine04_coarse03,unet_c2f_a_fine04_coarse03,Step-R:new,c2f,A,4,3,"C2F-A; fine enc0[d2,d4,d6]; coarse enc1[d0,d5,d18,d30]",PASS,Completed the full matched RGB-D sequence,9.6844,10.886,1.0554,12.051286633102679,11.450607016394496,9.669702720461434,9.295328732215138,0.9965095986038395,47.60109277799984,35
