channel,BQS,BQ,LQBS,Width,ShapeSim,SharpRet,MinPos,Symmetry,Retention,kill_clean,kill_50
0,0.309096,0.532654,0.689064,0.063424,0.655477,1.0,0.994204,0.89046,0.580294,0.7,0.1
1,0.269148,0.334032,0.438657,0.020156,0.927443,0.991526,1.0,0.87622,0.805757,2.8,3.5
2,0.533289,0.603817,0.792548,0.037624,0.983155,0.950122,1.0,0.945489,0.883197,10.9,6.4
3,0.342472,0.419753,0.554385,0.015856,0.91229,0.962897,1.0,0.928793,0.81589,14.6,10.0
4,0.441415,0.506642,0.667729,0.023381,0.984865,0.941161,1.0,0.939953,0.871257,0.0,0.0
5,0.223777,0.322677,0.425488,0.014243,0.932528,0.839894,1.0,0.885442,0.6935,13.5,64.6
6,0.33595,0.386975,0.510682,0.015856,0.973184,0.999103,0.994204,0.89807,0.868142,6.6,2.4
7,0.466329,0.498639,0.652938,0.035743,0.996966,0.972279,1.0,0.964793,0.935203,24.1,65.1
8,0.44893,0.512137,0.677922,0.014781,0.939447,0.990079,1.0,0.942432,0.876581,0.1,0.0
9,0.346591,0.426689,0.559602,0.027949,0.960966,0.982353,1.0,0.860459,0.81228,36.7,70.9
10,0.379645,0.552004,0.727226,0.026337,0.900127,0.801238,1.0,0.953608,0.687757,0.0,0.0
11,0.154812,0.195863,0.257478,0.011019,0.925132,0.940597,1.0,0.908336,0.790412,0.2,0.1
12,0.253499,0.297078,0.392969,0.009406,0.943158,0.981682,1.0,0.921616,0.853307,8.2,4.1
13,0.362977,0.499916,0.635023,0.094598,0.976862,0.864732,1.0,0.859543,0.726076,69.2,78.2
14,0.329425,0.401393,0.527397,0.023381,0.973627,0.977696,0.994204,0.867192,0.820705,6.6,4.6
15,0.370103,0.439674,0.580678,0.016662,0.969556,0.977148,1.0,0.888502,0.841767,6.5,55.1
16,0.34096,0.436276,0.574266,0.022306,0.930452,0.937537,1.0,0.8959,0.781523,4.7,2.4
17,0.243203,0.370607,0.491366,0.008331,0.903729,0.78154,1.0,0.929108,0.65623,4.1,2.6
18,0.0,0.498372,0.655628,0.026606,0.0,0.834005,0.508197,0.812443,0.0,52.6,16.3
19,0.34471,0.510987,0.671731,0.028756,0.893059,0.835858,0.994204,0.908983,0.674596,10.7,8.4
20,0.383947,0.420461,0.554971,0.016931,0.992783,0.998027,1.0,0.921611,0.913155,26.6,58.6
21,0.41815,0.480435,0.634131,0.01935,0.976659,0.965659,1.0,0.922849,0.870357,0.1,0.0
22,0.27247,0.331383,0.437992,0.011556,0.960686,0.927044,1.0,0.923224,0.822221,3.5,2.3
23,0.42891,0.4979,0.659119,0.014243,0.970668,0.935301,1.0,0.94886,0.861438,0.2,56.5
24,0.072999,0.660111,0.871996,0.024456,0.333024,0.446071,0.964511,0.77181,0.110585,54.9,78.3
25,0.257313,0.61295,0.801948,0.045955,0.692917,0.711459,0.994204,0.856506,0.419794,0.0,0.0
26,0.385588,0.462804,0.609099,0.023918,0.8784,1.0,1.0,0.948494,0.833157,4.1,2.2
27,0.311113,0.389688,0.513762,0.017468,0.937952,0.927532,0.994204,0.923031,0.798364,0.9,0.2
28,0.294225,0.473984,0.62759,0.013169,0.911036,0.722575,0.994204,0.948466,0.620749,2.4,2.7
29,0.374743,0.411126,0.54127,0.020693,0.985034,0.983994,1.0,0.940405,0.911505,7.0,5.3
30,0.311485,0.341441,0.450328,0.014781,0.97991,1.0,1.0,0.930967,0.912265,0.9,0.8
31,0.271279,0.368132,0.484124,0.020156,0.875588,0.920894,0.994204,0.919237,0.736907,2.1,1.7
32,0.350103,0.595014,0.788066,0.015856,0.886309,0.72135,1.0,0.920316,0.588394,16.3,57.1
33,0.078579,0.475771,0.628539,0.017468,0.247177,0.769365,0.994204,0.87356,0.165162,57.8,11.5
34,0.330487,0.515584,0.680278,0.0215,0.882171,0.833608,0.991803,0.878852,0.640997,0.9,0.0
35,0.109295,0.5259,0.69063,0.031712,0.346832,1.0,0.754098,0.794598,0.207824,18.2,8.4
36,0.206199,0.238538,0.313662,0.013169,0.954927,0.985684,1.0,0.918374,0.864426,3.7,3.3
37,0.440382,0.54313,0.71853,0.016931,0.951551,0.949014,0.994204,0.903121,0.810823,1.4,2.3
38,0.274621,0.354764,0.470242,0.008331,0.955883,0.853016,1.0,0.949362,0.774094,0.8,0.8
39,0.262395,0.36949,0.48898,0.011019,0.910509,0.855104,1.0,0.912115,0.710155,0.0,0.0
40,0.280495,0.353674,0.468071,0.010481,0.952947,0.878658,1.0,0.947182,0.79309,4.6,4.5
41,0.468796,0.585891,0.773037,0.024456,0.925263,0.952363,1.0,0.908028,0.800141,0.0,0.0
42,0.416066,0.44374,0.586727,0.014781,0.991949,0.984345,1.0,0.960276,0.937633,0.2,0.1
43,0.43713,0.475362,0.627813,0.018006,0.978278,1.0,1.0,0.939992,0.919574,2.4,1.7
44,0.379442,0.5987,0.788055,0.030637,0.903524,0.758706,1.0,0.924533,0.633776,2.6,1.3
45,0.436274,0.525385,0.694511,0.018006,0.918708,1.0,0.991803,0.911336,0.830389,0.2,0.4
46,0.448195,0.486487,0.644976,0.011019,0.98326,0.975125,1.0,0.960877,0.92129,0.2,0.1
