dataset_order,dataset_key,dataset_family,dataset_condition,c2f_label,c2f_variant,c2f_configuration,c2f_status,c2f_ate_mean_cm,fine_parent_label,fine_parent_status,fine_parent_ate_mean_cm,coarse_parent_label,coarse_parent_status,coarse_parent_ate_mean_cm,best_direct_parent_label,best_direct_parent_ate_mean_cm,comparison_status,delta_vs_fine_cm,percent_delta_vs_fine,beats_fine_parent,delta_vs_better_direct_parent_cm,percent_delta_vs_better_direct_parent,beats_better_direct_parent
4,fr2_desk_clean,fr2_desk,clean,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,6.444500000000001,resnet_conv1_direct_f6_d29_d33_d52,PASS,5.96,resnet_layer2_direct_c5_d108_d121,PASS,17.2523,resnet_conv1_direct_f6_d29_d33_d52,5.96,COMPARABLE,0.4845000000000006,8.129194630872494,False,0.4845000000000006,8.129194630872494,False
5,fr2_desk_lightswitch,fr2_desk,lightswitch,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",FAIL_TRACKING_NAN,,resnet_conv1_direct_f1_d15_d20_d26_d34,FAIL_TRACKING_NAN,,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.007199999999997,,,C2F_NONPASS,,,False,,,False
5,fr2_desk_lightswitch,fr2_desk,lightswitch,resnet_c2f_a_f2_c4_variant_negative,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,7.0937,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,7.4655,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.007199999999997,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,7.4655,COMPARABLE,-0.37179999999999946,-4.980242448596872,True,-0.37179999999999946,-4.980242448596872,True
5,fr2_desk_lightswitch,fr2_desk,lightswitch,resnet_c2f_b_f2_c4_global_best,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,6.5996,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,7.4655,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.007199999999997,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,7.4655,COMPARABLE,-0.8658999999999999,-11.598687294889826,True,-0.8658999999999999,-11.598687294889826,True
5,fr2_desk_lightswitch,fr2_desk,lightswitch,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",FAIL_TRACKING_NAN,,resnet_conv1_direct_f6_d29_d33_d52,PASS,25.865199999999998,resnet_layer2_direct_c5_d108_d121,PASS,17.2379,resnet_layer2_direct_c5_d108_d121,17.2379,C2F_NONPASS,,,False,,,False
6,fr2_desk_flashlight,fr2_desk,flashlight,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",PASS,4.7003,resnet_conv1_direct_f1_d15_d20_d26_d34,PASS,4.6507,resnet_layer2_direct_c4_d67_d108_d121,PASS,17.0487,resnet_conv1_direct_f1_d15_d20_d26_d34,4.6507,COMPARABLE,0.049600000000000755,1.0665061173586936,False,0.049600000000000755,1.0665061173586936,False
6,fr2_desk_flashlight,fr2_desk,flashlight,resnet_c2f_a_f2_c4_variant_negative,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,6.5081,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,5.8846,resnet_layer2_direct_c4_d67_d108_d121,PASS,17.0487,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,5.8846,COMPARABLE,0.6234999999999999,10.595452537130816,False,0.6234999999999999,10.595452537130816,False
6,fr2_desk_flashlight,fr2_desk,flashlight,resnet_c2f_b_f2_c4_global_best,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,5.8665,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,5.8846,resnet_layer2_direct_c4_d67_d108_d121,PASS,17.0487,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,5.8846,COMPARABLE,-0.01809999999999956,-0.3075825034836618,True,-0.01809999999999956,-0.3075825034836618,True
6,fr2_desk_flashlight,fr2_desk,flashlight,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,6.3833,resnet_conv1_direct_f6_d29_d33_d52,PASS,6.1388,resnet_layer2_direct_c5_d108_d121,PASS,16.6514,resnet_conv1_direct_f6_d29_d33_d52,6.1388,COMPARABLE,0.24450000000000038,3.9828631002801913,False,0.24450000000000038,3.9828631002801913,False
7,fr3_long_office_household_clean,fr3_long_office_household,clean,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",PASS,12.690199999999999,resnet_conv1_direct_f1_d15_d20_d26_d34,PASS,12.1139,resnet_layer2_direct_c4_d67_d108_d121,PASS,68.41000000000001,resnet_conv1_direct_f1_d15_d20_d26_d34,12.1139,COMPARABLE,0.5762999999999998,4.757344868291796,False,0.5762999999999998,4.757344868291796,False
