channel,bqs_score,basin_quality,retention_30,retention_50,shape_retention_avg,shape_sim_30,shape_sim_50,sharp_ret_30,sharp_ret_50,minpos_30,minpos_50,bright_sym_30,bright_sym_50,rank,local_quadratic_bowl_score,r2,min_eigval,symmetry_score,basin_width,local_convergence_sr,local_sharpness,condition_number,coeff_xx,coeff_yy
58,0.179187,0.671154,0.667460,0.000000,0.266984,0.720028,0.000000,1.000000,0.000000,1.000000,0.000000,0.926991,0.000000,26,0.448182,0.797224,0.002988,0.938498,5.385165,1.000000,0.048208,1.270010,0.001522,0.002123
61,0.169643,0.777797,0.526164,0.012736,0.218107,0.771320,0.459096,1.000000,0.906938,0.900000,0.048685,0.757956,0.628299,27,0.498995,0.943422,0.002265,0.995937,11.180340,1.000000,0.009803,1.233098,0.001311,0.001872
47,0.168387,0.386593,0.545214,0.362468,0.435566,0.773901,0.693066,0.824366,0.646099,1.000000,1.000000,0.854597,0.809460,28,0.250319,0.504251,0.001989,0.995546,5.000000,0.920455,0.107709,3.360380,0.001001,0.001706
0,0.158106,0.294566,0.472296,0.579706,0.536742,0.593070,0.768965,1.000000,1.000000,1.000000,1.000000,0.796357,0.753878,29,0.073016,0.899267,0.000224,0.805948,32.310989,1.000000,0.013705,14.262128,0.000112,0.001938
31,0.155639,0.268312,0.756438,0.462489,0.580068,0.864039,0.604302,0.984648,0.985529,1.000000,1.000000,0.889116,0.776564,30,0.169594,0.419630,0.001377,0.991024,4.472136,0.750000,0.058017,4.123674,0.000714,0.002391
14,0.150378,0.456208,0.563269,0.173863,0.329625,0.903831,0.659307,0.681796,0.355314,1.000000,1.000000,0.914058,0.742176,31,0.304873,0.633748,0.001889,0.990411,3.605551,1.000000,0.057754,2.247463,0.004017,0.001503
15,0.140668,0.187622,0.837279,0.691381,0.749740,0.982620,0.937601,0.883751,0.787652,1.000000,1.000000,0.964172,0.936193,32,0.122272,0.334153,0.001187,0.982542,2.236068,0.702273,0.173517,3.554517,0.000766,0.002472
37,0.135218,0.700909,0.459122,0.015449,0.192918,0.713124,0.396632,0.953406,0.719416,0.929289,0.094461,0.726665,0.573154,33,0.438388,0.932756,0.001788,0.995591,12.806248,1.000000,0.013410,1.243058,0.001201,0.001680
5,0.132765,0.145920,0.930142,0.896318,0.909848,0.991517,0.969957,0.971995,0.971754,1.000000,1.000000,0.965128,0.950940,34,0.093043,0.297095,0.000920,0.994122,2.236068,0.700000,0.133703,3.134151,0.002447,0.000916
11,0.110788,0.245031,0.667576,0.308515,0.452140,0.852658,0.709118,0.854740,0.514552,1.000000,1.000000,0.915992,0.845531,35,0.154224,0.443707,0.001095,0.982167,4.242641,0.936364,0.095539,4.264146,0.001425,0.001731
43,0.108407,0.274931,0.595435,0.260222,0.394307,0.656401,0.405029,1.000000,0.808701,1.000000,1.000000,0.907121,0.794454,36,0.175181,0.394958,0.001742,0.952794,4.242641,0.825000,0.110998,3.642875,0.001004,0.001575
26,0.093359,0.394621,0.397230,0.129478,0.236579,0.812177,0.627813,0.566006,0.294505,1.000000,1.000000,0.864112,0.700284,37,0.260076,0.688689,0.001220,0.996588,4.000000,0.897727,0.056984,4.400678,0.000614,0.006343
57,0.086023,0.468683,0.318040,0.093877,0.183542,0.647975,0.443159,0.615022,0.360377,1.000000,0.900000,0.798056,0.653130,38,0.311480,0.715353,0.001614,0.974974,4.123106,1.000000,0.043584,3.664804,0.000948,0.004130
10,0.084016,0.345450,0.410586,0.131625,0.243209,0.932915,0.797368,0.456076,0.205362,1.000000,1.000000,0.964993,0.803820,39,0.221481,0.569961,0.001298,0.987131,5.000000,0.977273,0.052846,5.827816,0.000676,0.002728
56,0.081336,0.479630,0.253070,0.113920,0.169580,0.834927,0.746096,0.418626,0.250834,1.000000,0.929289,0.724045,0.655043,40,0.317711,0.624124,0.002443,0.925841,4.472136,0.911364,0.058451,2.254023,0.001646,0.002191
44,0.071953,0.458453,0.183696,0.139114,0.156947,0.848163,0.883086,0.319070,0.205247,1.000000,1.000000,0.678789,0.767521,41,0.300278,0.755356,0.001518,0.921240,5.099020,1.000000,0.054421,3.618444,0.001903,0.000774
40,0.070399,0.085949,0.925976,0.747823,0.819084,0.986301,0.950087,1.000000,0.880721,1.000000,1.000000,0.938836,0.893711,42,0.054402,0.220193,0.000707,0.945753,1.414214,0.702273,0.293649,2.046623,0.000510,0.000611
8,0.069345,0.313137,0.420184,0.088963,0.221451,0.484858,0.842724,1.000000,1.000000,1.000000,0.261759,0.866614,0.403295,43,0.044254,0.926744,0.000140,0.730082,42.426407,0.997727,0.012506,11.498317,0.001592,0.000070
50,0.066292,0.315537,0.409215,0.077346,0.210093,0.946023,0.823974,0.597938,0.237732,1.000000,0.745049,0.723424,0.529967,44,0.203643,0.659242,0.001094,0.873841,4.242641,0.915909,0.106066,2.437181,0.001697,0.000744
39,0.051414,0.395300,0.225347,0.066541,0.130063,0.904475,0.830972,0.367219,0.158335,1.000000,0.929289,0.678467,0.544223,45,0.262182,0.785686,0.001183,0.897648,3.605551,0.990909,0.145898,1.664525,0.000606,0.001663
59,0.051152,0.054489,0.982732,0.909434,0.938754,0.995729,0.960694,1.000000,0.985780,1.000000,1.000000,0.986947,0.960299,46,0.029932,0.187007,0.000387,0.988186,2.000000,0.543182,0.216582,5.393216,0.001762,0.000232
25,0.028444,0.414967,0.114518,0.037896,0.068545,0.358636,0.242027,0.472344,0.288739,1.000000,0.929289,0.676022,0.583547,47,0.273829,0.715177,0.001348,0.950964,4.123106,1.000000,0.047191,2.659440,0.003026,0.000685
30,0.019294,0.166510,0.176373,0.075541,0.115874,0.857880,0.789596,0.315734,0.186281,1.000000,0.929289,0.651153,0.552660,48,0.096059,0.497935,0.000536,0.913023,5.000000,0.827273,0.068287,5.925294,0.000278,0.002394
35,0.012965,0.601830,0.039605,0.009501,0.021543,0.517021,0.127857,0.667137,0.172198,0.175379,0.929289,0.654719,0.464375,49,0.354599,0.884974,0.001373,0.984260,16.278821,1.000000,0.018066,1.360192,0.001157,0.001295
24,0.007489,0.265127,0.059676,0.007292,0.028246,0.944398,0.931354,0.144739,0.050846,0.929289,0.348080,0.469796,0.442395,50,0.140212,0.843513,0.000534,0.788358,11.045361,0.834091,0.097188,2.439826,0.000267,0.001366
18,0.001493,0.694368,0.002829,0.001696,0.002149,0.382959,0.536800,0.026393,0.016443,0.600000,0.278890,0.466489,0.689124,51,0.473634,0.736422,0.003891,0.973706,3.162278,1.000000,0.065516,1.256831,0.001959,0.002387
36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
54,0.000000,0.684605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57,0.453406,0.824431,0.002722,0.954047,6.403124,1.000000,0.029431,1.395646,0.001475,0.001650
3,0.000000,0.608476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58,0.401369,0.820738,0.002360,0.903463,6.082763,1.000000,0.042625,2.091060,0.001180,0.002280
17,0.000000,0.672228,0.000000,0.000000,0.000000,0.000000,0.000000,0.004807,0.000000,0.000000,0.000000,0.592992,0.571554,59,0.454148,0.711543,0.003529,1.000000,4.123106,1.000000,0.048675,2.393065,0.001771,0.003449
12,0.000000,0.627367,0.000000,0.000000,0.000000,0.037099,0.000000,1.000000,0.000000,0.000000,0.000000,0.385291,0.000000,60,0.401655,0.868238,0.001822,0.970340,9.219544,1.000000,0.027258,3.034064,0.000923,0.002281
38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
62,0.000000,0.741451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,64,0.487439,0.886858,0.002972,0.919479,7.810250,1.000000,0.023872,1.257279,0.001598,0.001780
