channel,condition,local_quadratic_bowl_score,r2,min_eigval,symmetry_score,basin_width,local_convergence_sr,local_sharpness,condition_number,coeff_xx,coeff_yy
18,bright50,0.000000,0.974188,-0.000537,0.689124,34.000000,0.854545,0.001077,2.856687,-0.000269,0.001870
19,clean,0.387910,0.754261,0.002152,0.992212,5.099020,1.000000,0.035672,3.011797,0.001078,0.003550
19,bright30,0.355661,0.750836,0.002038,0.938450,6.082763,1.000000,0.035765,2.751776,0.001020,0.003334
19,bright50,0.323881,0.732093,0.001881,0.912760,6.082763,1.000000,0.035215,2.548937,0.000942,0.003026
20,clean,0.300175,0.555524,0.002523,0.968623,3.605551,1.000000,0.070435,3.006698,0.002274,0.001262
20,bright30,0.294763,0.566237,0.002843,0.886772,3.605551,0.988636,0.079590,2.997883,0.002416,0.001422
20,bright50,0.263367,0.619743,0.002164,0.817671,3.605551,0.970455,0.074016,3.248256,0.002248,0.001097
21,clean,0.448724,0.878868,0.002125,0.991199,8.944272,1.000000,0.016328,2.825995,0.001264,0.002344
21,bright30,0.355788,0.882836,0.001800,0.850860,13.892444,1.000000,0.016939,2.930095,0.001080,0.002326
21,bright50,0.225394,0.902352,0.001041,0.729544,42.426407,0.997727,0.017352,2.960521,0.000640,0.002148
22,clean,0.329185,0.751554,0.001761,0.935376,6.082763,1.000000,0.028068,2.415200,0.002037,0.000979
22,bright30,0.349762,0.686528,0.002448,0.925715,4.472136,1.000000,0.039983,2.168203,0.002212,0.001403
22,bright50,0.267218,0.736429,0.001618,0.811469,6.708204,1.000000,0.035827,2.093782,0.002128,0.000874
23,clean,0.182865,0.406716,0.001701,0.978344,2.236068,0.872727,0.153648,2.699465,0.000854,0.001925
23,bright30,0.183248,0.462565,0.001478,0.932374,2.828427,0.886364,0.139648,2.652051,0.000742,0.002025
23,bright50,0.134642,0.443391,0.001039,0.888149,2.828427,0.827273,0.146807,2.737187,0.000535,0.001880
24,clean,0.140212,0.843513,0.000534,0.788358,11.045361,0.834091,0.097188,2.439826,0.000267,0.001366
24,bright30,0.020911,0.987396,0.000094,0.469796,42.426407,0.772727,0.014067,2.921543,0.000047,0.001387
24,bright50,0.006699,0.989289,0.000031,0.442395,42.426407,0.734091,0.004942,3.067771,0.000016,0.001310
25,clean,0.273829,0.715177,0.001348,0.950964,4.123106,1.000000,0.047191,2.659440,0.003026,0.000685
25,bright30,0.147442,0.909292,0.000631,0.676022,42.426407,0.990909,0.022290,2.471296,0.001945,0.000318
25,bright50,0.074096,0.961110,0.000304,0.583547,42.426407,0.929545,0.013626,2.510937,0.001666,0.000153
26,clean,0.260076,0.688689,0.001220,0.996588,4.000000,0.897727,0.056984,4.400678,0.000614,0.006343
26,bright30,0.156222,0.755706,0.000629,0.864112,7.071068,0.913636,0.032253,4.306047,0.000315,0.004117
26,bright50,0.073014,0.881925,0.000268,0.700284,42.426407,0.886364,0.016782,4.165142,0.000134,0.002682
27,clean,0.396809,0.720800,0.002648,0.966277,5.099020,1.000000,0.039611,2.771980,0.001394,0.003253
27,bright30,0.343241,0.725584,0.002180,0.907145,6.082763,1.000000,0.031870,2.928203,0.001231,0.002726
27,bright50,0.275022,0.671724,0.001898,0.840869,7.615773,0.845455,0.029361,2.684255,0.001065,0.002013
28,clean,0.467670,0.831017,0.002602,0.995353,6.403124,1.000000,0.027393,1.564305,0.001831,0.002006
28,bright30,0.404573,0.841175,0.002220,0.914185,8.062258,1.000000,0.023013,1.604793,0.001648,0.001781
28,bright50,0.345936,0.798747,0.001891,0.891203,10.816654,1.000000,0.022266,1.499194,0.001317,0.001505
29,clean,0.374618,0.768025,0.002184,0.934401,5.000000,1.000000,0.051048,2.211814,0.001110,0.002647
29,bright30,0.298500,0.768103,0.001598,0.874964,5.099020,1.000000,0.061470,2.065035,0.000800,0.002945
29,bright50,0.000000,0.939951,-0.000201,0.537996,42.426407,0.920455,0.023497,1.789083,-0.000099,0.001614
30,clean,0.096059,0.497935,0.000536,0.913023,5.000000,0.827273,0.068287,5.925294,0.000278,0.002394
30,bright30,0.041376,0.900388,0.000152,0.651153,42.426407,0.877273,0.021561,6.271887,0.000076,0.001699
30,bright50,0.016401,0.959283,0.000064,0.552660,42.426407,0.886364,0.012721,6.251770,0.000032,0.001581
31,clean,0.169594,0.419630,0.001377,0.991024,4.472136,0.750000,0.058017,4.123674,0.000714,0.002391
31,bright30,0.128250,0.429373,0.001012,0.889116,5.385165,0.677273,0.057127,4.430769,0.000524,0.002251
31,bright50,0.067088,0.570881,0.000357,0.776564,6.324555,0.638636,0.057178,4.347905,0.000189,0.001932
32,clean,0.403816,0.858894,0.001789,0.995799,9.433981,1.000000,0.018519,1.705896,0.001217,0.001991
32,bright30,0.324227,0.881537,0.001390,0.896848,28.319605,1.000000,0.014740,1.755431,0.000980,0.001662
