channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
10,0.15033022,0.06067792,0.28678021,0.05477734,0.16939795,0.03163426,0.08333725,0.17343871,0.08024049,0.03590034,1.00000000,0.05020613,0.10078532,0.40476668,0.03841775,0.23042536,0.12232357,0.16814530,0.15692176,0.04843862,0.06587036,0.40801251,0.03650986,0.13047263,0.12646581,0.05572584,0.08360773,0.05761365,0.10538259,0.34795088,0.10515683,0.08564894,0.03444300,0.13868245,0.19582574,0.04673697,0.23401514,0.14215282,0.02501076,0.14727715,0.11010918,0.11215247,0.29338247,0.10086641,0.31387365,0.14012963,0.06812759,0.06550746,0.03723111,0.10973904,0.07340357,0.06303947,0.05789950,0.17523658,0.02871552,0.26407471,0.13853827,0.06805640,0.08321795,0.05277228,0.19701712,0.17296591,0.11515999,0.07821216
11,0.08985689,0.07902963,0.02421546,0.08639166,0.18814531,0.07659765,0.02608800,0.14059234,0.02604755,0.05694697,0.05020613,1.00000000,0.09748957,0.04835971,0.07480658,0.23228386,0.03873687,0.10908709,0.08467756,0.04712416,0.14015344,0.08915453,0.07057013,0.16400746,0.03869803,0.04462986,0.02538477,0.11957504,0.10402094,0.08298917,0.16215900,0.07877026,0.11637925,0.11910602,0.05560408,0.12163801,0.04078382,0.03650313,0.10718961,0.03493816,0.06916431,0.06148279,0.04321762,0.22659123,0.09566414,0.06106117,0.04182933,0.05128931,0.09601025,0.19062239,0.06280293,0.08611285,0.08210848,0.14516181,0.02749349,0.11819977,0.04112291,0.11507606,0.12880763,0.04872926,0.08929180,0.10633253,0.17466728,0.02858346
12,0.06927619,0.03823921,0.10296303,0.11895907,0.07245147,0.12975693,0.10895656,0.13250217,0.07296301,0.04615912,0.10078532,0.09748957,1.00000000,0.06981878,0.09088653,0.19337142,0.03185153,0.07572705,0.07922702,0.13869479,0.17271505,0.25320989,0.21066111,0.16009086,0.20672244,0.15278494,0.17550761,0.05281946,0.04180809,0.03457931,0.15515950,0.02102096,0.04550625,0.03828057,0.11882097,0.14364162,0.47702381,0.05376913,0.10429121,0.06975968,0.08586043,0.03875993,0.06504420,0.18749003,0.03547727,0.06559113,0.14048277,0.04369378,0.13386658,0.21215148,0.03624190,0.13584188,0.05080815,0.12975533,0.26824579,0.09233344,0.04494170,0.27157009,0.08820717,0.03696349,0.03294193,0.07953290,0.07866974,0.03657389
13,0.27613363,0.05322631,0.05439590,0.10103780,0.37409049,0.10746393,0.14582841,0.25171858,0.10758124,0.03826188,0.40476668,0.04835971,0.06981878,1.00000000,0.03059134,0.25554222,0.13887894,0.09449308,0.10215685,0.04353990,0.03582443,0.22150388,0.12061787,0.27405941,0.09248750,0.10712452,0.09923523,0.03040247,0.16022238,0.27281755,0.12406390,0.05140495,0.10081155,0.17146119,0.20683023,0.04273396,0.29218638,0.06540432,0.02291915,0.06185703,0.04281851,0.32959655,0.24237967,0.04015025,0.18503317,0.05049846,0.08639963,0.13012204,0.06633165,0.05757499,0.05781408,0.07860257,0.10668866,0.18961471,0.12037777,0.23121971,0.12843393,0.14016163,0.11484975,0.03092165,0.19966048,0.04106223,0.07930853,0.06741531
14,0.06396533,0.05584269,0.12160197,0.36618251,0.19673836,0.04217100,0.17099196,0.14465672,0.04739571,0.08625786,0.03841775,0.07480658,0.09088653,0.03059134,1.00000000,0.22867626,0.04061575,0.03323196,0.12449659,0.09709492,0.54166538,0.16591346,0.42348295,0.12462647,0.05672815,0.05789922,0.05004827,0.05774577,0.04090110,0.06072743,0.21712789,0.06727408,0.15765212,0.10955808,0.04607565,0.06746670,0.11948287,0.10833701,0.11052103,0.05207588,0.05960130,0.14481381,0.08537320,0.05936114,0.04882177,0.12528914,0.04365279,0.03552167,0.13195819,0.01668585,0.02996782,0.09529907,0.04336914,0.02706867,0.21877612,0.10470539,0.06429885,0.15239587,0.26352009,0.10979714,0.04924900,0.05165882,0.04135779,0.03347777
15,0.24483934,0.15890560,0.24632823,0.06063456,0.50463760,0.07310840,0.32988936,0.14952797,0.05006859,0.16279717,0.23042536,0.23228386,0.19337142,0.25554222,0.22867626,1.00000000,0.16702425,0.08445029,0.26982588,0.16428947,0.21681249,0.13258502,0.13741571,0.35256910,0.24330121,0.22649482,0.05605536,0.05462074,0.21994278,0.23025469,0.12968652,0.31492758,0.20438439,0.15697655,0.33399093,0.08312803,0.33125377,0.06958264,0.03528691,0.10420726,0.07427298,0.15536132,0.11430752,0.18087582,0.06672640,0.06129032,0.09929343,0.05477929,0.09172373,0.11692551,0.12697995,0.19246802,0.14429222,0.21797410,0.03747908,0.26203063,0.21231261,0.26274636,0.11043146,0.01896500,0.16340753,0.21034360,0.21742649,0.05887654
16,0.11176362,0.28607625,0.08428376,0.10195325,0.14565784,0.11294580,0.08661745,0.05117444,0.02694487,0.06250839,0.12232357,0.03873687,0.03185153,0.13887894,0.04061575,0.16702425,1.00000000,0.13636521,0.17779523,0.06801768,0.07826097,0.09714060,0.02622769,0.32534659,0.13685739,0.09062507,0.06211258,0.05237684,0.10891902,0.23081806,0.09336230,0.29889750,0.07012525,0.18326819,0.09341050,0.12387818,0.07965712,0.11774161,0.05887555,0.05417588,0.03987690,0.04966810,0.04201648,0.02951345,0.06473170,0.10882378,0.07688008,0.03689713,0.05684904,0.14487122,0.03342022,0.10658647,0.08884561,0.09676176,0.04103246,0.09960761,0.07431735,0.05682834,0.04118043,0.02778604,0.12417345,0.34056824,0.06066655,0.03042380
17,0.13578075,0.03905921,0.04362336,0.02636331,0.17643428,0.05341834,0.06524636,0.06025986,0.18305086,0.03272999,0.16814530,0.10908709,0.07572705,0.09449308,0.03323196,0.08445029,0.13636521,1.00000000,0.02554858,0.13878596,0.15544190,0.03545301,0.23420420,0.12722078,0.05563994,0.07996522,0.18316412,0.02365202,0.05345206,0.32595325,0.06058786,0.03917110,0.07000750,0.02582252,0.05854079,0.04684338,0.20763850,0.17218797,0.12612252,0.02990771,0.03548955,0.10030147,0.20515789,0.12431032,0.26084006,0.08557127,0.17881760,0.03018122,0.11827637,0.46945339,0.14836419,0.04122828,0.04808541,0.03007063,0.09022792,0.02717625,0.14038083,0.18481678,0.05534977,0.03838661,0.20161113,0.02278849,0.03443725,0.19054654
18,0.19956204,0.07262881,0.19885898,0.22440886,0.44361445,0.08065507,0.20118526,0.06772305,0.07749356,0.15875962,0.15692176,0.08467756,0.07922702,0.10215685,0.12449659,0.26982588,0.17779523,0.02554858,1.00000000,0.21956272,0.05673923,0.14123099,0.03861808,0.27719361,0.16574250,0.07183170,0.17316961,0.21157984,0.31844109,0.07428885,0.05182324,0.07008995,0.15734388,0.03863030,0.23080394,0.32035863,0.15403676,0.28606617,0.06458531,0.04150220,0.04755077,0.19905943,0.06533210,0.08237964,0.04960928,0.32164508,0.04931236,0.15606660,0.06983668,0.21422327,0.05149391,0.13037887,0.17757547,0.13748281,0.08780865,0.26340449,0.08991523,0.08378166,0.06752529,0.08375867,0.06518012,0.64629877,0.08924969,0.06222642
19,0.14921960,0.24474956,0.30724633,0.24095020,0.19120681,0.12889610,0.31925327,0.39715642,0.13517877,0.04702889,0.04843862,0.04712416,0.13869479,0.04353990,0.09709492,0.16428947,0.06801768,0.13878596,0.21956272,1.00000000,0.08429383,0.18192445,0.04442885,0.32253829,0.12835631,0.23529844,0.13822421,0.11640556,0.04484297,0.40830648,0.12751974,0.09180129,0.11463094,0.04844630,0.16765241,0.21045168,0.05072149,0.24122903,0.05354564,0.06563596,0.06465273,0.18317354,0.13383111,0.11346246,0.05089355,0.22523706,0.04555325,0.07689530,0.37052533,0.13286409,0.04108002,0.11701901,0.09935516,0.14346114,0.25106290,0.08076387,0.13366045,0.44369626,0.03710645,0.04674773,0.13393830,0.27010116,0.08744095,0.04001889
