channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
21,0.28179693,0.71134543,,0.66872191,,0.06445262,0.23828158,,0.30844647,,0.79395163,0.75503677,0.75721419,,0.05100875,0.43310234,0.92774153,0.63092279,0.62808907,0.85778451,0.70687830,1.00000000,0.84000146,0.68984020,0.13350695,0.52495074,0.06026054,0.43217534,0.10847445,0.74187171,0.24594590,0.74533999,0.32799047,0.78262901,0.79670554,0.82245338,,0.94207776,,0.55910850,0.05300746,0.71792239,0.81510830,0.67957455,0.74182367,0.93669927,0.95889717,0.85871494,,0.58726066,0.35500699,0.94249856,0.06166712,0.90711153,0.65881157,0.89972818,0.31744558,0.57109785,0.76782531,0.07617779,0.87763381,0.97964346,0.74658841,0.41265693
22,0.29328215,0.44946229,,0.57783836,,0.12074396,0.22667840,,0.44719768,,0.62193871,0.76380831,0.67381823,,0.32975158,0.35987645,0.83066702,0.56723720,0.59466249,0.79575711,0.62916875,0.84000146,1.00000000,0.55250561,0.13257748,0.17475173,0.03668096,0.48624966,0.22366726,0.73633659,0.19417877,0.63012242,0.38911015,0.69253904,0.70021570,0.77464545,,0.83559227,,0.42739227,0.10590634,0.82964671,0.72039950,0.51274091,0.77949059,0.78959262,0.83121431,0.79520798,,0.64959228,0.07819155,0.75273943,0.12546305,0.71145749,0.64011353,0.86988723,0.49364933,0.60800707,0.62445974,0.30059427,0.80416250,0.89217067,0.61164433,0.31562364
23,0.12890628,0.48431957,,0.47760212,,0.16986094,0.19180423,,0.09008044,,0.60844404,0.50326341,0.52466619,,0.04479517,0.39195698,0.61948371,0.46647322,0.44892696,0.53948092,0.46713343,0.68984020,0.55250561,1.00000000,0.03280757,0.31979436,0.03520856,0.36562508,0.14620006,0.52586901,0.27710044,0.35277730,0.32140973,0.46087024,0.53156811,0.56335354,,0.63576478,,0.42481881,0.19385512,0.51095843,0.63252139,0.54439855,0.43164343,0.61490512,0.66046083,0.62563097,,0.43838274,0.27136105,0.63406563,0.06866015,0.61624384,0.46130544,0.61183602,0.31378645,0.46595740,0.54899740,0.06151026,0.62275374,0.66614842,0.55029905,0.38887763
24,0.38030314,0.02839419,,0.10255310,,0.03751497,0.02071357,,0.02354259,,0.13373868,0.09987552,0.06565148,,0.02687685,0.08247306,0.16675378,0.12702116,0.05347446,0.14680701,0.13254765,0.13350695,0.13257748,0.03280757,1.00000000,0.06543574,0.14745283,0.04925224,0.02256607,0.25742805,0.28033209,0.19233307,0.03326383,0.18080236,0.14093205,0.08231487,,0.12639987,,0.11343839,0.27852565,0.14780861,0.06950805,0.07076634,0.06874751,0.16034114,0.16589370,0.04893254,,0.04265917,0.06941053,0.08450445,0.01442887,0.10649100,0.10565055,0.20274958,0.20817477,0.11473228,0.07110893,0.08643597,0.05177224,0.18691236,0.10703371,0.13819979
25,0.20119599,0.46677285,,0.39943573,,0.02021081,0.16204447,,0.14689443,,0.43502116,0.26392120,0.39469478,,0.35374928,0.19851497,0.49975860,0.35680687,0.18508954,0.23333499,0.64797831,0.52495074,0.17475173,0.31979436,0.06543574,1.00000000,0.04223521,0.18814719,0.04533511,0.45005202,0.18519795,0.44124824,0.09357097,0.36509728,0.35141602,0.40878153,,0.55874342,,0.30619037,0.04027303,0.14391157,0.43261921,0.66007710,0.50243974,0.53274214,0.53663826,0.49601704,,0.11771708,0.43996072,0.56451398,0.04959661,0.56686336,0.37780187,0.40195239,0.17497016,0.36465579,0.45722228,0.35486645,0.47519386,0.51986784,0.50192094,0.45263958
26,0.05076735,0.28217193,,0.01722295,,0.02517052,0.11327574,,0.04625958,,0.21581575,0.12890881,0.02157610,,0.05789293,0.09970133,0.07112515,0.03976749,0.04248731,0.35096997,0.17342851,0.06026054,0.03668096,0.03520856,0.14745283,0.04223521,1.00000000,0.17392331,0.11369558,0.29862997,0.24450362,0.07413527,0.09753704,0.02775447,0.05550864,0.02996825,,0.07347608,,0.06339081,0.06473915,0.02858162,0.18972400,0.21270862,0.02946058,0.03016944,0.15395099,0.07270631,,0.21571296,0.19748870,0.08315635,0.14010100,0.02489932,0.01374798,0.02798246,0.55720139,0.45372766,0.01789737,0.02336679,0.12937118,0.03673016,0.02992998,0.37408310
27,0.16871643,0.15526083,,0.16464764,,0.01511448,0.33846974,,0.15894800,,0.32190120,0.41317147,0.24594595,,0.07067116,0.22646017,0.43648124,0.37307939,0.47989905,0.28257692,0.37478089,0.43217534,0.48624966,0.36562508,0.04925224,0.18814719,0.17392331,1.00000000,0.75846750,0.33207378,0.21967977,0.25090283,0.79549134,0.25742209,0.30301663,0.32133043,,0.57296878,,0.21424970,0.14870569,0.39116597,0.43935359,0.37968254,0.34909827,0.18988916,0.38378090,0.37797043,,0.30450511,0.08198835,0.38679272,0.48566428,0.41071773,0.23855028,0.46527982,0.32430819,0.42560861,0.19295311,0.04024698,0.37119585,0.47712940,0.26631615,0.23557553
28,0.03164973,0.06066635,,0.14766851,,0.11609145,0.22562101,,0.12740335,,0.12944868,0.19714724,0.04924770,,0.08779706,0.14650972,0.08039769,0.21114215,0.28502339,0.06691833,0.08908649,0.10847445,0.22366726,0.14620006,0.02256607,0.04533511,0.11369558,0.75846750,1.00000000,0.07437517,0.11979067,0.05431413,0.71392781,0.19122788,0.12453727,0.27587855,,0.22397281,,0.05376749,0.16550019,0.18046010,0.18079287,0.13181506,0.13683464,0.18543793,0.09555253,0.14886320,,0.19729507,0.10963396,0.10001194,0.54719341,0.12225024,0.09269375,0.17670064,0.17406905,0.20482352,0.13700067,0.01893010,0.14697465,0.13177615,0.08702511,0.12794806
29,0.39524883,0.30120787,,0.72543275,,0.03822860,0.24250287,,0.31284499,,0.55711770,0.66716468,0.71227115,,0.05496394,0.32518655,0.81866455,0.27406910,0.22943644,0.49807078,0.72524720,0.74187171,0.73633659,0.52586901,0.25742805,0.45005202,0.29862997,0.33207378,0.07437517,1.00000000,0.30243134,0.55257857,0.31706107,0.48139188,0.42433292,0.76512492,,0.81241667,,0.41324192,0.04086109,0.60653436,0.69988656,0.66746759,0.70736974,0.78268409,0.69203234,0.62252724,,0.51797760,0.12817442,0.66538382,0.05395049,0.67099118,0.72824466,0.67980856,0.48740894,0.70034480,0.76017487,0.08018102,0.58830255,0.81483698,0.81012094,0.46579230
30,0.06567478,0.05174487,,0.24070737,,0.05939035,0.18457720,,0.05639086,,0.36429647,0.46897954,0.24386513,,0.04666240,0.35640636,0.29393208,0.08811421,0.18828583,0.06422536,0.27690855,0.24594590,0.19417877,0.27710044,0.28033209,0.18519795,0.24450362,0.21967977,0.11979067,0.30243134,1.00000000,0.07038842,0.21426983,0.08582732,0.08727689,0.26499873,,0.32454699,,0.38017261,0.02724719,0.15407732,0.51510215,0.55395150,0.20600826,0.21627182,0.11475683,0.19278041,,0.42275065,0.08747101,0.23679316,0.08567752,0.26459819,0.23484680,0.17706831,0.16730520,0.63333046,0.26661304,0.01638469,0.12664118,0.24182549,0.28877628,0.44960424
