channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
10,0.13674718,0.06067792,0.24383417,0.04687141,0.16939795,0.02816148,0.08333725,0.17343871,0.07800783,0.01982955,1.00000000,0.05020613,0.10078532,0.40476668,0.03841775,0.23042536,0.12232357,0.16814530,0.06100299,0.04843862,0.05963796,0.37423846,0.03650986,0.13047263,0.08134049,0.05572584,0.08360773,0.02768637,0.08537834,0.33928472,0.08346796,0.08564894,0.02658008,0.13868245,0.19582574,0.03426566,0.23401514,0.12823248,0.02501076,0.05932088,0.11010918,0.10014406,0.29338247,0.08515257,0.31387365,0.06792306,0.06778105,0.06472999,0.03723111,0.10973904,0.07340357,0.06303947,0.05789950,0.15897356,0.02871552,0.26407471,0.13853827,0.05628097,0.06635944,0.03076406,0.19701712,0.10079790,0.06256184,0.05781175
11,0.04939935,0.06836282,0.02421546,0.08639166,0.14257933,0.07659765,0.02608800,0.11697236,0.02604755,0.03272614,0.05020613,1.00000000,0.07964291,0.02971138,0.05585008,0.22011176,0.02250371,0.10908709,0.08275735,0.04712416,0.10306606,0.04609151,0.05673707,0.10723274,0.02516116,0.04025079,0.02538477,0.11288950,0.04809961,0.08298917,0.15747032,0.07629170,0.11283739,0.10912521,0.02877589,0.12163801,0.03531230,0.03650313,0.07814071,0.03493816,0.06055477,0.03001297,0.02785496,0.22659123,0.08847971,0.04980420,0.04182933,0.04127621,0.09601025,0.19062239,0.03000437,0.07946944,0.07311831,0.11945039,0.02692414,0.11819977,0.03670157,0.10009394,0.12880763,0.04569200,0.08929180,0.09443915,0.15287572,0.02695981
12,0.04319573,0.01360261,0.07821026,0.10341845,0.04604302,0.11817513,0.09579989,0.13250217,0.06088113,0.03120241,0.10078532,0.07964291,1.00000000,0.06981878,0.08918850,0.14382103,0.02417320,0.06202170,0.04581182,0.13869479,0.15130168,0.24546614,0.21066111,0.11924267,0.19258229,0.14386430,0.17550761,0.04958482,0.03265965,0.02139423,0.15268666,0.02102096,0.02376281,0.02741279,0.08928244,0.14364162,0.47236824,0.05376913,0.09515488,0.06770252,0.08286688,0.02243802,0.05826087,0.18446784,0.03424440,0.05691510,0.12819582,0.01856215,0.13386658,0.20827973,0.02185081,0.13584188,0.03309666,0.12645547,0.26824579,0.07692495,0.02340198,0.27157009,0.06567968,0.03696349,0.02343984,0.07298303,0.06728006,0.02298226
13,0.23250234,0.05322631,0.05439590,0.07580727,0.36874935,0.07895935,0.13602974,0.25132096,0.09636021,0.02491801,0.40476668,0.02971138,0.06981878,1.00000000,0.01952475,0.24664372,0.13201097,0.09449308,0.08353075,0.04081677,0.01541260,0.22150388,0.12061787,0.24307030,0.09248750,0.07342556,0.09923523,0.03040247,0.15570095,0.24084507,0.11271907,0.04540843,0.05234526,0.14943048,0.20683023,0.04061759,0.25246060,0.04169416,0.02060468,0.02927043,0.04281851,0.28270891,0.24237967,0.03299106,0.18503317,0.05049846,0.08639963,0.11643413,0.03425709,0.05757499,0.05781408,0.07860257,0.08124320,0.18961471,0.11352551,0.23121971,0.11516223,0.12471097,0.11484975,0.03085071,0.19966048,0.04106223,0.07930853,0.06741531
14,0.06396533,0.04775413,0.12160197,0.36618251,0.17438737,0.03531606,0.14939973,0.14465672,0.03034246,0.05866748,0.03841775,0.05585008,0.08918850,0.01952475,1.00000000,0.20085469,0.03381086,0.03323196,0.06759270,0.07172644,0.54166538,0.10330652,0.42348295,0.08984579,0.04142548,0.03948876,0.05004827,0.05774577,0.04090110,0.03476013,0.21712789,0.04322609,0.10938472,0.07914932,0.04607565,0.04706354,0.10485332,0.10833701,0.10742340,0.03525020,0.05101797,0.12773678,0.05971538,0.05936114,0.04542613,0.12528914,0.04365279,0.03552167,0.13195819,0.01668585,0.02428850,0.09529907,0.04336914,0.02706867,0.20503595,0.07232199,0.06429885,0.14649384,0.26352009,0.10979714,0.04924900,0.05165882,0.02403688,0.03347777
15,0.14698246,0.15890560,0.24632823,0.04579359,0.46383643,0.05591276,0.25289989,0.14333048,0.03109518,0.11222877,0.23042536,0.22011176,0.14382103,0.24664372,0.20085469,1.00000000,0.08996285,0.08445029,0.15595159,0.14024277,0.19710529,0.06648730,0.10717836,0.31668982,0.23062873,0.22649482,0.02622446,0.05462074,0.16059658,0.23025469,0.08918884,0.31492758,0.12043977,0.14292228,0.31768867,0.04379473,0.30525923,0.04302764,0.02667003,0.09060542,0.07427298,0.08853132,0.11137857,0.18087582,0.06075716,0.04508118,0.09929343,0.05444877,0.04607415,0.10169482,0.12697995,0.19246802,0.12785777,0.17803481,0.03747908,0.20399547,0.21231261,0.22137433,0.11043146,0.01896500,0.15540859,0.06607410,0.20149198,0.04301144
16,0.05200195,0.28607625,0.07220127,0.10195325,0.03803246,0.09717919,0.07037297,0.04264455,0.02694487,0.02647029,0.12232357,0.02250371,0.02417320,0.13201097,0.03381086,0.08996285,1.00000000,0.13636521,0.16231966,0.06801768,0.06322519,0.07275222,0.02206300,0.32534659,0.13685739,0.07994572,0.03555874,0.04021133,0.02229517,0.20733148,0.09336230,0.29889750,0.03737842,0.16440377,0.09341050,0.12387818,0.07965712,0.10827085,0.04357965,0.05070257,0.02331910,0.03075523,0.02454517,0.02307390,0.06473170,0.01764267,0.06763822,0.02273933,0.03975474,0.14487122,0.03161283,0.10658647,0.07508223,0.04796790,0.02152664,0.07145654,0.06938137,0.03717267,0.03332256,0.01485576,0.10544866,0.34056824,0.02201692,0.02784037
17,0.13578075,0.03905921,0.04010212,0.02636331,0.17643428,0.05341834,0.06417421,0.05037874,0.14907932,0.02097095,0.16814530,0.10908709,0.06202170,0.09449308,0.03323196,0.08445029,0.13636521,1.00000000,0.02487167,0.13589920,0.15466282,0.03026769,0.22078368,0.12722078,0.05563994,0.07996522,0.18316412,0.01872821,0.05345206,0.32595325,0.02741265,0.03267910,0.07000750,0.01808566,0.05854079,0.03687495,0.20763850,0.17218797,0.08980291,0.02990771,0.01696984,0.10030147,0.18473938,0.08688022,0.25236565,0.08557127,0.17226046,0.02110451,0.11827637,0.46945339,0.13907588,0.04122828,0.03964857,0.02745093,0.09022792,0.02717625,0.10411923,0.18481678,0.04286780,0.03838661,0.19410826,0.02278849,0.02104690,0.12647736
18,0.09786597,0.07191893,0.08491226,0.14022909,0.36219907,0.03889917,0.14484985,0.06281813,0.07749356,0.08260685,0.06100299,0.08275735,0.04581182,0.08353075,0.06759270,0.15595159,0.16231966,0.02487167,1.00000000,0.18009245,0.04245166,0.04676899,0.02509065,0.12550218,0.13976249,0.03654128,0.15232140,0.21157984,0.27407274,0.06478658,0.01655967,0.05666563,0.09206939,0.03636696,0.13697775,0.32035863,0.12132925,0.12975705,0.04409222,0.03113556,0.01523244,0.13522181,0.03875634,0.06565329,0.04960928,0.32164508,0.04931236,0.05765487,0.05514819,0.11567821,0.04678337,0.12033390,0.14301813,0.03375337,0.08780865,0.21338290,0.08905969,0.04450785,0.05194981,0.02780451,0.06518012,0.45607966,0.06101507,0.05986599
19,0.07385430,0.22695638,0.30724633,0.24095020,0.15799527,0.12346978,0.31925327,0.39715642,0.12848105,0.02200984,0.04843862,0.04712416,0.13869479,0.04081677,0.07172644,0.14024277,0.06801768,0.13589920,0.18009245,1.00000000,0.07514277,0.12489159,0.04442885,0.31444171,0.12835631,0.23529844,0.13822421,0.11347415,0.04484297,0.40830648,0.08594759,0.02524779,0.11463094,0.02900532,0.16765241,0.18460819,0.05072149,0.24122903,0.04852066,0.06563596,0.06465273,0.12600718,0.12000135,0.10589661,0.05089355,0.22523706,0.03604664,0.06584214,0.37052533,0.13286409,0.03487645,0.11701901,0.09935516,0.07160246,0.25106290,0.06192486,0.12791915,0.44369626,0.03710645,0.02221574,0.13393830,0.22522795,0.08712171,0.03902693
20,0.04697808,0.05263648,0.16579112,0.23386708,0.15671879,0.07461682,0.12768635,0.06619829,0.04511281,0.02158966,0.05963796,0.10306606,0.15130168,0.01541260,0.54166538,0.19710529,0.06322519,0.15466282,0.04245166,0.07514277,1.00000000,0.18736118,0.48077065,0.17963396,0.10668269,0.07967197,0.02276808,0.03085859,0.07167925,0.11372551,0.01840002,0.04020734,0.13449202,0.09608869,0.20525618,0.06069089,0.08408411,0.05881921,0.01850294,0.13239977,0.05903392,0.19497684,0.07027929,0.06261054,0.13035189,0.20884401,0.21454823,0.08478370,0.13989541,0.16121162,0.19448814,0.14724191,0.09668504,0.04610202,0.16890895,0.03713687,0.27937678,0.06158971,0.34618798,0.02832154,0.15141340,0.05108183,0.28488898,0.06893449
21,0.04109193,0.05823296,0.10504083,0.03347431,0.14354217,0.15859371,0.11578209,0.19520137,0.09119117,0.04149967,0.37423846,0.04609151,0.24546614,0.22150388,0.10330652,0.06648730,0.07275222,0.03026769,0.04676899,0.12489159,0.18736118,1.00000000,0.31628925,0.17129052,0.16255403,0.27607226,0.05728970,0.04818949,0.03687984,0.07289328,0.15527919,0.02399760,0.01803159,0.08909291,0.03963163,0.12908641,0.03602085,0.03033074,0.02805370,0.03622755,0.14568624,0.22895946,0.16614369,0.06867757,0.37867045,0.06271163,0.15709950,0.06858613,0.08896679,0.20242833,0.11828467,0.07770619,0.07845339,0.19828236,0.13832778,0.30395502,0.05369968,0.07590255,0.18573472,0.07359274,0.05662358,0.10169343,0.06842780,0.12745295
22,0.02764000,0.08716066,0.08582410,0.35163996,0.12536390,0.06486392,0.13559192,0.01862552,0.15162545,0.02917805,0.03650986,0.05673707,0.21066111,0.12061787,0.42348295,0.10717836,0.02206300,0.22078368,0.02509065,0.04442885,0.48077065,0.31628925,1.00000000,0.12581107,0.06526491,0.07741089,0.02632079,0.03005477,0.12685831,0.03965847,0.05784286,0.07033183,0.06548798,0.02140369,0.08808328,0.01169409,0.16961649,0.03071926,0.03659811,0.02640244,0.02094965,0.09091796,0.04841628,0.18147151,0.09237404,0.10915852,0.30115050,0.10890003,0.34992698,0.16034119,0.20339856,0.02794435,0.14871722,0.03767589,0.04777937,0.08391921,0.32600370,0.06635898,0.16180179,0.12463406,0.10498628,0.02165845,0.08489662,0.15528907
23,0.16326950,0.04117431,0.22911732,0.15543784,0.40884885,0.04769427,0.15870321,0.18395913,0.02531251,0.15005086,0.13047263,0.10723274,0.11924267,0.24307030,0.08984579,0.31668982,0.32534659,0.12722078,0.12550218,0.31444171,0.17963396,0.17129052,0.12581107,1.00000000,0.31034663,0.21457234,0.04698194,0.21832290,0.17980501,0.09786430,0.04304507,0.16057661,0.01734761,0.21994793,0.21082070,0.14141560,0.23242316,0.09641723,0.04287407,0.04548812,0.03393774,0.09850952,0.08136146,0.03447063,0.09469850,0.07651228,0.13545890,0.07085216,0.03203191,0.11616947,0.02607592,0.09706515,0.11746491,0.08312479,0.06126375,0.04847462,0.18709597,0.16092458,0.11156697,0.04706436,0.25636330,0.33946812,0.21729311,0.10873025
24,0.16684316,0.05865187,0.12495299,0.16197637,0.10984837,0.15824738,0.15548238,0.06909853,0.08736107,0.07632791,0.08134049,0.02516116,0.19258229,0.09248750,0.04142548,0.23062873,0.13685739,0.05563994,0.13976249,0.12835631,0.10668269,0.16255403,0.06526491,0.31034663,1.00000000,0.14740494,0.12081391,0.06031803,0.08616636,0.16859394,0.06225882,0.09011881,0.03640727,0.05318902,0.21729934,0.20404303,0.08600822,0.05880157,0.03439634,0.05190082,0.02360419,0.06586376,0.05659524,0.14617240,0.05895537,0.13297567,0.15335959,0.21248531,0.02518311,0.04960742,0.02463287,0.12735885,0.02201074,0.05663107,0.09002978,0.28721029,0.02641777,0.12997234,0.02109924,0.04757857,0.28268659,0.25212866,0.18164630,0.05850895
25,0.15128821,0.04103389,0.21495935,0.32627547,0.23335110,0.16059113,0.10624297,0.02261674,0.02527255,0.11278561,0.05572584,0.04025079,0.14386430,0.07342556,0.03948876,0.22649482,0.07994572,0.07996522,0.03654128,0.23529844,0.07967197,0.27607226,0.07741089,0.21457234,0.14740494,1.00000000,0.03834894,0.05226791,0.10138776,0.08974093,0.14432681,0.08870624,0.06923518,0.07194185,0.18889871,0.19612092,0.04000325,0.08473203,0.04839702,0.03451905,0.14014819,0.20390832,0.28300506,0.06398801,0.39997634,0.05293972,0.13631305,0.05741432,0.07862209,0.02079971,0.09527960,0.14631511,0.02552429,0.15761226,0.07819500,0.11719485,0.36648014,0.11967857,0.37949657,0.13639468,0.05739758,0.14340848,0.22481212,0.02908500
26,0.04582997,0.04403696,0.15116996,0.02552104,0.27271861,0.01466846,0.04832864,0.13712299,0.03957688,0.01711354,0.08360773,0.02538477,0.17550761,0.09923523,0.05004827,0.02622446,0.03555874,0.18316412,0.15232140,0.13822421,0.02276808,0.05728970,0.02632079,0.04698194,0.12081391,0.03834894,1.00000000,0.22276005,0.12467739,0.23057988,0.22552764,0.07108909,0.08703728,0.11368793,0.06252753,0.05863527,0.06176737,0.07647503,0.13058540,0.12889457,0.05643408,0.12490028,0.17564175,0.05237409,0.05855953,0.21463558,0.03380324,0.05925214,0.23428398,0.08569149,0.02957461,0.04080123,0.10474634,0.05554805,0.37173408,0.15969244,0.08929975,0.49951786,0.10114211,0.03294020,0.05764478,0.24707624,0.03434608,0.08442301
27,0.04144356,0.02182200,0.04374140,0.02663881,0.08563799,0.34634888,0.34607226,0.08409801,0.01634741,0.02409350,0.02768637,0.11288950,0.04958482,0.03040247,0.05774577,0.05462074,0.04021133,0.01872821,0.21157984,0.11347415,0.03085859,0.04818949,0.03005477,0.21832290,0.06031803,0.05226791,0.22276005,1.00000000,0.27222124,0.04355804,0.01807257,0.07251503,0.15566033,0.19669056,0.09841499,0.05157937,0.02412591,0.10479769,0.01769822,0.06285554,0.06098809,0.05147820,0.04432263,0.07951732,0.02209003,0.38556153,0.07792725,0.02470119,0.10011977,0.03596446,0.02439450,0.04037692,0.36377370,0.03265077,0.08026746,0.08142126,0.07698072,0.14934763,0.10215671,0.02443325,0.12311215,0.13796550,0.19651023,0.01753420
28,0.13063216,0.06580213,0.02741583,0.17637709,0.19254333,0.10295180,0.13886574,0.06934409,0.06122693,0.07761292,0.08537834,0.04809961,0.03265965,0.15570095,0.04090110,0.16059658,0.02229517,0.05345206,0.27407274,0.04484297,0.07167925,0.03687984,0.12685831,0.17980501,0.08616636,0.10138776,0.12467739,0.27222124,1.00000000,0.16638434,0.01593037,0.05250151,0.13495822,0.03361276,0.04494275,0.18069535,0.07863437,0.14060584,0.03311258,0.07801072,0.03629432,0.14118043,0.02295070,0.01811891,0.05253600,0.52095115,0.03614587,0.06236210,0.18407527,0.08425777,0.03804891,0.02965573,0.19302289,0.02818278,0.07007988,0.07854360,0.19566357,0.04015604,0.10846445,0.07357703,0.02555119,0.06168049,0.04425262,0.07720627
29,0.05708496,0.12918261,0.17847838,0.03774007,0.14998871,0.08020241,0.07422848,0.10896051,0.05298331,0.04167864,0.33928472,0.08298917,0.02139423,0.24084507,0.03476013,0.23025469,0.20733148,0.32595325,0.06478658,0.40830648,0.11372551,0.07289328,0.03965847,0.09786430,0.16859394,0.08974093,0.23057988,0.04355804,0.16638434,1.00000000,0.02418955,0.02942045,0.06456185,0.15668166,0.17482726,0.12467900,0.20198330,0.21213552,0.01418471,0.04649220,0.07144652,0.09677884,0.09687887,0.02805393,0.04299289,0.13185748,0.19814207,0.02121291,0.47367579,0.23852479,0.09624523,0.02799303,0.04499228,0.05088764,0.25986081,0.07160612,0.10984504,0.23832431,0.08457600,0.07315744,0.19436833,0.06459111,0.06965075,0.03990469
30,0.12853575,0.03638695,0.07816342,0.04006152,0.03290626,0.03306198,0.03096924,0.16620731,0.03476567,0.05881713,0.08346796,0.15747032,0.15268666,0.11271907,0.21712789,0.08918884,0.09336230,0.02741265,0.01655967,0.08594759,0.01840002,0.15527919,0.05784286,0.04304507,0.06225882,0.14432681,0.22552764,0.01807257,0.01593037,0.02418955,1.00000000,0.02568582,0.09158902,0.03941475,0.11153252,0.06448634,0.13518897,0.02461983,0.08674806,0.09039827,0.14096779,0.11788099,0.14209217,0.08310615,0.04929226,0.02085074,0.04089527,0.06052517,0.05638950,0.04856662,0.13223711,0.08026834,0.02786570,0.05799936,0.16837925,0.03034939,0.26329786,0.17261080,0.04321998,0.09304321,0.02816858,0.08302602,0.28388137,0.05069160
31,0.05523416,0.16863677,0.04180808,0.05724739,0.02932358,0.12065595,0.05547474,0.03740271,0.02666355,0.03158996,0.08564894,0.07629170,0.02102096,0.04540843,0.04322609,0.31492758,0.29889750,0.03267910,0.05666563,0.02524779,0.04020734,0.02399760,0.07033183,0.16057661,0.09011881,0.08870624,0.07108909,0.07251503,0.05250151,0.02942045,0.02568582,1.00000000,0.12822565,0.01724071,0.04554023,0.02871107,0.02170335,0.16772360,0.07680120,0.02257689,0.01641566,0.03386926,0.07120934,0.02317025,0.03332646,0.08484624,0.08608645,0.06025989,0.05176006,0.16081509,0.04442887,0.08374523,0.06721456,0.02949349,0.02514956,0.06615485,0.04537813,0.04824175,0.02845581,0.02081827,0.03036912,0.05963364,0.01468622,0.03831620
32,0.04732200,0.04864330,0.02341831,0.03317903,0.06097548,0.09905766,0.27757722,0.05766027,0.03201336,0.02417237,0.02658008,0.11283739,0.02376281,0.05234526,0.10938472,0.12043977,0.03737842,0.07000750,0.09206939,0.11463094,0.13449202,0.01803159,0.06548798,0.01734761,0.03640727,0.06923518,0.08703728,0.15566033,0.13495822,0.06456185,0.09158902,0.12822565,1.00000000,0.03544075,0.07081856,0.26422688,0.02455286,0.16006628,0.02123494,0.05151862,0.04565182,0.05958655,0.05869567,0.08821771,0.06466162,0.23034164,0.08882254,0.01904891,0.07886164,0.04463773,0.01622505,0.02236606,0.14098178,0.03264958,0.02211840,0.03903173,0.02715261,0.18191490,0.03662344,0.05049138,0.01931766,0.02796806,0.12539750,0.02599002
33,0.03004470,0.22585779,0.09721947,0.02576299,0.19327249,0.01927007,0.27207589,0.08339454,0.03248896,0.03432864,0.13868245,0.10912521,0.02741279,0.14943048,0.07914932,0.14292228,0.16440377,0.01808566,0.03636696,0.02900532,0.09608869,0.08909291,0.02140369,0.21994793,0.05318902,0.07194185,0.11368793,0.19669056,0.03361276,0.15668166,0.03941475,0.01724071,0.03544075,1.00000000,0.09018761,0.06083846,0.03508504,0.14123523,0.05429034,0.02971014,0.04222460,0.03591552,0.03619572,0.03592266,0.05594803,0.12468582,0.01830807,0.04452996,0.05988625,0.05272514,0.02573273,0.06698246,0.49984938,0.03264342,0.10841899,0.12689795,0.08256307,0.03356130,0.01407674,0.07452750,0.01987826,0.05322979,0.18098700,0.02793167
