stage,label,replicate,candidate_key,channels_json,source_label,role,metadata_json,created_at
direct_greedy,g_pair_seed_sweep_d00_d14,0,"0,14","[0, 14]",g_pair_seed_sweep_d00_d14,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.073467+00:00
direct_greedy,g_pair_seed_sweep_d00_d15,0,"0,15","[0, 15]",g_pair_seed_sweep_d00_d15,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.080319+00:00
direct_greedy,g_pair_seed_sweep_d00_d16,0,"0,16","[0, 16]",g_pair_seed_sweep_d00_d16,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.087009+00:00
direct_greedy,g_pair_seed_sweep_d00_d17,0,"0,17","[0, 17]",g_pair_seed_sweep_d00_d17,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.093529+00:00
direct_greedy,g_pair_seed_sweep_d00_d18,0,"0,18","[0, 18]",g_pair_seed_sweep_d00_d18,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.102984+00:00
direct_greedy,g_pair_seed_sweep_d00_d19,0,"0,19","[0, 19]",g_pair_seed_sweep_d00_d19,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.109636+00:00
direct_greedy,g_pair_seed_sweep_d00_d20,0,"0,20","[0, 20]",g_pair_seed_sweep_d00_d20,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.116137+00:00
direct_greedy,g_pair_seed_sweep_d00_d21,0,"0,21","[0, 21]",g_pair_seed_sweep_d00_d21,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.122480+00:00
direct_greedy,g_pair_seed_sweep_d00_d22,0,"0,22","[0, 22]",g_pair_seed_sweep_d00_d22,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.128964+00:00
direct_greedy,g_pair_seed_sweep_d00_d23,0,"0,23","[0, 23]",g_pair_seed_sweep_d00_d23,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.135391+00:00
direct_greedy,g_pair_seed_sweep_d00_d24,0,"0,24","[0, 24]",g_pair_seed_sweep_d00_d24,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.141909+00:00
direct_greedy,g_pair_seed_sweep_d00_d25,0,"0,25","[0, 25]",g_pair_seed_sweep_d00_d25,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.148233+00:00
direct_greedy,g_pair_seed_sweep_d00_d26,0,"0,26","[0, 26]",g_pair_seed_sweep_d00_d26,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.154435+00:00
direct_greedy,g_pair_seed_sweep_d00_d27,0,"0,27","[0, 27]",g_pair_seed_sweep_d00_d27,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.160862+00:00
direct_greedy,g_pair_seed_sweep_d00_d28,0,"0,28","[0, 28]",g_pair_seed_sweep_d00_d28,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.167145+00:00
direct_greedy,g_pair_seed_sweep_d00_d29,0,"0,29","[0, 29]",g_pair_seed_sweep_d00_d29,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.173526+00:00
direct_greedy,g_pair_seed_sweep_d00_d30,0,"0,30","[0, 30]",g_pair_seed_sweep_d00_d30,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.179805+00:00
direct_greedy,g_pair_seed_sweep_d00_d31,0,"0,31","[0, 31]",g_pair_seed_sweep_d00_d31,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.186018+00:00
