rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
396,g_pair_seed_sweep_d05_d16,"5,16",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,21.936600000000002,23.637800000000002,2.1579,25.91347167531797,24.17216879751864,42.04550484126856,1.3024052913154989,13.656709861103995,0.67458778113229,4.714871209290346,21.706243531731506,1.1536871899922572,21.934940772485128,1.1646480611088614
397,r_k05_0237_d32_d36_d51_d52_d53,"32,36,51,52,53",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,21.9373,22.4576,2.2292,24.20072477843719,23.253412936561944,36.50701232680811,1.0827862030528081,4.7687421930410885,0.6705644480599507,4.049841819776745,21.280351684253464,1.1388870619140288,21.957738734194706,1.142967187221148
398,g_pair_seed_sweep_d50_d57,"50,57",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,21.9445,22.9042,2.1543,23.96333365009619,23.277781044179445,36.10486797065945,1.1358262984351986,8.757864361739975,0.7869839182782719,9.079671315971575,22.892101967049285,1.039030055825168,21.942509219382877,1.0638000514869979
399,g_pair_seed_sweep_d39_d40,"39,40",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,21.9479,24.357400000000002,3.0278,26.20478370950473,24.60152689536651,42.368832158777806,1.7350938053333633,21.171861711040325,1.1471576419652783,13.439438925458854,23.735141132410035,1.0794842893153795,21.954542212163425,1.1292214014509938
400,g_s01_k06_from_d29_d31_d33_d52_d55_add_d06,"6,29,31,33,52,55",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,21.949199999999998,22.3602,2.2979,23.203314512428395,22.450975717392,34.0800093332278,1.1317040591234282,12.32165950931823,0.7399653325704034,9.570988447145787,21.304604229004237,1.1017430064131606,21.973867689466882,1.1096459253136322
401,r_k04_0104_d07_d11_d31_d50,"7,11,31,50",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,21.953300000000002,24.2856,3.4145000000000003,27.831782442462107,25.73035756457408,46.054876908543214,1.4450219544589922,17.387444422226704,0.9256489998728246,13.239049362602831,22.547520555172245,1.1941559822171666,21.931567992634037,1.2040345535942247
402,g_pair_seed_sweep_d08_d23,"8,23",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,21.9562,24.643,2.9214,26.090935133228122,24.023311530758857,42.08163942117181,1.4936308095090833,15.680427662770722,1.017084180116763,10.505101937858413,22.64705144035164,1.101101512169387,21.94327517977273,1.1303153934488437
403,swap_k04_0235_d15_d20_d26_d58,"15,20,26,58",one-channel swap audit around provisional greedy endpoint,0,0.9965095986038395,21.9609,22.9113,2.9582,25.072014204164102,23.93967809694378,40.26616248864286,1.27157906598018,17.51960366463627,0.7290888881066989,3.9831113652440426,21.87642255002908,1.142043023001421,21.97657662802663,1.1475090336400438
404,r_k06_0035_d01_d05_d21_d45_d46_d58,"1,5,21,45,46,58",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,21.9679,22.639799999999997,2.2758000000000003,24.099945019316063,23.080829263264008,38.48577128467245,1.1413744455851096,10.535309261798805,0.6685788768512886,4.349956975158852,21.33667127450743,1.12620315473949,21.98745437195826,1.136666158261696
405,g_s03_k05_from_d23_d24_d40_d59_add_d12,"12,23,24,40,59",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,21.9713,24.0352,2.2822,25.819427531182154,23.799791804677774,58.4128537413662,1.4013720901968192,18.127162454475965,0.8964796567392972,10.624221932607748,22.89927128306998,1.0913385388999954,21.962356857084263,1.1202038669010177
406,r_k05_0212_d20_d36_d53_d55_d59,"20,36,53,55,59",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,21.9715,22.828699999999998,2.6773000000000002,26.796539316205088,25.201007714084252,43.79069013535502,1.337891680514152,13.777089273303671,0.8726612925990067,7.478716435047606,21.582318649507357,1.2079002715924452,21.98324070187968,1.209409877118849
407,r_k06_0014_d00_d09_d15_d41_d55_d59,"0,9,15,41,55,59",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,21.9817,23.3504,2.5465999999999998,25.71143682584733,24.44230751719369,42.98970832995114,1.3548847770092367,16.695009844714118,0.8108534356575349,6.266920239402983,22.912356755235926,1.1136938094825917,21.982567478020613,1.1417468580839778
408,r_k04_0107_d07_d16_d26_d63,"7,16,26,63",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,21.988,22.5902,2.7731,24.483221342277364,23.7614804001916,35.5319964674556,1.3046197024386723,11.090657224015011,0.8141017329339888,6.850423845928015,22.163788309252322,1.1169367434859587,22.01218685607714,1.1305917369647958
409,g_pair_seed_sweep_d16_d28,"16,28",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,21.9911,23.1581,2.0427,25.588286655028234,24.189271569296277,39.71045384188937,1.3246182972449676,17.614194437538462,0.64995289858362,2.9076442001371787,21.689989356467603,1.156033610907528,21.99525414295777,1.1601486522324318
410,g_s03_k04_from_d23_d24_d59_add_d01,"1,23,24,59",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.012999999999998,23.5044,3.1235,23.72608834325621,21.98123363043521,43.52197695727513,1.657576702363365,27.600613498492386,1.0708242608268295,17.419825997062826,20.795033571221623,1.090218874154332,22.00994722310222,1.0996323599629294
411,g_s03_k06_from_d23_d24_d40_d59_d63_add_d60,"23,24,40,59,60,63",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.0135,22.5851,2.5754,22.90474263126592,21.829454013692093,34.629446999734995,1.3124086553558953,13.398727275425006,0.8826511850363128,9.44541892221766,20.83643127690406,1.0948213991792801,22.037656308159253,1.0996787224083142
412,g_s01_k05_from_d29_d31_d33_d52_add_d37,"29,31,33,37,52",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.0578,23.721,2.5778,24.253715151154832,23.017800581113672,40.526584383689126,1.3164482979605225,20.059537992230645,0.7894414622917935,11.024335791471922,22.430737853820006,1.0595697178090515,22.044418519926705,1.0807535815509228
413,g_pair_seed_sweep_d16_d20,"16,20",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,22.0655,24.0535,1.8492000000000002,26.324793200565296,24.677879402473387,42.916133799787566,1.111597365808505,6.81326529539449,0.7191738969870104,6.968579145762645,22.399685240525933,1.1408300102085271,22.050017874676307,1.1495499716280853
414,g_s01_k06_from_d29_d31_d33_d52_d55_add_d50,"29,31,33,50,52,55",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.0767,22.8739,2.4353,24.289479402574624,23.51469938444142,37.99149369006267,1.2720256161394716,13.873072766034896,0.7080851309826258,7.565489882768782,21.7803756018036,1.117964096963896,22.091905102409324,1.1272634514481485
415,r_k04_0220_d26_d31_d38_d47,"26,31,38,47",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,22.098599999999998,23.1212,2.3996,24.816018819478728,23.689307157266416,42.465194678617316,1.3000909879919984,18.036404057837977,0.7272068780344317,3.8800826543572158,21.823016285063453,1.1281149969358122,22.120120956805053,1.1387729819246042
416,g_pair_seed_sweep_d20_d42,"20,42",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,22.103,22.7902,1.9736,23.314637084115848,22.7724846694257,31.80004199851997,1.2572900068774584,14.580938731276419,0.7831744269832216,10.384550054522379,21.84432659331908,1.0750714397146188,22.126172625535098,1.0775993594853248
417,g_pair_seed_sweep_d08_d26,"8,26",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,22.1062,23.024,2.2563,24.37895787904145,23.75286852388592,33.09526774240309,1.443973652724689,17.013214143990172,0.7446287841168854,7.465080572139584,23.21293744261061,1.0461415398243563,22.103116945167724,1.074284101807028
418,g_s02_k03_from_d26_d51_add_d40,"26,40,51",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.111,22.9908,2.0139,22.742684394082723,21.774147627364933,38.722753401827035,1.1111467161676987,6.611407197825494,0.7999970044466919,8.716487645389826,20.903599031887886,1.0743679235726984,22.152642121039815,1.0739350341128595
419,g_pair_seed_sweep_d24_d40,"24,40",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,22.114,23.1551,3.2426000000000004,24.922772133335094,23.613915140770672,46.45415567184773,2.0745026227013734,11.242240416249848,1.2215275583653484,9.20310994130876,22.254095240545226,1.1264338384841226,22.10353016763452,1.1547597045289804
420,swap_k04_0171_d15_d20_d34_d54,"15,20,34,54",one-channel swap audit around provisional greedy endpoint,0,0.9965095986038395,22.126,22.79,2.2885,25.00186003504941,23.896402438138203,38.31349968008926,1.068766565793192,5.175990978117856,0.74052635521112,3.3794913977561474,21.593836433596806,1.1545692799879246,22.14040275000182,1.1571757482886924
421,g_pair_seed_sweep_d43_d53,"43,53",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,22.126,24.745800000000003,2.3772,26.243902024682836,23.706058666298766,55.44094240295794,2.0029245699459164,26.903742743010145,1.1863598666827617,17.08173620691033,23.08505642536633,0.937052434165492,22.1216422976194,0.9367977792296514
422,g_pair_seed_sweep_d21_d53,"21,53",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,22.1365,23.2534,2.3434,24.17551761770243,23.31992898464283,34.98391996902479,1.2122793941987051,13.105643741114484,0.7808772204320299,10.654820255942532,22.147001862964917,1.0875902388124141,22.134723671616726,1.1025681622213341
423,r_k05_0005_d00_d05_d08_d59_d63,"0,5,8,59,63",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,22.1366,23.8783,2.5459,26.132673604370595,25.309234431977224,37.49143956830739,1.3517046872356242,8.023015711586512,0.9735508005317819,8.694365477107214,24.17035220717291,1.0747954079390665,22.119897233255816,1.1076315137734654
424,r_k04_0070_d04_d08_d24_d32,"4,8,24,32",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,22.1576,23.8555,2.7845999999999997,27.890258082642667,26.18349673340233,46.17673240656364,1.6313416923035802,17.36922801055377,1.035715584130606,11.704030867543157,23.907905927611733,1.1534280120169373,22.161765848675838,1.1718344793691498
425,r_k03_0187_d19_d26_d47,"19,26,47",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,22.162000000000003,22.5822,2.0459,23.486307377598926,23.0879607994683,30.55300783004517,1.0995288818297688,9.948121486614843,0.6928058522417365,8.344315061869079,22.435265623719065,1.06609682964047,22.174035967684684,1.0821058345567565
426,g_pair_seed_sweep_d19_d43,"19,43",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,22.162599999999998,23.157600000000002,2.3383000000000003,23.916417593443764,23.077327823734215,35.71433032084006,1.4734279726275283,21.61770394510903,0.7048267443743585,5.809079266088913,22.242645781239837,1.069987117039416,22.17157215601013,1.0892122036223804
427,g_s04_k04_from_d20_d26_d34_add_d10,"10,20,26,34",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.1847,22.7498,2.4882,23.738673954696463,22.63988632605023,35.04838492914433,1.120796755327666,9.603151116171512,0.8110086670060345,8.804141350071129,21.784258375900876,1.0992032740954176,22.204541067224394,1.1109952375876815
428,g_s04_k04_from_d20_d26_d34_add_d41,"20,26,34,41",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.1904,23.507,2.2253,24.55683648188743,23.59438862369594,34.83558243255055,1.4651104024274273,17.181500921513624,0.9522909172501165,10.954941328658785,23.235986705601878,1.034863098695032,22.16466948548903,1.0560061938032619
429,r_k04_0173_d16_d28_d37_d48,"16,28,37,48",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,22.1907,22.923299999999998,2.222,25.82192310503401,24.51219603817574,41.76388199328508,1.2679720804867396,13.952854869034127,0.7872907301312068,5.994411465351422,21.720156237962502,1.1744159542092887,22.204688060286955,1.1776638187082058
430,g_s02_k06_from_d23_d24_d26_d51_d63_add_d35,"23,24,26,35,51,63",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.2024,24.7664,2.4196,25.088004355006667,22.650162706033253,46.460872452524214,1.759296456832593,33.687904674761384,1.160855653702627,22.212363739896944,22.650104308900065,1.0000977211069297,22.18460198074812,1.023684280848408
431,g_s03_k06_from_d23_d24_d40_d59_d63_add_d12,"12,23,24,40,59,63",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.2054,25.033,2.3498,25.78514568722159,23.29172604186203,52.58518420329765,1.762821647556049,31.431469306473662,1.144707656137985,18.366990790559527,23.25973121034744,1.0243454085563044,22.166766721892518,1.0548331485729578
432,g_s01_k06_from_d29_d31_d33_d52_d55_add_d44,"29,31,33,44,52,55",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.2149,23.4534,2.4717,24.78705109535339,23.918279422054713,39.932642490816576,1.3458922633333212,14.275982838654198,0.7492002664296533,8.504462909699894,22.51388338378461,1.0955880775644804,22.211642794578722,1.1160104499268497
433,r_k06_0082_d04_d08_d17_d20_d50_d52,"4,8,17,20,50,52",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,22.246299999999998,24.2067,2.2212,25.900464916941463,25.004232409410744,42.297959098151864,1.138887439647777,7.9544833343100905,0.7793171823490472,6.774259748836444,23.718249005341686,1.0893274558112593,22.213992769179438,1.1177626084929395
434,r_k04_0098_d06_d19_d38_d51,"6,19,38,51",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,22.2558,22.9514,2.7239,24.59025169271123,23.31858247826505,39.95942449963801,1.4403593287218475,19.446221115071012,0.8637090234369009,8.335443375768504,21.384384567594594,1.1421487552600507,22.285131632949913,1.1477947954601706
435,g_s01_k06_from_d29_d31_d33_d52_d55_add_d05,"5,29,31,33,52,55",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,22.2619,22.9621,2.5169,24.102354113084722,23.033415100922824,38.92038710540589,1.306113729647281,14.183841485902498,0.7706859318522873,9.49759888133256,21.151599280977575,1.1324206010394953,22.291506673324957,1.1340705241504974
436,r_k04_0150_d13_d15_d41_d59,"13,15,41,59",budget-matched cardinality-stratified random full-sequence control,0,0.9965095986038395,22.2744,23.5577,2.9274999999999998,26.8507860100402,24.927213546257935,52.29661739559853,1.1584268568316392,7.099297823840196,0.8026065225119844,5.8394224586729235,22.327858208702285,1.1805631762507265,22.275290141779173,1.1909826648827373
437,g_pair_seed_sweep_d51_d53,"51,53",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,22.2799,22.7426,2.4204,24.373860306783527,23.58391202230304,36.39715510802402,1.1991112740323848,8.47715423036691,0.7018962078019114,5.176049184824424,21.571701549639656,1.1349919955176277,22.300342953748924,1.142743862816762
438,g_pair_seed_sweep_d05_d39,"5,39",exhaustive two-channel full-sequence seed sweep (all_singletons_failed),0,0.9965095986038395,22.2957,23.454900000000002,2.2362,25.340834421827157,24.33673588450126,36.75470970968405,1.3995608102325903,10.362482140728156,0.9371653154447105,9.81904542298163,22.776456647035154,1.1055846888749103,22.258073733094164,1.1270155038387288
